actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
51.2,USD,2016-01-04 09:45:00,51.1,accurate,Low,Final Manufacturing PMI,51.3,accurate,1,2016-01-04 14:45:00+00:00,-0.2,2016,1,1,Monday,10850,10856,10850,10855,10855,10843,10844,12,down,11,11,10845,10833,10843,12,down,12,1,10845,10834,10836,11,down,19,7,10836,10815,10815,21,down,40,18,10827,10820,10820,7,up,35,1,10805,10785,10785,20,down,70,20,10796,10791,10796,5,up,59,4,10815,10812,10812,3,up,43,2,10825,10821,10823,4,up,32,2
48.2,USD,2016-01-04 10:00:00,49.1,worse,High,ISM Manufacturing PMI,48.6,accurate,1,2016-01-04 15:00:00+00:00,1.83,2016,1,1,Monday,10843,10845,10834,10836,10848,10833,10838,15,up,2,3,10840,10832,10832,8,down,4,6,10836,10815,10815,21,down,21,18,10827,10821,10827,6,up,9,6,10815,10801,10801,14,down,35,12,10789,10781,10787,8,down,49,5,10803,10795,10803,8,up,33,7,10823,10817,10818,6,up,18,0,10823,10820,10822,3,up,14,0
-0.4%,USD,2016-01-04 10:00:00,0.7%,worse,Low,Construction Spending m/m,0.3%,worse,1,2016-01-04 15:00:00+00:00,157.14,2016,1,1,Monday,10843,10845,10834,10836,10848,10833,10838,15,up,2,3,10840,10832,10832,8,down,4,6,10836,10815,10815,21,down,21,18,10827,10821,10827,6,up,9,6,10815,10801,10801,14,down,35,12,10789,10781,10787,8,down,49,5,10803,10795,10803,8,up,33,7,10823,10817,10818,6,up,18,0,10823,10820,10822,3,up,14,0
33.5,USD,2016-01-04 10:00:00,36.5,worse,Low,ISM Manufacturing Prices,35.5,accurate,1,2016-01-04 15:00:00+00:00,8.22,2016,1,1,Monday,10843,10845,10834,10836,10848,10833,10838,15,up,2,3,10840,10832,10832,8,down,4,6,10836,10815,10815,21,down,21,18,10827,10821,10827,6,up,9,6,10815,10801,10801,14,down,35,12,10789,10781,10787,8,down,49,5,10803,10795,10803,8,up,33,7,10823,10817,10818,6,up,18,0,10823,10820,10822,3,up,14,0
17.3M,USD,2016-01-05 00:00:00,18.1M,worse,Low,Total Vehicle Sales,18.2M,accurate,1,2016-01-05 05:00:00+00:00,4.42,2016,1,1,Tuesday,10825,10825,10822,10822,10822,10821,10822,1,down,0,0,10822,10821,10822,1,down,0,0,10823,10822,10822,1,down,0,0,10831,10827,10829,4,up,7,2,10834,10831,10831,3,up,9,3,10834,10830,10830,4,down,8,3,10830,10828,10828,2,down,6,2,10813,10808,10809,5,down,13,2,10790,10785,10790,5,down,32,2
257K,USD,2016-01-06 08:15:00,193K,better,High,ADP Non-Farm Employment Change,211K,accurate,1,2016-01-06 13:15:00+00:00,-33.16,2016,1,1,Wednesday,10749,10752,10740,10740,10743,10715,10743,28,up,3,3,10748,10740,10745,8,up,5,3,10749,10742,10743,7,down,3,2,10750,10737,10743,13,down,3,7,10751,10745,10748,6,up,8,1,10749,10743,10745,6,down,5,2,10748,10740,10745,8,down,5,4,10749,10745,10747,4,up,7,1,10759,10756,10757,3,up,17,1
-42.4B,USD,2016-01-06 08:30:00,-44.0B,better,High,Trade Balance,-44.6B,accurate,1,2016-01-06 13:30:00+00:00,-3.64,2016,1,1,Wednesday,10745,10749,10742,10743,10749,10734,10748,15,up,5,5,10755,10746,10750,9,up,7,2,10750,10737,10743,13,down,0,7,10749,10739,10739,10,down,4,10,10742,10738,10740,4,up,3,2,10759,10749,10754,10,up,11,1,10749,10743,10749,6,down,6,6,10754,10749,10753,5,up,10,2,10762,10759,10761,3,up,18,2
54.3,USD,2016-01-06 09:45:00,55.1,worse,Low,Final Services PMI,53.7,accurate,1,2016-01-06 14:45:00+00:00,1.45,2016,1,1,Wednesday,10743,10749,10743,10745,10753,10743,10751,10,up,6,6,10755,10747,10752,8,up,7,1,10759,10749,10754,10,up,9,1,10748,10740,10745,8,down,0,4,10767,10761,10763,6,up,18,1,10749,10745,10747,4,down,2,1,10758,10755,10757,3,up,12,2,10758,10754,10758,4,up,13,3,10756,10753,10754,3,down,9,2
55.3,USD,2016-01-06 10:00:00,56.0,worse,High,ISM Non-Manufacturing PMI,55.9,accurate,1,2016-01-06 15:00:00+00:00,1.25,2016,1,1,Wednesday,10753,10759,10749,10754,10767,10744,10744,23,down,10,12,10747,10741,10741,6,down,13,3,10748,10740,10745,8,up,9,4,10749,10743,10749,6,up,5,6,10761,10745,10745,16,down,9,16,10754,10749,10753,5,up,1,2,10763,10758,10761,5,up,7,3,10757,10753,10755,4,down,1,0,10758,10754,10755,4,down,1,1
-0.2%,USD,2016-01-06 10:00:00,-0.2%,accurate,Medium,Factory Orders m/m,1.3%,worse,1,2016-01-06 15:00:00+00:00,0.0,2016,1,1,Wednesday,10753,10759,10749,10754,10767,10744,10744,23,down,10,12,10747,10741,10741,6,down,13,3,10748,10740,10745,8,up,9,4,10749,10743,10749,6,up,5,6,10761,10745,10745,16,down,9,16,10754,10749,10753,5,up,1,2,10763,10758,10761,5,up,7,3,10757,10753,10755,4,down,1,0,10758,10754,10755,4,down,1,1
