actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
-153B,USD,2010-01-07 10:30:00,-147B,accurate,Low,Natural Gas Storage,-124B,accurate,2,2010-01-07 15:30:00+00:00,4.08,2010,1,1,Thursday,14322,14326,14318,14323,14326,14310,14312,16,down,11,12,14320,14307,14318,13,up,5,7,14322,14309,14318,13,down,5,3,14328,14318,14326,10,up,3,4,14316,14302,14305,14,down,18,7,14318,14308,14312,10,up,11,4,14330,14320,14328,10,up,5,2,14313,14308,14309,5,down,14,2,14324,14314,14321,10,up,2,1
-85K,USD,2010-01-08 08:30:00,-3K,worse,High,Non-Farm Employment Change,4K,better,2,2010-01-08 13:30:00+00:00,2733.33,2010,1,1,Friday,14274,14287,14269,14287,14370,14285,14329,85,up,42,37,14364,14328,14363,36,up,76,32,14371,14348,14360,23,down,73,1,14414,14397,14402,17,up,115,0,14393,14385,14391,8,down,104,0,14357,14341,14355,16,down,68,7,14325,14308,14320,17,down,33,2,14341,14334,14339,7,up,52,1,14380,14366,14376,14,up,89,9
10.0%,USD,2010-01-08 08:30:00,10.1%,better,High,Unemployment Rate,10.0%,accurate,2,2010-01-08 13:30:00+00:00,0.99,2010,1,1,Friday,14274,14287,14269,14287,14370,14285,14329,85,up,42,37,14364,14328,14363,36,up,76,32,14371,14348,14360,23,down,73,1,14414,14397,14402,17,up,115,0,14393,14385,14391,8,down,104,0,14357,14341,14355,16,down,68,7,14325,14308,14320,17,down,33,2,14341,14334,14339,7,up,52,1,14380,14366,14376,14,up,89,9
0.2%,USD,2010-01-08 08:30:00,0.2%,accurate,Medium,Average Hourly Earnings m/m,0.2%,better,2,2010-01-08 13:30:00+00:00,0.0,2010,1,1,Friday,14274,14287,14269,14287,14370,14285,14329,85,up,42,37,14364,14328,14363,36,up,76,32,14371,14348,14360,23,down,73,1,14414,14397,14402,17,up,115,0,14393,14385,14391,8,down,104,0,14357,14341,14355,16,down,68,7,14325,14308,14320,17,down,33,2,14341,14334,14339,7,up,52,1,14380,14366,14376,14,up,89,9
1.5%,USD,2010-01-08 10:00:00,-0.2%,worse,Low,Final Wholesale Inventories m/m,0.6%,worse,2,2010-01-08 15:00:00+00:00,-850.0,2010,1,1,Friday,14348,14357,14341,14355,14355,14326,14328,29,down,27,27,14340,14327,14338,13,up,17,10,14338,14299,14313,39,down,42,24,14325,14308,14320,17,up,35,2,14330,14318,14323,12,up,32,4,14341,14334,14339,7,up,16,1,14357,14341,14355,16,up,0,11,14404,14392,14393,12,up,38,5,14429,14418,14424,11,up,69,5
-17.5B,USD,2010-01-08 15:00:00,-4.9B,worse,Low,Consumer Credit m/m,-4.2B,worse,2,2010-01-08 20:00:00+00:00,257.14,2010,1,1,Friday,14414,14417,14405,14413,14414,14405,14412,9,down,1,1,14415,14408,14413,7,up,0,1,14414,14405,14408,9,down,5,5,14418,14412,14414,6,up,1,2,14417,14412,14415,5,up,2,1,14415,14410,14413,5,down,0,1,14411,14403,14408,8,down,5,3,14408,14408,14408,0,down,5,0,14408,14408,14408,0,down,5,0
-36.4B,USD,2010-01-12 08:30:00,-34.9B,worse,High,Trade Balance,-33.2B,accurate,3,2010-01-12 13:30:00+00:00,4.3,2010,1,1,Tuesday,14481,14490,14477,14479,14487,14469,14473,18,down,6,8,14483,14470,14479,13,up,0,6,14486,14476,14479,10,down,0,1,14483,14463,14466,20,down,13,12,14493,14480,14489,13,up,10,7,14514,14496,14506,18,up,27,5,14526,14507,14521,19,up,42,11,14543,14529,14535,14,up,56,2,14514,14504,14508,10,down,29,2
48.8,USD,2010-01-12 10:00:00,49.2,accurate,Low,IBD/TIPP Economic Optimism,46.8,accurate,3,2010-01-12 15:00:00+00:00,0.81,2010,1,1,Tuesday,14501,14514,14496,14506,14518,14506,14510,12,up,4,2,14511,14499,14505,12,down,1,4,14513,14502,14505,11,down,1,2,14526,14507,14521,19,up,15,11,14545,14534,14538,11,up,32,1,14543,14529,14535,14,down,29,2,14527,14517,14520,10,down,14,0,14507,14497,14505,10,down,1,2,14498,14489,14496,9,down,10,3
3.7M,USD,2010-01-13 10:30:00,1.2M,accurate,Medium,Crude Oil Inventories,1.3M,accurate,3,2010-01-13 15:30:00+00:00,-208.33,2010,1,1,Wednesday,14504,14512,14495,14510,14510,14491,14504,19,down,6,5,14510,14497,14503,13,down,7,1,14508,14495,14501,13,down,9,2,14513,14504,14509,9,up,1,1,14497,14488,14492,9,down,18,1,14491,14475,14490,16,down,20,10,14516,14504,14506,12,up,4,4,14495,14484,14494,11,down,16,6,14507,14499,14502,8,up,8,0
-91.9B,USD,2010-01-13 14:00:00,-88.9B,worse,Medium,Federal Budget Balance,-120.3B,accurate,3,2010-01-13 19:00:00+00:00,3.37,2010,1,1,Wednesday,14498,14510,14497,14504,14509,14495,14501,14,down,3,3,14502,14496,14498,6,down,6,2,14506,14495,14501,11,up,3,4,14507,14499,14502,8,up,2,0,14513,14500,14511,13,up,7,7,14514,14504,14512,10,up,8,5,14509,14503,14508,6,down,4,3,14510,14506,14508,4,down,4,1,14501,14494,14498,7,down,6,2
-0.2%,USD,2010-01-14 08:30:00,0.3%,worse,High,Core Retail Sales m/m,1.9%,better,3,2010-01-14 13:30:00+00:00,166.67,2010,1,1,Thursday,14495,14501,14493,14498,14519,14493,14495,26,down,3,2,14515,14494,14507,21,up,9,12,14516,14496,14500,20,down,2,7,14520,14502,14508,18,up,10,2,14487,14474,14481,13,down,17,1,14483,14463,14472,20,down,26,8,14484,14478,14482,6,up,16,1,14480,14467,14478,13,down,20,9,14491,14483,14488,8,up,10,0
-0.3%,USD,2010-01-14 08:30:00,0.4%,worse,High,Retail Sales m/m,1.8%,better,3,2010-01-14 13:30:00+00:00,175.0,2010,1,1,Thursday,14495,14501,14493,14498,14519,14493,14495,26,down,3,2,14515,14494,14507,21,up,9,12,14516,14496,14500,20,down,2,7,14520,14502,14508,18,up,10,2,14487,14474,14481,13,down,17,1,14483,14463,14472,20,down,26,8,14484,14478,14482,6,up,16,1,14480,14467,14478,13,down,20,9,14491,14483,14488,8,up,10,0
444K,USD,2010-01-14 08:30:00,438K,worse,High,Unemployment Claims,433K,accurate,3,2010-01-14 13:30:00+00:00,-1.37,2010,1,1,Thursday,14495,14501,14493,14498,14519,14493,14495,26,down,3,2,14515,14494,14507,21,up,9,12,14516,14496,14500,20,down,2,7,14520,14502,14508,18,up,10,2,14487,14474,14481,13,down,17,1,14483,14463,14472,20,down,26,8,14484,14478,14482,6,up,16,1,14480,14467,14478,13,down,20,9,14491,14483,14488,8,up,10,0
0.0%,USD,2010-01-14 08:30:00,-0.1%,accurate,Medium,Import Prices m/m,1.6%,accurate,3,2010-01-14 13:30:00+00:00,-100.0,2010,1,1,Thursday,14495,14501,14493,14498,14519,14493,14495,26,down,3,2,14515,14494,14507,21,up,9,12,14516,14496,14500,20,down,2,7,14520,14502,14508,18,up,10,2,14487,14474,14481,13,down,17,1,14483,14463,14472,20,down,26,8,14484,14478,14482,6,up,16,1,14480,14467,14478,13,down,20,9,14491,14483,14488,8,up,10,0
0.4%,USD,2010-01-14 10:00:00,0.1%,worse,Medium,Business Inventories m/m,0.4%,worse,3,2010-01-14 15:00:00+00:00,-300.0,2010,1,1,Thursday,14480,14483,14463,14472,14483,14469,14477,14,up,5,6,14487,14471,14484,16,up,12,7,14487,14478,14482,9,down,10,1,14484,14478,14482,6,down,10,1,14475,14465,14473,10,down,1,3,14480,14467,14478,13,up,6,9,14480,14472,14477,8,down,5,0,14492,14484,14489,8,up,17,2,14515,14507,14511,8,up,39,3
-266B,USD,2010-01-14 10:30:00,-255B,accurate,Low,Natural Gas Storage,-153B,accurate,3,2010-01-14 15:30:00+00:00,4.31,2010,1,1,Thursday,14483,14484,14478,14482,14483,14470,14477,13,down,5,4,14485,14471,14483,14,up,1,6,14490,14476,14477,14,down,5,5,14475,14465,14473,10,down,9,3,14480,14467,14478,13,up,4,9,14480,14472,14477,8,down,5,0,14491,14483,14488,8,up,6,0,14510,14503,14509,7,up,27,1,14498,14489,14492,9,down,10,6
