actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
55.1,USD,2018-01-02 09:45:00,55.0,accurate,Low,Final Manufacturing PMI,55.0,accurate,1,2018-01-02 14:45:00+00:00,-0.18,2018,1,1,Tuesday,12045,12048,12044,12047,12048,12043,12044,5,down,3,3,12046,12036,12039,10,down,8,5,12042,12035,12039,7,down,8,0,12042,12038,12039,4,down,8,1,12033,12030,12031,3,down,16,0,12053,12049,12053,4,up,6,3,12053,12047,12052,6,down,5,4,12050,12046,12049,4,down,2,2,12049,12047,12048,2,down,1,1
17.9M,USD,2018-01-03 00:00:00,17.5M,better,Low,Total Vehicle Sales,17.5M,accurate,1,2018-01-03 05:00:00+00:00,-2.29,2018,1,1,Wednesday,12051,12051,12051,12051,12051,12050,12051,1,down,0,0,12051,12049,12050,2,down,1,1,12051,12050,12050,1,down,1,0,12055,12052,12055,3,up,4,3,12058,12056,12058,2,up,7,2,12056,12054,12056,2,down,5,0,12051,12044,12045,7,down,6,6,12040,12035,12039,5,down,12,3,12043,12038,12043,5,up,8,5
59.7,USD,2018-01-03 10:00:00,58.1,better,High,ISM Manufacturing PMI,58.2,accurate,1,2018-01-03 15:00:00+00:00,-2.75,2018,1,1,Wednesday,12019,12020,12014,12018,12018,12006,12008,12,down,10,10,12011,12006,12008,5,down,10,0,12010,12006,12009,4,up,9,1,12007,12003,12005,4,down,13,0,12025,12019,12024,6,up,6,3,12022,12020,12021,2,down,3,0,12032,12029,12030,3,up,12,1,12029,12027,12027,2,down,9,0,12029,12026,12027,3,down,9,1
0.8%,USD,2018-01-03 10:00:00,0.6%,accurate,Low,Construction Spending m/m,0.9%,worse,1,2018-01-03 15:00:00+00:00,-33.33,2018,1,1,Wednesday,12019,12020,12014,12018,12018,12006,12008,12,down,10,10,12011,12006,12008,5,down,10,0,12010,12006,12009,4,up,9,1,12007,12003,12005,4,down,13,0,12025,12019,12024,6,up,6,3,12022,12020,12021,2,down,3,0,12032,12029,12030,3,up,12,1,12029,12027,12027,2,down,9,0,12029,12026,12027,3,down,9,1
69.0,USD,2018-01-03 10:00:00,64.8,better,Low,ISM Manufacturing Prices,65.5,accurate,1,2018-01-03 15:00:00+00:00,-6.48,2018,1,1,Wednesday,12019,12020,12014,12018,12018,12006,12008,12,down,10,10,12011,12006,12008,5,down,10,0,12010,12006,12009,4,up,9,1,12007,12003,12005,4,down,13,0,12025,12019,12024,6,up,6,3,12022,12020,12021,2,down,3,0,12032,12029,12030,3,up,12,1,12029,12027,12027,2,down,9,0,12029,12026,12027,3,down,9,1
250K,USD,2018-01-04 08:15:00,191K,better,High,ADP Non-Farm Employment Change,185K,accurate,1,2018-01-04 13:15:00+00:00,-30.89,2018,1,1,Thursday,12063,12067,12063,12064,12066,12055,12063,11,down,1,1,12073,12062,12068,11,up,4,5,12069,12063,12064,6,down,0,4,12066,12062,12066,4,up,2,2,12066,12063,12063,3,down,1,2,12084,12076,12082,8,up,18,4,12088,12080,12088,8,up,24,8,12076,12065,12066,11,down,2,7,12065,12063,12064,2,down,0,1
250K,USD,2018-01-04 08:30:00,241K,worse,High,Unemployment Claims,247K,accurate,1,2018-01-04 13:30:00+00:00,-3.73,2018,1,1,Thursday,12068,12069,12063,12064,12069,12058,12059,11,down,5,5,12064,12058,12063,6,up,1,4,12066,12062,12066,4,up,2,2,12068,12062,12062,6,down,2,4,12063,12060,12063,3,up,1,1,12084,12078,12082,6,up,18,2,12089,12082,12082,7,down,18,6,12073,12067,12069,6,down,5,1,12067,12062,12067,5,down,3,3
53.7,USD,2018-01-04 09:45:00,52.4,better,Low,Final Services PMI,52.4,accurate,1,2018-01-04 14:45:00+00:00,-2.48,2018,1,1,Thursday,12078,12084,12076,12082,12086,12078,12086,8,up,4,4,12086,12080,12080,6,down,2,6,12084,12078,12082,6,up,0,2,12088,12080,12088,8,up,6,8,12079,12076,12078,3,down,4,2,12076,12065,12066,11,down,16,7,12071,12067,12067,4,up,15,2,12078,12067,12078,11,up,4,11,12064,12061,12063,3,down,19,0
-206B,USD,2018-01-04 10:30:00,-221B,accurate,Low,Natural Gas Storage,-112B,accurate,1,2018-01-04 15:30:00+00:00,-6.79,2018,1,1,Thursday,12088,12089,12082,12082,12082,12077,12078,5,down,4,4,12080,12076,12076,4,down,6,2,12079,12076,12078,3,up,4,2,12085,12071,12074,14,down,8,5,12073,12067,12069,6,down,13,1,12065,12061,12063,4,down,19,0,12067,12062,12067,5,up,15,3,12073,12071,12072,2,up,10,1,12069,12065,12067,4,down,15,1
-7.4M,USD,2018-01-04 11:00:00,-5.2M,accurate,High,Crude Oil Inventories,-4.6M,accurate,1,2018-01-04 16:00:00+00:00,42.31,2018,1,1,Thursday,12079,12085,12071,12074,12077,12072,12074,5,down,0,0,12076,12072,12073,4,down,1,1,12076,12065,12066,11,down,8,7,12073,12067,12069,6,up,5,1,12065,12061,12063,4,down,11,0,12067,12062,12067,5,up,7,3,12075,12072,12074,3,up,0,0,12065,12061,12065,4,down,9,3,12072,12069,12071,3,up,3,1
