actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
32.4,USD,2009-01-02 10:00:00,35.5,worse,High,ISM Manufacturing PMI,36.2,accurate,1,2009-01-02 15:00:00+00:00,8.73,2009,1,1,Friday,13909,13919,13908,13914,13946,13913,13942,33,up,28,29,13949,13935,13943,14,up,29,1,13958,13942,13958,16,up,44,15,13984,13967,13971,17,up,57,11,13969,13935,13935,34,down,21,29,13941,13927,13932,14,down,18,4,13951,13942,13944,9,up,30,6,13905,13885,13887,20,down,27,16,13859,13842,13857,17,down,57,10
18.0,USD,2009-01-02 10:00:00,20.5,worse,Low,ISM Manufacturing Prices,25.5,accurate,1,2009-01-02 15:00:00+00:00,12.2,2009,1,1,Friday,13909,13919,13908,13914,13946,13913,13942,33,up,28,29,13949,13935,13943,14,up,29,1,13958,13942,13958,16,up,44,15,13984,13967,13971,17,up,57,11,13969,13935,13935,34,down,21,29,13941,13927,13932,14,down,18,4,13951,13942,13944,9,up,30,6,13905,13885,13887,20,down,27,16,13859,13842,13857,17,down,57,10
10.3M,USD,2009-01-05 00:00:00,10.0M,better,Low,Total Vehicle Sales,10.2M,accurate,2,2009-01-05 05:00:00+00:00,-3.0,2009,1,1,Monday,13874,13882,13874,13881,13882,13875,13876,7,down,5,6,13879,13875,13878,4,up,3,2,13900,13878,13894,22,up,13,16,13885,13879,13880,6,down,1,5,13896,13886,13892,10,up,11,0,13932,13914,13916,18,up,35,9,13934,13912,13934,22,up,53,21,13928,13910,13927,18,down,46,1,13689,13667,13678,22,down,203,8
-0.6%,USD,2009-01-05 10:00:00,-1.3%,better,Low,Construction Spending m/m,-0.4%,better,2,2009-01-05 15:00:00+00:00,-53.85,2009,1,1,Monday,13642,13647,13632,13632,13635,13620,13628,15,down,4,3,13632,13600,13604,32,down,28,24,13619,13602,13617,17,up,15,13,13632,13618,13625,14,up,7,4,13636,13629,13634,7,up,2,0,13619,13604,13614,15,down,18,6,13598,13575,13575,23,down,57,23,13579,13558,13579,21,up,53,19,13603,13595,13600,8,up,32,4
40.6,USD,2009-01-06 10:00:00,36.9,better,High,ISM Non-Manufacturing PMI,37.3,accurate,2,2009-01-06 15:00:00+00:00,-10.03,2009,1,1,Tuesday,13392,13414,13391,13413,13444,13411,13428,33,up,15,17,13428,13404,13404,24,down,9,24,13416,13403,13411,13,up,2,7,13384,13365,13383,19,down,30,8,13384,13371,13382,13,down,31,9,13399,13386,13394,13,up,19,0,13453,13427,13444,26,up,31,9,13496,13473,13496,23,up,83,20,13469,13457,13466,12,down,53,3
-4.0%,USD,2009-01-06 10:00:00,-0.9%,worse,High,Pending Home Sales m/m,-4.2%,worse,2,2009-01-06 15:00:00+00:00,344.44,2009,1,1,Tuesday,13392,13414,13391,13413,13444,13411,13428,33,up,15,17,13428,13404,13404,24,down,9,24,13416,13403,13411,13,up,2,7,13384,13365,13383,19,down,30,8,13384,13371,13382,13,down,31,9,13399,13386,13394,13,up,19,0,13453,13427,13444,26,up,31,9,13496,13473,13496,23,up,83,20,13469,13457,13466,12,down,53,3
-4.6%,USD,2009-01-06 10:00:00,-2.5%,worse,Medium,Factory Orders m/m,-6.0%,worse,2,2009-01-06 15:00:00+00:00,84.0,2009,1,1,Tuesday,13392,13414,13391,13413,13444,13411,13428,33,up,15,17,13428,13404,13404,24,down,9,24,13416,13403,13411,13,up,2,7,13384,13365,13383,19,down,30,8,13384,13371,13382,13,down,31,9,13399,13386,13394,13,up,19,0,13453,13427,13444,26,up,31,9,13496,13473,13496,23,up,83,20,13469,13457,13466,12,down,53,3
-693K,USD,2009-01-07 08:15:00,-495K,worse,High,ADP Non-Farm Employment Change,-476K,worse,2,2009-01-07 13:15:00+00:00,40.0,2009,1,1,Wednesday,13599,13607,13594,13594,13631,13591,13623,40,up,29,29,13627,13606,13625,21,up,31,2,13688,13626,13678,62,up,84,52,13731,13709,13715,22,up,121,14,13701,13675,13701,26,down,107,25,13697,13673,13681,24,down,87,4,13666,13653,13658,13,down,64,7,13705,13676,13698,29,up,104,20,13703,13692,13703,11,up,109,7
6.7M,USD,2009-01-07 10:30:00,0.7M,accurate,Medium,Crude Oil Inventories,0.5M,accurate,2,2009-01-07 15:30:00+00:00,-857.14,2009,1,1,Wednesday,13652,13653,13630,13634,13651,13627,13645,24,up,11,12,13664,13639,13649,25,up,15,2,13651,13630,13634,21,down,0,14,13648,13610,13648,38,up,14,36,13693,13676,13682,17,up,48,4,13717,13703,13717,14,up,83,9,13707,13685,13685,22,down,51,22,13676,13656,13675,20,down,41,15,13629,13611,13627,18,down,7,11
467K,USD,2009-01-08 08:30:00,545K,better,High,Unemployment Claims,491K,accurate,2,2009-01-08 13:30:00+00:00,14.31,2009,1,1,Thursday,13632,13649,13627,13629,13695,13621,13692,74,up,63,63,13695,13674,13686,21,down,57,6,13695,13678,13685,17,down,56,0,13732,13712,13722,20,up,93,9,13757,13747,13755,10,up,126,6,13742,13730,13741,12,down,112,4,13741,13725,13736,16,down,107,5,13753,13725,13730,28,down,101,18,13719,13702,13706,17,down,77,13
