actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
5.00M,USD,2007-12-31 10:00:00,4.97M,better,High,Existing Home Sales,4.98M,accurate,52,2007-12-31 15:00:00+00:00,-0.6,2007,4,12,Monday
-6.1%,USD,2007-12-26 09:00:00,-5.6%,worse,Low,S&P/CS Composite-20 HPI y/y,-4.9%,accurate,52,2007-12-26 14:00:00+00:00,8.93,2007,4,12,Wednesday
-4,USD,2007-12-26 10:00:00,0,worse,Low,Richmond Manufacturing Index,0,accurate,52,2007-12-26 15:00:00+00:00,-400.0,2007,4,12,Wednesday
-0.7%,USD,2007-12-27 08:30:00,0.5%,worse,High,Core Durable Goods Orders m/m,-0.9%,worse,52,2007-12-27 13:30:00+00:00,240.0,2007,4,12,Thursday
0.1%,USD,2007-12-27 08:30:00,2.0%,worse,Medium,Durable Goods Orders m/m,-0.4%,accurate,52,2007-12-27 13:30:00+00:00,95.0,2007,4,12,Thursday
349K,USD,2007-12-27 08:30:00,340K,worse,Low,Unemployment Claims,348K,accurate,52,2007-12-27 13:30:00+00:00,-2.65,2007,4,12,Thursday
88.6,USD,2007-12-27 10:00:00,86.5,better,High,CB Consumer Confidence,87.8,better,52,2007-12-27 15:00:00+00:00,-2.43,2007,4,12,Thursday
-3.3M,USD,2007-12-27 10:30:00,-1.4M,accurate,Low,Crude Oil Inventories,-7.6M,accurate,52,2007-12-27 15:30:00+00:00,135.71,2007,4,12,Thursday
56.6,USD,2007-12-28 09:45:00,52.0,better,Medium,Chicago PMI,52.9,accurate,52,2007-12-28 14:45:00+00:00,-8.85,2007,4,12,Friday
647K,USD,2007-12-28 10:00:00,718K,worse,High,New Home Sales,711K,worse,52,2007-12-28 15:00:00+00:00,9.89,2007,4,12,Friday
-165B,USD,2007-12-28 10:30:00,-155B,accurate,Low,Natural Gas Storage,-121B,accurate,52,2007-12-28 15:30:00+00:00,6.45,2007,4,12,Friday
-179B,USD,2007-12-17 08:30:00,-183B,better,Medium,Current Account,-189B,accurate,51,2007-12-17 13:30:00+00:00,-2.19,2007,4,12,Monday
10.3,USD,2007-12-17 08:30:00,20.0,worse,Medium,Empire State Manufacturing Index,27.4,accurate,51,2007-12-17 13:30:00+00:00,48.5,2007,4,12,Monday
114.0B,USD,2007-12-17 09:00:00,49.0B,better,High,TIC Long-Term Purchases,15.4B,worse,51,2007-12-17 14:00:00+00:00,-132.65,2007,4,12,Monday
19,USD,2007-12-17 13:00:00,19,accurate,Low,NAHB Housing Market Index,19,accurate,51,2007-12-17 18:00:00+00:00,0.0,2007,4,12,Monday
1.15M,USD,2007-12-18 08:30:00,1.15M,accurate,High,Building Permits,1.17M,accurate,51,2007-12-18 13:30:00+00:00,0.0,2007,4,12,Tuesday
1.19M,USD,2007-12-18 08:30:00,1.18M,accurate,Medium,Housing Starts,1.23M,accurate,51,2007-12-18 13:30:00+00:00,-0.85,2007,4,12,Tuesday
-7.6M,USD,2007-12-19 10:30:00,-1.5M,accurate,Low,Crude Oil Inventories,-0.7M,accurate,51,2007-12-19 15:30:00+00:00,406.67,2007,4,12,Wednesday
4.9%,USD,2007-12-20 08:30:00,4.9%,accurate,Medium,Final GDP q/q,4.9%,accurate,51,2007-12-20 13:30:00+00:00,0.0,2007,4,12,Thursday
346K,USD,2007-12-20 08:30:00,335K,worse,Medium,Unemployment Claims,334K,accurate,51,2007-12-20 13:30:00+00:00,-3.28,2007,4,12,Thursday
1.0%,USD,2007-12-20 08:30:00,0.9%,accurate,Low,Final GDP Price Index q/q,0.9%,accurate,51,2007-12-20 13:30:00+00:00,-11.11,2007,4,12,Thursday
-0.4%,USD,2007-12-20 10:00:00,-0.3%,worse,Low,CB Leading Index m/m,-0.5%,accurate,51,2007-12-20 15:00:00+00:00,33.33,2007,4,12,Thursday
-121B,USD,2007-12-20 10:30:00,-133B,accurate,Low,Natural Gas Storage,-146B,accurate,51,2007-12-20 15:30:00+00:00,-9.02,2007,4,12,Thursday
-5.7,USD,2007-12-20 12:00:00,6.2,worse,Medium,Philly Fed Manufacturing Index,8.2,accurate,51,2007-12-20 17:00:00+00:00,191.94,2007,4,12,Thursday
0.2%,USD,2007-12-21 08:30:00,0.2%,accurate,Medium,Core PCE Price Index m/m,0.2%,accurate,51,2007-12-21 13:30:00+00:00,0.0,2007,4,12,Friday
1.1%,USD,2007-12-21 08:30:00,0.7%,better,Medium,Personal Spending m/m,0.4%,better,51,2007-12-21 13:30:00+00:00,-57.14,2007,4,12,Friday
0.4%,USD,2007-12-21 08:30:00,0.5%,worse,Low,Personal Income m/m,0.2%,accurate,51,2007-12-21 13:30:00+00:00,20.0,2007,4,12,Friday
75.5,USD,2007-12-21 10:00:00,75.0,accurate,Medium,Revised UoM Consumer Sentiment,74.5,accurate,51,2007-12-21 15:00:00+00:00,-0.67,2007,4,12,Friday
0.6%,USD,2007-12-10 10:00:00,-1.0%,better,High,Pending Home Sales m/m,1.4%,better,50,2007-12-10 15:00:00+00:00,-160.0,2007,4,12,Monday
0.0%,USD,2007-12-11 10:00:00,0.5%,better,Low,Final Wholesale Inventories m/m,0.6%,better,50,2007-12-11 15:00:00+00:00,100.0,2007,4,12,Tuesday
44.4,USD,2007-12-11 10:00:00,43.0,better,Low,IBD/TIPP Economic Optimism,43.8,accurate,50,2007-12-11 15:00:00+00:00,-3.26,2007,4,12,Tuesday
4.25%,USD,2007-12-11 14:15:00,4.25%,accurate,High,Federal Funds Rate,4.50%,accurate,50,2007-12-11 19:15:00+00:00,0.0,2007,4,12,Tuesday
-57.8B,USD,2007-12-12 08:30:00,-57.3B,accurate,High,Trade Balance,-57.1B,accurate,50,2007-12-12 13:30:00+00:00,0.87,2007,4,12,Wednesday
2.7%,USD,2007-12-12 08:30:00,2.0%,better,Medium,Import Prices m/m,1.4%,worse,50,2007-12-12 13:30:00+00:00,-35.0,2007,4,12,Wednesday
-0.7M,USD,2007-12-12 10:30:00,-0.9M,accurate,Low,Crude Oil Inventories,-7.9M,accurate,50,2007-12-12 15:30:00+00:00,-22.22,2007,4,12,Wednesday
-98.2B,USD,2007-12-12 14:00:00,-85.0B,worse,Medium,Federal Budget Balance,-55.6B,accurate,50,2007-12-12 19:00:00+00:00,15.53,2007,4,12,Wednesday
1.8%,USD,2007-12-13 08:30:00,0.6%,better,High,Core Retail Sales m/m,0.4%,better,50,2007-12-13 13:30:00+00:00,-200.0,2007,4,12,Thursday
3.2%,USD,2007-12-13 08:30:00,1.6%,better,High,PPI m/m,0.1%,accurate,50,2007-12-13 13:30:00+00:00,-100.0,2007,4,12,Thursday
1.2%,USD,2007-12-13 08:30:00,0.5%,better,High,Retail Sales m/m,0.2%,accurate,50,2007-12-13 13:30:00+00:00,-140.0,2007,4,12,Thursday
0.4%,USD,2007-12-13 08:30:00,0.2%,better,Medium,Core PPI m/m,0.0%,accurate,50,2007-12-13 13:30:00+00:00,-100.0,2007,4,12,Thursday
333K,USD,2007-12-13 08:30:00,335K,accurate,Low,Unemployment Claims,340K,accurate,50,2007-12-13 13:30:00+00:00,0.6,2007,4,12,Thursday
0.1%,USD,2007-12-13 10:00:00,0.4%,better,Medium,Business Inventories m/m,0.4%,accurate,50,2007-12-13 15:00:00+00:00,75.0,2007,4,12,Thursday
