actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
54.0,USD,2013-01-02 09:00:00,53.2,better,Low,Final Manufacturing PMI,54.2,accurate,1,2013-01-02 14:00:00+00:00,-1.5,2013,1,1,Wednesday,13247,13252,13245,13249,13248,13242,13244,6,down,5,4,13246,13242,13245,4,up,4,1,13254,13245,13254,9,up,5,9,13250,13237,13241,13,down,8,7,13257,13254,13254,3,up,5,3,13255,13246,13254,9,down,5,8,13246,13238,13239,8,down,10,4,13199,13195,13195,4,down,54,2,13173,13168,13169,5,down,80,3
50.7,USD,2013-01-02 10:00:00,50.2,better,High,ISM Manufacturing PMI,49.5,accurate,1,2013-01-02 15:00:00+00:00,-1.0,2013,1,1,Wednesday,13257,13257,13254,13254,13259,13254,13258,5,up,4,4,13258,13252,13253,6,down,1,4,13260,13253,13256,7,up,2,3,13255,13246,13254,9,down,0,8,13246,13238,13239,8,down,15,4,13195,13189,13193,6,down,61,2,13199,13195,13195,4,up,59,2,13173,13168,13169,5,down,85,3,13167,13164,13164,3,down,90,2
-0.3%,USD,2013-01-02 10:00:00,0.6%,worse,Low,Construction Spending m/m,0.7%,worse,1,2013-01-02 15:00:00+00:00,150.0,2013,1,1,Wednesday,13257,13257,13254,13254,13259,13254,13258,5,up,4,4,13258,13252,13253,6,down,1,4,13260,13253,13256,7,up,2,3,13255,13246,13254,9,down,0,8,13246,13238,13239,8,down,15,4,13195,13189,13193,6,down,61,2,13199,13195,13195,4,up,59,2,13173,13168,13169,5,down,85,3,13167,13164,13164,3,down,90,2
55.5,USD,2013-01-02 10:00:00,51.4,better,Low,ISM Manufacturing Prices,52.5,accurate,1,2013-01-02 15:00:00+00:00,-7.98,2013,1,1,Wednesday,13257,13257,13254,13254,13259,13254,13258,5,up,4,4,13258,13252,13253,6,down,1,4,13260,13253,13256,7,up,2,3,13255,13246,13254,9,down,0,8,13246,13238,13239,8,down,15,4,13195,13189,13193,6,down,61,2,13199,13195,13195,4,up,59,2,13173,13168,13169,5,down,85,3,13167,13164,13164,3,down,90,2
15.4M,USD,2013-01-03 00:00:00,15.3M,accurate,Low,Total Vehicle Sales,15.5M,accurate,1,2013-01-03 05:00:00+00:00,-0.65,2013,1,1,Thursday,13138,13138,13137,13137,13137,13132,13133,5,down,4,4,13134,13132,13134,2,up,3,1,13136,13134,13135,2,up,2,1,13138,13136,13136,2,up,1,2,13139,13137,13139,2,up,2,2,13146,13144,13146,2,up,9,0,13146,13143,13145,3,down,8,1,13138,13134,13134,4,down,3,3,13164,13160,13164,4,up,27,1
215K,USD,2013-01-03 08:15:00,134K,better,High,ADP Non-Farm Employment Change,148K,better,1,2013-01-03 13:15:00+00:00,-60.45,2013,1,1,Thursday,13100,13104,13100,13102,13102,13086,13091,16,down,11,11,13094,13087,13090,7,down,12,2,13098,13090,13097,8,up,5,7,13108,13102,13107,6,up,5,5,13114,13112,13113,2,up,11,0,13100,13095,13098,5,down,4,0,13113,13103,13105,10,up,3,8,13111,13104,13111,7,up,9,5,13110,13107,13110,3,down,8,3
372K,USD,2013-01-03 08:30:00,356K,worse,High,Unemployment Claims,362K,worse,1,2013-01-03 13:30:00+00:00,-4.49,2013,1,1,Thursday,13090,13098,13090,13097,13110,13096,13104,14,up,7,7,13106,13099,13102,7,down,5,2,13108,13102,13107,6,up,10,5,13111,13107,13111,4,up,14,3,13109,13105,13108,4,down,11,2,13106,13099,13100,7,down,3,2,13110,13105,13107,5,up,10,2,13117,13109,13110,8,up,13,5,13113,13111,13112,2,up,15,1
155K,USD,2013-01-04 08:30:00,150K,accurate,High,Non-Farm Employment Change,161K,better,1,2013-01-04 13:30:00+00:00,-3.33,2013,1,1,Friday,13010,13013,13007,13010,13036,13008,13026,28,up,16,16,13032,13009,13014,23,down,4,11,13027,13012,13024,15,up,14,10,13045,13037,13040,8,up,30,2,13043,13038,13041,5,up,31,2,13064,13056,13062,8,up,52,1,13048,13045,13045,3,down,35,2,13044,13038,13042,6,down,32,3,13045,13039,13039,6,down,29,6
7.8%,USD,2013-01-04 08:30:00,7.7%,worse,High,Unemployment Rate,7.7%,accurate,1,2013-01-04 13:30:00+00:00,-1.3,2013,1,1,Friday,13010,13013,13007,13010,13036,13008,13026,28,up,16,16,13032,13009,13014,23,down,4,11,13027,13012,13024,15,up,14,10,13045,13037,13040,8,up,30,2,13043,13038,13041,5,up,31,2,13064,13056,13062,8,up,52,1,13048,13045,13045,3,down,35,2,13044,13038,13042,6,down,32,3,13045,13039,13039,6,down,29,6
0.3%,USD,2013-01-04 08:30:00,0.2%,better,Medium,Average Hourly Earnings m/m,0.3%,better,1,2013-01-04 13:30:00+00:00,-50.0,2013,1,1,Friday,13010,13013,13007,13010,13036,13008,13026,28,up,16,16,13032,13009,13014,23,down,4,11,13027,13012,13024,15,up,14,10,13045,13037,13040,8,up,30,2,13043,13038,13041,5,up,31,2,13064,13056,13062,8,up,52,1,13048,13045,13045,3,down,35,2,13044,13038,13042,6,down,32,3,13045,13039,13039,6,down,29,6
