actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-60.5B,USD,2015-12-29 08:30:00,-60.9B,accurate,Medium,Goods Trade Balance,-58.4B,accurate,52,2015-12-29 13:30:00+00:00,-0.66,2015,4,12,Tuesday
5.5%,USD,2015-12-29 09:00:00,5.6%,accurate,Low,S&P/CS Composite-20 HPI y/y,5.4%,accurate,52,2015-12-29 14:00:00+00:00,1.79,2015,4,12,Tuesday
96.5,USD,2015-12-29 10:00:00,93.9,better,High,CB Consumer Confidence,92.6,better,52,2015-12-29 15:00:00+00:00,-2.77,2015,4,12,Tuesday
-0.9%,USD,2015-12-30 10:00:00,0.6%,worse,Medium,Pending Home Sales m/m,0.4%,better,52,2015-12-30 15:00:00+00:00,250.0,2015,4,12,Wednesday
2.6M,USD,2015-12-30 10:30:00,-1.8M,accurate,Medium,Crude Oil Inventories,-5.9M,accurate,52,2015-12-30 15:30:00+00:00,-244.44,2015,4,12,Wednesday
287K,USD,2015-12-31 08:30:00,274K,worse,High,Unemployment Claims,267K,accurate,52,2015-12-31 13:30:00+00:00,-4.74,2015,4,12,Thursday
42.9,USD,2015-12-31 09:45:00,50.4,worse,Medium,Chicago PMI,48.7,accurate,52,2015-12-31 14:45:00+00:00,14.88,2015,4,12,Thursday
-58B,USD,2015-12-31 10:30:00,-54B,accurate,Low,Natural Gas Storage,-32B,accurate,52,2015-12-31 15:30:00+00:00,7.41,2015,4,12,Thursday
2.0%,USD,2015-12-22 08:30:00,1.9%,better,High,Final GDP q/q,2.1%,accurate,52,2015-12-22 13:30:00+00:00,-5.26,2015,4,12,Tuesday
1.3%,USD,2015-12-22 08:30:00,1.3%,accurate,Low,Final GDP Price Index q/q,1.3%,accurate,52,2015-12-22 13:30:00+00:00,0.0,2015,4,12,Tuesday
0.5%,USD,2015-12-22 09:00:00,0.4%,better,Low,HPI m/m,0.7%,worse,52,2015-12-22 14:00:00+00:00,-25.0,2015,4,12,Tuesday
4.76M,USD,2015-12-22 10:00:00,5.32M,worse,Medium,Existing Home Sales,5.32M,worse,52,2015-12-22 15:00:00+00:00,10.53,2015,4,12,Tuesday
6,USD,2015-12-22 10:00:00,-1,better,Low,Richmond Manufacturing Index,-3,accurate,52,2015-12-22 15:00:00+00:00,-700.0,2015,4,12,Tuesday
0.3%,USD,2015-12-22 19:50:00,0.3%,accurate,Medium,Personal Spending m/m,0.0%,worse,52,2015-12-23 00:50:00+00:00,0.0,2015,4,12,Tuesday
