actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
6.4%,USD,2017-12-26 09:00:00,6.3%,accurate,Low,S&P/CS Composite-20 HPI y/y,6.2%,accurate,52,2017-12-26 14:00:00+00:00,-1.59,2017,4,12,Tuesday
20,USD,2017-12-26 09:59:00,22,worse,Low,Richmond Manufacturing Index,30,accurate,52,2017-12-26 15:00:00+00:00,9.09,2017,4,12,Tuesday
122.1,USD,2017-12-27 10:00:00,128.2,worse,High,CB Consumer Confidence,128.6,worse,52,2017-12-27 15:00:00+00:00,4.76,2017,4,12,Wednesday
0.2%,USD,2017-12-27 10:00:00,-0.4%,better,Medium,Pending Home Sales m/m,3.5%,accurate,52,2017-12-27 15:00:00+00:00,-150.0,2017,4,12,Wednesday
245K,USD,2017-12-28 08:30:00,240K,worse,High,Unemployment Claims,245K,accurate,52,2017-12-28 13:30:00+00:00,-2.08,2017,4,12,Thursday
-69.7B,USD,2017-12-28 08:30:00,-67.7B,worse,Low,Goods Trade Balance,-68.1B,accurate,52,2017-12-28 13:30:00+00:00,2.95,2017,4,12,Thursday
0.7%,USD,2017-12-28 08:30:00,0.4%,worse,Low,Prelim Wholesale Inventories m/m,-0.5%,better,52,2017-12-28 13:30:00+00:00,-75.0,2017,4,12,Thursday
67.6,USD,2017-12-28 09:45:00,62.2,better,Medium,Chicago PMI,63.9,accurate,52,2017-12-28 14:45:00+00:00,-8.68,2017,4,12,Thursday
-112B,USD,2017-12-28 10:30:00,-115B,accurate,Low,Natural Gas Storage,-182B,accurate,52,2017-12-28 15:30:00+00:00,-2.61,2017,4,12,Thursday
-4.6M,USD,2017-12-28 11:00:00,-3.9M,accurate,High,Crude Oil Inventories,-6.5M,accurate,52,2017-12-28 16:00:00+00:00,17.95,2017,4,12,Thursday
74,USD,2017-12-18 10:00:00,70,better,Low,NAHB Housing Market Index,69,worse,51,2017-12-18 15:00:00+00:00,-5.71,2017,4,12,Monday
1.30M,USD,2017-12-19 08:30:00,1.27M,better,High,Building Permits,1.32M,accurate,51,2017-12-19 13:30:00+00:00,-2.36,2017,4,12,Tuesday
-101B,USD,2017-12-19 08:30:00,-116B,better,Medium,Current Account,-124B,accurate,51,2017-12-19 13:30:00+00:00,-12.93,2017,4,12,Tuesday
1.30M,USD,2017-12-19 08:30:00,1.25M,better,Medium,Housing Starts,1.26M,worse,51,2017-12-19 13:30:00+00:00,-4.0,2017,4,12,Tuesday
5.81M,USD,2017-12-20 10:00:00,5.53M,better,Medium,Existing Home Sales,5.50M,accurate,51,2017-12-20 15:00:00+00:00,-5.06,2017,4,12,Wednesday
