actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-6.5M,USD,2017-12-20 10:30:00,-3.6M,accurate,High,Crude Oil Inventories,-5.1M,accurate,51,2017-12-20 15:30:00+00:00,80.56,2017,4,12,Wednesday
3.2%,USD,2017-12-21 08:30:00,3.3%,worse,High,Final GDP q/q,3.3%,accurate,51,2017-12-21 13:30:00+00:00,3.03,2017,4,12,Thursday
26.2,USD,2017-12-21 08:30:00,21.5,better,Medium,Philly Fed Manufacturing Index,22.7,accurate,51,2017-12-21 13:30:00+00:00,-21.86,2017,4,12,Thursday
245K,USD,2017-12-21 08:30:00,232K,worse,Medium,Unemployment Claims,225K,accurate,51,2017-12-21 13:30:00+00:00,-5.6,2017,4,12,Thursday
2.1%,USD,2017-12-21 08:30:00,2.1%,accurate,Low,Final GDP Price Index q/q,2.1%,accurate,51,2017-12-21 13:30:00+00:00,0.0,2017,4,12,Thursday
0.5%,USD,2017-12-21 09:00:00,0.4%,better,Low,HPI m/m,0.5%,better,51,2017-12-21 14:00:00+00:00,-25.0,2017,4,12,Thursday
0.4%,USD,2017-12-21 10:00:00,0.4%,accurate,Low,CB Leading Index m/m,1.2%,accurate,51,2017-12-21 15:00:00+00:00,0.0,2017,4,12,Thursday
-182B,USD,2017-12-21 10:30:00,-160B,accurate,Low,Natural Gas Storage,-69B,accurate,51,2017-12-21 15:30:00+00:00,13.75,2017,4,12,Thursday
-0.1%,USD,2017-12-22 08:30:00,0.5%,worse,High,Core Durable Goods Orders m/m,0.9%,better,51,2017-12-22 13:30:00+00:00,120.0,2017,4,12,Friday
0.1%,USD,2017-12-22 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.2%,accurate,51,2017-12-22 13:30:00+00:00,0.0,2017,4,12,Friday
1.3%,USD,2017-12-22 08:30:00,2.1%,worse,Medium,Durable Goods Orders m/m,-0.8%,better,51,2017-12-22 13:30:00+00:00,38.1,2017,4,12,Friday
0.6%,USD,2017-12-22 08:30:00,0.5%,better,Medium,Personal Spending m/m,0.2%,worse,51,2017-12-22 13:30:00+00:00,-20.0,2017,4,12,Friday
0.3%,USD,2017-12-22 08:30:00,0.4%,worse,Low,Personal Income m/m,0.4%,accurate,51,2017-12-22 13:30:00+00:00,25.0,2017,4,12,Friday
733K,USD,2017-12-22 10:00:00,654K,better,Medium,New Home Sales,624K,worse,51,2017-12-22 15:00:00+00:00,-12.08,2017,4,12,Friday
95.9,USD,2017-12-22 10:00:00,97.1,worse,Medium,Revised UoM Consumer Sentiment,96.8,accurate,51,2017-12-22 15:00:00+00:00,1.24,2017,4,12,Friday
6.00M,USD,2017-12-11 10:00:00,6.03M,accurate,Low,JOLTS Job Openings,6.18M,better,50,2017-12-11 15:00:00+00:00,0.5,2017,4,12,Monday
107.5,USD,2017-12-12 06:00:00,104.6,better,Low,NFIB Small Business Index,103.8,accurate,50,2017-12-12 11:00:00+00:00,-2.77,2017,4,12,Tuesday
0.4%,USD,2017-12-12 08:30:00,0.4%,accurate,High,PPI m/m,0.4%,accurate,50,2017-12-12 13:30:00+00:00,0.0,2017,4,12,Tuesday
0.3%,USD,2017-12-12 08:30:00,0.2%,better,Medium,Core PPI m/m,0.4%,accurate,50,2017-12-12 13:30:00+00:00,-50.0,2017,4,12,Tuesday
-138.5B,USD,2017-12-12 14:00:00,-135.2B,worse,Low,Federal Budget Balance,-63.2B,accurate,50,2017-12-12 19:00:00+00:00,2.44,2017,4,12,Tuesday
0.4%,USD,2017-12-13 08:30:00,0.4%,accurate,High,CPI m/m,0.1%,accurate,50,2017-12-13 13:30:00+00:00,0.0,2017,4,12,Wednesday
0.1%,USD,2017-12-13 08:30:00,0.2%,worse,High,Core CPI m/m,0.2%,accurate,50,2017-12-13 13:30:00+00:00,50.0,2017,4,12,Wednesday
-5.1M,USD,2017-12-13 10:30:00,-3.6M,accurate,High,Crude Oil Inventories,-5.6M,accurate,50,2017-12-13 15:30:00+00:00,41.67,2017,4,12,Wednesday
<1.50%,USD,2017-12-13 14:00:00,<1.50%,accurate,High,Federal Funds Rate,<1.25%,accurate,50,2017-12-13 19:00:00+00:00,0.0,2017,4,12,Wednesday
1.0%,USD,2017-12-14 08:30:00,0.6%,better,High,Core Retail Sales m/m,0.4%,better,50,2017-12-14 13:30:00+00:00,-66.67,2017,4,12,Thursday
0.8%,USD,2017-12-14 08:30:00,0.3%,better,High,Retail Sales m/m,0.5%,better,50,2017-12-14 13:30:00+00:00,-166.67,2017,4,12,Thursday
0.7%,USD,2017-12-14 08:30:00,0.7%,accurate,Medium,Import Prices m/m,0.1%,accurate,50,2017-12-14 13:30:00+00:00,0.0,2017,4,12,Thursday
225K,USD,2017-12-14 08:30:00,237K,better,Medium,Unemployment Claims,236K,accurate,50,2017-12-14 13:30:00+00:00,5.06,2017,4,12,Thursday
55.0,USD,2017-12-14 09:45:00,54.0,better,Low,Flash Manufacturing PMI,53.9,accurate,50,2017-12-14 14:45:00+00:00,-1.85,2017,4,12,Thursday
52.4,USD,2017-12-14 09:45:00,54.8,worse,Low,Flash Services PMI,54.5,accurate,50,2017-12-14 14:45:00+00:00,4.38,2017,4,12,Thursday
-0.1%,USD,2017-12-14 10:00:00,-0.1%,accurate,Low,Business Inventories m/m,0.0%,accurate,50,2017-12-14 15:00:00+00:00,0.0,2017,4,12,Thursday
-69B,USD,2017-12-14 10:30:00,-55B,accurate,Low,Natural Gas Storage,2B,accurate,50,2017-12-14 15:30:00+00:00,25.45,2017,4,12,Thursday
18.0,USD,2017-12-15 08:30:00,18.8,worse,Medium,Empire State Manufacturing Index,19.4,accurate,50,2017-12-15 13:30:00+00:00,4.26,2017,4,12,Friday
77.1%,USD,2017-12-15 09:15:00,77.2%,accurate,Medium,Capacity Utilization Rate,77.0%,accurate,50,2017-12-15 14:15:00+00:00,0.13,2017,4,12,Friday
0.2%,USD,2017-12-15 09:15:00,0.3%,worse,Medium,Industrial Production m/m,1.2%,better,50,2017-12-15 14:15:00+00:00,33.33,2017,4,12,Friday
23.2B,USD,2017-12-15 16:00:00,57.6B,worse,Low,TIC Long-Term Purchases,80.9B,accurate,50,2017-12-15 21:00:00+00:00,59.72,2017,4,12,Friday
-0.1%,USD,2017-12-04 10:00:00,-0.3%,better,Medium,Factory Orders m/m,1.7%,better,49,2017-12-04 15:00:00+00:00,-66.67,2017,4,12,Monday
-48.7B,USD,2017-12-05 08:30:00,-46.2B,worse,Medium,Trade Balance,-44.9B,worse,49,2017-12-05 13:30:00+00:00,5.41,2017,4,12,Tuesday
54.5,USD,2017-12-05 09:45:00,55.4,worse,Low,Final Services PMI,54.7,accurate,49,2017-12-05 14:45:00+00:00,1.62,2017,4,12,Tuesday
57.4,USD,2017-12-05 10:00:00,59.2,worse,High,ISM Non-Manufacturing PMI,60.1,accurate,49,2017-12-05 15:00:00+00:00,3.04,2017,4,12,Tuesday
190K,USD,2017-12-06 08:15:00,189K,accurate,High,ADP Non-Farm Employment Change,235K,accurate,49,2017-12-06 13:15:00+00:00,-0.53,2017,4,12,Wednesday
3.0%,USD,2017-12-06 08:30:00,3.3%,better,Low,Revised Nonfarm Productivity q/q,3.0%,accurate,49,2017-12-06 13:30:00+00:00,9.09,2017,4,12,Wednesday
-0.2%,USD,2017-12-06 08:30:00,0.2%,worse,Low,Revised Unit Labor Costs q/q,0.5%,accurate,49,2017-12-06 13:30:00+00:00,200.0,2017,4,12,Wednesday
51.9,USD,2017-12-06 09:59:00,54.6,worse,Low,IBD/TIPP Economic Optimism,53.6,accurate,49,2017-12-06 15:00:00+00:00,4.95,2017,4,12,Wednesday
-5.6M,USD,2017-12-06 10:30:00,-3.2M,accurate,High,Crude Oil Inventories,-3.4M,accurate,49,2017-12-06 15:30:00+00:00,75.0,2017,4,12,Wednesday
236K,USD,2017-12-07 08:30:00,239K,accurate,High,Unemployment Claims,238K,accurate,49,2017-12-07 13:30:00+00:00,1.26,2017,4,12,Thursday
2B,USD,2017-12-07 10:30:00,-5B,accurate,Low,Natural Gas Storage,-33B,accurate,49,2017-12-07 15:30:00+00:00,-140.0,2017,4,12,Thursday
20.5B,USD,2017-12-07 15:00:00,17.4B,better,Low,Consumer Credit m/m,19.2B,worse,49,2017-12-07 20:00:00+00:00,-17.82,2017,4,12,Thursday
0.2%,USD,2017-12-08 08:30:00,0.3%,worse,High,Average Hourly Earnings m/m,-0.1%,worse,49,2017-12-08 13:30:00+00:00,33.33,2017,4,12,Friday
228K,USD,2017-12-08 08:30:00,198K,better,High,Non-Farm Employment Change,244K,worse,49,2017-12-08 13:30:00+00:00,-15.15,2017,4,12,Friday
4.1%,USD,2017-12-08 08:30:00,4.1%,accurate,High,Unemployment Rate,4.1%,accurate,49,2017-12-08 13:30:00+00:00,0.0,2017,4,12,Friday
96.8,USD,2017-12-08 10:00:00,99.0,worse,Medium,Prelim UoM Consumer Sentiment,98.5,better,49,2017-12-08 15:00:00+00:00,2.22,2017,4,12,Friday
-0.5%,USD,2017-12-08 10:00:00,-0.4%,better,Low,Final Wholesale Inventories m/m,-0.4%,accurate,49,2017-12-08 15:00:00+00:00,25.0,2017,4,12,Friday
685K,USD,2017-11-27 10:00:00,627K,better,Medium,New Home Sales,645K,worse,48,2017-11-27 15:00:00+00:00,-9.25,2017,4,11,Monday
-68.3B,USD,2017-11-28 08:30:00,-65.0B,worse,Low,Goods Trade Balance,-64.1B,accurate,48,2017-11-28 13:30:00+00:00,5.08,2017,4,11,Tuesday
-0.4%,USD,2017-11-28 08:30:00,0.5%,better,Low,Prelim Wholesale Inventories m/m,0.1%,better,48,2017-11-28 13:30:00+00:00,180.0,2017,4,11,Tuesday
0.3%,USD,2017-11-28 09:00:00,0.6%,worse,Low,HPI m/m,0.8%,better,48,2017-11-28 14:00:00+00:00,50.0,2017,4,11,Tuesday
6.2%,USD,2017-11-28 09:00:00,6.0%,better,Low,S&P/CS Composite-20 HPI y/y,5.8%,accurate,48,2017-11-28 14:00:00+00:00,-3.33,2017,4,11,Tuesday
30,USD,2017-11-28 09:59:00,14,better,Low,Richmond Manufacturing Index,12,accurate,48,2017-11-28 15:00:00+00:00,-114.29,2017,4,11,Tuesday
129.5,USD,2017-11-28 10:00:00,123.9,better,High,CB Consumer Confidence,126.2,accurate,48,2017-11-28 15:00:00+00:00,-4.52,2017,4,11,Tuesday
3.3%,USD,2017-11-29 08:30:00,3.3%,accurate,High,Prelim GDP q/q,3.0%,accurate,48,2017-11-29 13:30:00+00:00,0.0,2017,4,11,Wednesday
2.1%,USD,2017-11-29 08:30:00,2.2%,accurate,Low,Prelim GDP Price Index q/q,2.2%,accurate,48,2017-11-29 13:30:00+00:00,4.55,2017,4,11,Wednesday
3.5%,USD,2017-11-29 10:00:00,1.1%,better,Medium,Pending Home Sales m/m,-0.4%,worse,48,2017-11-29 15:00:00+00:00,-218.18,2017,4,11,Wednesday
-3.4M,USD,2017-11-29 10:30:00,-2.5M,accurate,High,Crude Oil Inventories,-1.9M,accurate,48,2017-11-29 15:30:00+00:00,36.0,2017,4,11,Wednesday
238K,USD,2017-11-30 08:30:00,241K,accurate,High,Unemployment Claims,240K,accurate,48,2017-11-30 13:30:00+00:00,1.24,2017,4,11,Thursday
0.2%,USD,2017-11-30 08:30:00,0.2%,accurate,Medium,Core PCE Price Index m/m,0.2%,better,48,2017-11-30 13:30:00+00:00,0.0,2017,4,11,Thursday
0.3%,USD,2017-11-30 08:30:00,0.2%,better,Medium,Personal Spending m/m,0.9%,worse,48,2017-11-30 13:30:00+00:00,-50.0,2017,4,11,Thursday
0.4%,USD,2017-11-30 08:30:00,0.3%,better,Low,Personal Income m/m,0.4%,accurate,48,2017-11-30 13:30:00+00:00,-33.33,2017,4,11,Thursday
63.9,USD,2017-11-30 09:45:00,62.2,better,Medium,Chicago PMI,66.2,accurate,48,2017-11-30 14:45:00+00:00,-2.73,2017,4,11,Thursday
-33B,USD,2017-11-30 10:30:00,-37B,accurate,Low,Natural Gas Storage,-46B,accurate,48,2017-11-30 15:30:00+00:00,-10.81,2017,4,11,Thursday
53.9,USD,2017-12-01 09:45:00,53.8,accurate,Low,Final Manufacturing PMI,53.8,accurate,48,2017-12-01 14:45:00+00:00,-0.19,2017,4,12,Friday
58.2,USD,2017-12-01 10:00:00,58.4,accurate,High,ISM Manufacturing PMI,58.7,accurate,48,2017-12-01 15:00:00+00:00,0.34,2017,4,12,Friday
1.4%,USD,2017-12-01 10:00:00,0.5%,better,Low,Construction Spending m/m,0.3%,accurate,48,2017-12-01 15:00:00+00:00,-180.0,2017,4,12,Friday
65.5,USD,2017-12-01 10:00:00,67.0,worse,Low,ISM Manufacturing Prices,68.5,accurate,48,2017-12-01 15:00:00+00:00,2.24,2017,4,12,Friday
17.5M,USD,2017-12-01 00:00:00,17.5M,accurate,Low,Total Vehicle Sales,18.1M,accurate,48,2017-12-01 05:00:00+00:00,0.0,2017,4,12,Friday
1.2%,USD,2017-11-20 10:00:00,0.6%,better,Low,CB Leading Index m/m,0.1%,better,47,2017-11-20 15:00:00+00:00,-100.0,2017,4,11,Monday
5.48M,USD,2017-11-21 10:00:00,5.42M,better,Medium,Existing Home Sales,5.37M,accurate,47,2017-11-21 15:00:00+00:00,-1.11,2017,4,11,Tuesday
0.4%,USD,2017-11-22 08:30:00,0.4%,accurate,High,Core Durable Goods Orders m/m,1.1%,better,47,2017-11-22 13:30:00+00:00,0.0,2017,4,11,Wednesday
239K,USD,2017-11-22 08:30:00,241K,accurate,High,Unemployment Claims,252K,accurate,47,2017-11-22 13:30:00+00:00,0.83,2017,4,11,Wednesday
-1.2%,USD,2017-11-22 08:30:00,0.4%,worse,Medium,Durable Goods Orders m/m,2.0%,worse,47,2017-11-22 13:30:00+00:00,400.0,2017,4,11,Wednesday
98.5,USD,2017-11-22 10:00:00,98.2,accurate,Medium,Revised UoM Consumer Sentiment,97.8,accurate,47,2017-11-22 15:00:00+00:00,-0.31,2017,4,11,Wednesday
-1.9M,USD,2017-11-22 10:30:00,-1.4M,accurate,High,Crude Oil Inventories,1.9M,accurate,47,2017-11-22 15:30:00+00:00,35.71,2017,4,11,Wednesday
-46B,USD,2017-11-22 12:00:00,-51B,accurate,Low,Natural Gas Storage,-18B,accurate,47,2017-11-22 17:00:00+00:00,-9.8,2017,4,11,Wednesday
53.8,USD,2017-11-24 09:45:00,55.1,worse,Low,Flash Manufacturing PMI,54.6,accurate,47,2017-11-24 14:45:00+00:00,2.36,2017,4,11,Friday
54.7,USD,2017-11-24 09:45:00,55.5,worse,Low,Flash Services PMI,55.3,worse,47,2017-11-24 14:45:00+00:00,1.44,2017,4,11,Friday
-63.2B,USD,2017-11-13 14:00:00,-58.2B,worse,Low,Federal Budget Balance,8.0B,accurate,46,2017-11-13 19:00:00+00:00,8.59,2017,4,11,Monday
103.8,USD,2017-11-14 06:00:00,104.2,accurate,Low,NFIB Small Business Index,103.0,accurate,46,2017-11-14 11:00:00+00:00,0.38,2017,4,11,Tuesday
0.4%,USD,2017-11-14 08:30:00,0.1%,better,High,PPI m/m,0.4%,accurate,46,2017-11-14 13:30:00+00:00,-300.0,2017,4,11,Tuesday
0.4%,USD,2017-11-14 08:30:00,0.2%,better,Medium,Core PPI m/m,0.4%,accurate,46,2017-11-14 13:30:00+00:00,-100.0,2017,4,11,Tuesday
0.1%,USD,2017-11-15 08:30:00,0.1%,accurate,High,CPI m/m,0.5%,accurate,46,2017-11-15 13:30:00+00:00,0.0,2017,4,11,Wednesday
0.2%,USD,2017-11-15 08:30:00,0.2%,accurate,High,Core CPI m/m,0.1%,accurate,46,2017-11-15 13:30:00+00:00,0.0,2017,4,11,Wednesday
0.1%,USD,2017-11-15 08:30:00,0.2%,worse,High,Core Retail Sales m/m,1.2%,better,46,2017-11-15 13:30:00+00:00,50.0,2017,4,11,Wednesday
0.2%,USD,2017-11-15 08:30:00,0.0%,better,High,Retail Sales m/m,1.9%,better,46,2017-11-15 13:30:00+00:00,200.0,2017,4,11,Wednesday
19.4,USD,2017-11-15 08:30:00,25.5,worse,Medium,Empire State Manufacturing Index,30.2,accurate,46,2017-11-15 13:30:00+00:00,23.92,2017,4,11,Wednesday
0.0%,USD,2017-11-15 10:00:00,0.0%,accurate,Low,Business Inventories m/m,0.6%,better,46,2017-11-15 15:00:00+00:00,0.0,2017,4,11,Wednesday
1.9M,USD,2017-11-15 10:30:00,-2.1M,accurate,High,Crude Oil Inventories,2.2M,accurate,46,2017-11-15 15:30:00+00:00,-190.48,2017,4,11,Wednesday
80.9B,USD,2017-11-15 16:00:00,34.6B,better,Low,TIC Long-Term Purchases,73.2B,better,46,2017-11-15 21:00:00+00:00,-133.82,2017,4,11,Wednesday
249K,USD,2017-11-16 08:30:00,235K,worse,High,Unemployment Claims,239K,accurate,46,2017-11-16 13:30:00+00:00,-5.96,2017,4,11,Thursday
0.2%,USD,2017-11-16 08:30:00,0.4%,worse,Medium,Import Prices m/m,0.8%,accurate,46,2017-11-16 13:30:00+00:00,50.0,2017,4,11,Thursday
22.7,USD,2017-11-16 08:38:00,24.5,worse,Medium,Philly Fed Manufacturing Index,27.9,accurate,46,2017-11-16 13:40:00+00:00,7.35,2017,4,11,Thursday
77.0%,USD,2017-11-16 09:15:00,76.3%,better,Medium,Capacity Utilization Rate,76.4%,better,46,2017-11-16 14:15:00+00:00,-0.92,2017,4,11,Thursday
0.9%,USD,2017-11-16 09:15:00,0.5%,better,Medium,Industrial Production m/m,0.4%,better,46,2017-11-16 14:15:00+00:00,-80.0,2017,4,11,Thursday
70,USD,2017-11-16 10:00:00,67,better,Low,NAHB Housing Market Index,68,accurate,46,2017-11-16 15:00:00+00:00,-4.48,2017,4,11,Thursday
-18B,USD,2017-11-16 10:30:00,-15B,accurate,Low,Natural Gas Storage,15B,accurate,46,2017-11-16 15:30:00+00:00,20.0,2017,4,11,Thursday
1.30M,USD,2017-11-17 08:30:00,1.25M,better,High,Building Permits,1.23M,accurate,46,2017-11-17 13:30:00+00:00,-4.0,2017,4,11,Friday
1.29M,USD,2017-11-17 08:30:00,1.19M,better,Medium,Housing Starts,1.14M,accurate,46,2017-11-17 13:30:00+00:00,-8.4,2017,4,11,Friday
53.6,USD,2017-11-07 10:00:00,51.2,better,Low,IBD/TIPP Economic Optimism,50.3,accurate,45,2017-11-07 15:00:00+00:00,-4.69,2017,4,11,Tuesday
6.09M,USD,2017-11-07 10:00:00,5.98M,better,Low,JOLTS Job Openings,6.09M,accurate,45,2017-11-07 15:00:00+00:00,-1.84,2017,4,11,Tuesday
20.8B,USD,2017-11-07 15:00:00,18.4B,better,Low,Consumer Credit m/m,13.1B,accurate,45,2017-11-07 20:00:00+00:00,-13.04,2017,4,11,Tuesday
2.2M,USD,2017-11-08 10:30:00,-2.5M,accurate,High,Crude Oil Inventories,-2.4M,accurate,45,2017-11-08 15:30:00+00:00,-188.0,2017,4,11,Wednesday
239K,USD,2017-11-09 08:30:00,232K,worse,High,Unemployment Claims,229K,accurate,45,2017-11-09 13:30:00+00:00,-3.02,2017,4,11,Thursday
0.3%,USD,2017-11-09 10:00:00,0.3%,accurate,Low,Final Wholesale Inventories m/m,0.3%,accurate,45,2017-11-09 15:00:00+00:00,0.0,2017,4,11,Thursday
15B,USD,2017-11-09 10:30:00,15B,accurate,Low,Natural Gas Storage,65B,accurate,45,2017-11-09 15:30:00+00:00,0.0,2017,4,11,Thursday
97.8,USD,2017-11-10 10:00:00,100.8,worse,Medium,Prelim UoM Consumer Sentiment,100.7,accurate,45,2017-11-10 15:00:00+00:00,2.98,2017,4,11,Friday
0.1%,USD,2017-10-30 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.1%,accurate,44,2017-10-30 12:30:00+00:00,0.0,2017,4,10,Monday
1.0%,USD,2017-10-30 08:30:00,0.8%,better,Medium,Personal Spending m/m,0.1%,accurate,44,2017-10-30 12:30:00+00:00,-25.0,2017,4,10,Monday
0.4%,USD,2017-10-30 08:30:00,0.4%,accurate,Low,Personal Income m/m,0.2%,accurate,44,2017-10-30 12:30:00+00:00,0.0,2017,4,10,Monday
0.7%,USD,2017-10-31 08:30:00,0.7%,accurate,Medium,Employment Cost Index q/q,0.5%,accurate,44,2017-10-31 12:30:00+00:00,0.0,2017,4,10,Tuesday
5.9%,USD,2017-10-31 09:00:00,5.8%,accurate,Low,S&P/CS Composite-20 HPI y/y,5.8%,accurate,44,2017-10-31 13:00:00+00:00,-1.72,2017,4,10,Tuesday
66.2,USD,2017-10-31 09:45:00,60.2,better,Medium,Chicago PMI,65.2,accurate,44,2017-10-31 13:45:00+00:00,-9.97,2017,4,10,Tuesday
125.9,USD,2017-10-31 10:00:00,121.1,better,High,CB Consumer Confidence,120.6,better,44,2017-10-31 14:00:00+00:00,-3.96,2017,4,10,Tuesday
235K,USD,2017-11-01 08:15:00,202K,better,High,ADP Non-Farm Employment Change,110K,worse,44,2017-11-01 12:15:00+00:00,-16.34,2017,4,11,Wednesday
54.6,USD,2017-11-01 09:45:00,54.5,accurate,Low,Final Manufacturing PMI,54.5,accurate,44,2017-11-01 13:45:00+00:00,-0.18,2017,4,11,Wednesday
58.7,USD,2017-11-01 10:00:00,59.5,worse,High,ISM Manufacturing PMI,60.8,accurate,44,2017-11-01 14:00:00+00:00,1.34,2017,4,11,Wednesday
0.3%,USD,2017-11-01 10:00:00,-0.1%,better,Low,Construction Spending m/m,0.1%,worse,44,2017-11-01 14:00:00+00:00,-400.0,2017,4,11,Wednesday
68.5,USD,2017-11-01 10:00:00,68.0,better,Low,ISM Manufacturing Prices,71.5,accurate,44,2017-11-01 14:00:00+00:00,-0.74,2017,4,11,Wednesday
-2.4M,USD,2017-11-01 10:30:00,-1.5M,accurate,High,Crude Oil Inventories,0.9M,accurate,44,2017-11-01 14:30:00+00:00,60.0,2017,4,11,Wednesday
18.1M,USD,2017-11-01 01:00:00,17.5M,better,Low,Total Vehicle Sales,18.6M,accurate,44,2017-11-01 05:00:00+00:00,-3.43,2017,4,11,Wednesday
<1.25%,USD,2017-11-01 14:00:00,<1.25%,accurate,Medium,Federal Funds Rate,<1.25%,accurate,44,2017-11-01 18:00:00+00:00,0.0,2017,4,11,Wednesday
229K,USD,2017-11-02 08:30:00,235K,better,High,Unemployment Claims,234K,accurate,44,2017-11-02 12:30:00+00:00,2.55,2017,4,11,Thursday
3.0%,USD,2017-11-02 08:30:00,2.5%,worse,Medium,Prelim Nonfarm Productivity q/q,1.5%,worse,44,2017-11-02 12:30:00+00:00,-20.0,2017,4,11,Thursday
0.5%,USD,2017-11-02 08:30:00,0.5%,accurate,Medium,Prelim Unit Labor Costs q/q,0.2%,worse,44,2017-11-02 12:30:00+00:00,0.0,2017,4,11,Thursday
65B,USD,2017-11-02 10:30:00,63B,accurate,Low,Natural Gas Storage,64B,accurate,44,2017-11-02 14:30:00+00:00,-3.17,2017,4,11,Thursday
0.0%,USD,2017-11-03 08:30:00,0.2%,worse,High,Average Hourly Earnings m/m,0.5%,accurate,44,2017-11-03 12:30:00+00:00,100.0,2017,4,11,Friday
261K,USD,2017-11-03 08:30:00,312K,worse,High,Non-Farm Employment Change,18K,better,44,2017-11-03 12:30:00+00:00,16.35,2017,4,11,Friday
4.1%,USD,2017-11-03 08:30:00,4.2%,better,High,Unemployment Rate,4.2%,accurate,44,2017-11-03 12:30:00+00:00,2.38,2017,4,11,Friday
-43.5B,USD,2017-11-03 08:30:00,-43.3B,accurate,Medium,Trade Balance,-42.8B,accurate,44,2017-11-03 12:30:00+00:00,0.46,2017,4,11,Friday
55.3,USD,2017-11-03 09:45:00,55.7,worse,Low,Final Services PMI,55.9,accurate,44,2017-11-03 13:45:00+00:00,0.72,2017,4,11,Friday
60.1,USD,2017-11-03 10:00:00,58.5,better,High,ISM Non-Manufacturing PMI,59.8,accurate,44,2017-11-03 14:00:00+00:00,-2.74,2017,4,11,Friday
1.4%,USD,2017-11-03 10:00:00,1.3%,accurate,Medium,Factory Orders m/m,1.2%,accurate,44,2017-11-03 14:00:00+00:00,-7.69,2017,4,11,Friday
54.5,USD,2017-10-24 09:45:00,53.3,better,Low,Flash Manufacturing PMI,53.1,accurate,43,2017-10-24 13:45:00+00:00,-2.25,2017,4,10,Tuesday
55.9,USD,2017-10-24 09:45:00,55.2,better,Low,Flash Services PMI,55.3,accurate,43,2017-10-24 13:45:00+00:00,-1.27,2017,4,10,Tuesday
12,USD,2017-10-24 09:59:00,17,worse,Low,Richmond Manufacturing Index,19,accurate,43,2017-10-24 14:00:00+00:00,29.41,2017,4,10,Tuesday
0.7%,USD,2017-10-25 08:30:00,0.5%,better,High,Core Durable Goods Orders m/m,0.5%,better,43,2017-10-25 12:30:00+00:00,-40.0,2017,4,10,Wednesday
2.2%,USD,2017-10-25 08:30:00,1.0%,better,Medium,Durable Goods Orders m/m,2.0%,better,43,2017-10-25 12:30:00+00:00,-120.0,2017,4,10,Wednesday
0.7%,USD,2017-10-25 09:00:00,0.4%,better,Low,HPI m/m,0.4%,better,43,2017-10-25 13:00:00+00:00,-75.0,2017,4,10,Wednesday
