actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
18,USD,2011-10-18 10:00:00,15,better,Low,NAHB Housing Market Index,14,accurate,42,2011-10-18 14:00:00+00:00,20.0,2011,4,10,Tuesday
0.59M,USD,2011-10-19 08:30:00,0.61M,accurate,High,Building Permits,0.63M,accurate,42,2011-10-19 12:30:00+00:00,-3.28,2011,4,10,Wednesday
0.1%,USD,2011-10-19 08:30:00,0.2%,worse,High,Core CPI m/m,0.2%,accurate,42,2011-10-19 12:30:00+00:00,-50.0,2011,4,10,Wednesday
0.3%,USD,2011-10-19 08:30:00,0.3%,accurate,Medium,CPI m/m,0.4%,accurate,42,2011-10-19 12:30:00+00:00,0.0,2011,4,10,Wednesday
0.66M,USD,2011-10-19 08:30:00,0.59M,better,Medium,Housing Starts,0.57M,accurate,42,2011-10-19 12:30:00+00:00,11.86,2011,4,10,Wednesday
-4.7M,USD,2011-10-19 10:30:00,1.3M,accurate,Medium,Crude Oil Inventories,1.3M,accurate,42,2011-10-19 14:30:00+00:00,-461.54,2011,4,10,Wednesday
403K,USD,2011-10-20 08:30:00,401K,accurate,High,Unemployment Claims,409K,worse,42,2011-10-20 12:30:00+00:00,0.5,2011,4,10,Thursday
4.91M,USD,2011-10-20 10:00:00,4.94M,worse,High,Existing Home Sales,5.06M,better,42,2011-10-20 14:00:00+00:00,-0.61,2011,4,10,Thursday
8.7,USD,2011-10-20 10:00:00,-9.0,better,High,Philly Fed Manufacturing Index,-17.5,accurate,42,2011-10-20 14:00:00+00:00,196.67,2011,4,10,Thursday
0.2%,USD,2011-10-20 10:00:00,0.3%,worse,Low,CB Leading Index m/m,0.3%,accurate,42,2011-10-20 14:00:00+00:00,-33.33,2011,4,10,Thursday
103B,USD,2011-10-20 10:30:00,111B,accurate,Low,Natural Gas Storage,112B,accurate,42,2011-10-20 14:30:00+00:00,-7.21,2011,4,10,Thursday
88.9,USD,2011-10-11 07:30:00,88.8,accurate,Low,NFIB Small Business Index,88.1,accurate,41,2011-10-11 11:30:00+00:00,0.11,2011,4,10,Tuesday
40.3,USD,2011-10-11 10:00:00,43.2,worse,Low,IBD/TIPP Economic Optimism,39.9,accurate,41,2011-10-11 14:00:00+00:00,-6.71,2011,4,10,Tuesday
-45.6B,USD,2011-10-13 08:30:00,-46.0B,accurate,High,Trade Balance,-45.6B,worse,41,2011-10-13 12:30:00+00:00,0.87,2011,4,10,Thursday
404K,USD,2011-10-13 08:30:00,406K,accurate,High,Unemployment Claims,405K,accurate,41,2011-10-13 12:30:00+00:00,-0.49,2011,4,10,Thursday
112B,USD,2011-10-13 10:30:00,103B,accurate,Low,Natural Gas Storage,97B,accurate,41,2011-10-13 14:30:00+00:00,8.74,2011,4,10,Thursday
1.3M,USD,2011-10-13 11:00:00,0.4M,accurate,Medium,Crude Oil Inventories,-4.7M,accurate,41,2011-10-13 15:00:00+00:00,225.0,2011,4,10,Thursday
0.6%,USD,2011-10-14 08:30:00,0.2%,better,High,Core Retail Sales m/m,0.5%,better,41,2011-10-14 12:30:00+00:00,200.0,2011,4,10,Friday
1.1%,USD,2011-10-14 08:30:00,0.5%,better,High,Retail Sales m/m,0.3%,better,41,2011-10-14 12:30:00+00:00,120.0,2011,4,10,Friday
0.3%,USD,2011-10-14 08:30:00,-0.3%,better,Medium,Import Prices m/m,-0.2%,better,41,2011-10-14 12:30:00+00:00,200.0,2011,4,10,Friday
57.5,USD,2011-10-14 09:55:00,60.2,worse,High,Prelim UoM Consumer Sentiment,59.4,better,41,2011-10-14 13:55:00+00:00,-4.49,2011,4,10,Friday
0.5%,USD,2011-10-14 10:00:00,0.4%,worse,Medium,Business Inventories m/m,0.5%,worse,41,2011-10-14 14:00:00+00:00,25.0,2011,4,10,Friday
-64.6B,USD,2011-10-14 13:53:00,-65.0B,accurate,Medium,Federal Budget Balance,-134.1B,accurate,41,2011-10-14 17:53:00+00:00,0.62,2011,4,10,Friday
51.6,USD,2011-10-03 10:00:00,50.5,better,High,ISM Manufacturing PMI,50.6,accurate,40,2011-10-03 14:00:00+00:00,2.18,2011,4,10,Monday
1.4%,USD,2011-10-03 10:00:00,-0.1%,better,Low,Construction Spending m/m,-1.4%,accurate,40,2011-10-03 14:00:00+00:00,1500.0,2011,4,10,Monday
56.0,USD,2011-10-03 10:00:00,54.3,better,Low,ISM Manufacturing Prices,55.5,accurate,40,2011-10-03 14:00:00+00:00,3.13,2011,4,10,Monday
13.1M,USD,2011-10-03 01:00:00,12.3M,better,Low,Total Vehicle Sales,12.1M,accurate,40,2011-10-03 05:00:00+00:00,6.5,2011,4,10,Monday
-0.2%,USD,2011-10-04 10:00:00,0.2%,worse,Medium,Factory Orders m/m,2.1%,worse,40,2011-10-04 14:00:00+00:00,-200.0,2011,4,10,Tuesday
91K,USD,2011-10-05 08:15:00,76K,better,High,ADP Non-Farm Employment Change,89K,accurate,40,2011-10-05 12:15:00+00:00,19.74,2011,4,10,Wednesday
53.0,USD,2011-10-05 10:00:00,53.0,accurate,High,ISM Non-Manufacturing PMI,53.3,accurate,40,2011-10-05 14:00:00+00:00,0.0,2011,4,10,Wednesday
-4.7M,USD,2011-10-05 10:30:00,1.0M,accurate,Medium,Crude Oil Inventories,1.9M,accurate,40,2011-10-05 14:30:00+00:00,-570.0,2011,4,10,Wednesday
401K,USD,2011-10-06 08:30:00,411K,better,High,Unemployment Claims,395K,accurate,40,2011-10-06 12:30:00+00:00,-2.43,2011,4,10,Thursday
97B,USD,2011-10-06 10:30:00,98B,accurate,Low,Natural Gas Storage,111B,accurate,40,2011-10-06 14:30:00+00:00,-1.02,2011,4,10,Thursday
103K,USD,2011-10-07 08:30:00,55K,better,High,Non-Farm Employment Change,57K,better,40,2011-10-07 12:30:00+00:00,87.27,2011,4,10,Friday
9.1%,USD,2011-10-07 08:30:00,9.1%,accurate,High,Unemployment Rate,9.1%,accurate,40,2011-10-07 12:30:00+00:00,0.0,2011,4,10,Friday
0.2%,USD,2011-10-07 08:30:00,0.2%,accurate,Medium,Average Hourly Earnings m/m,-0.2%,worse,40,2011-10-07 12:30:00+00:00,0.0,2011,4,10,Friday
0.4%,USD,2011-10-07 10:00:00,0.6%,better,Low,Final Wholesale Inventories m/m,0.8%,accurate,40,2011-10-07 14:00:00+00:00,-33.33,2011,4,10,Friday
-9.5B,USD,2011-10-07 15:00:00,8.0B,worse,Low,Consumer Credit m/m,11.9B,accurate,40,2011-10-07 19:00:00+00:00,-218.75,2011,4,10,Friday
295K,USD,2011-09-26 10:00:00,296K,accurate,High,New Home Sales,302K,better,39,2011-09-26 14:00:00+00:00,-0.34,2011,3,9,Monday
-4.1%,USD,2011-09-27 09:00:00,-4.4%,better,Medium,S&P/CS Composite-20 HPI y/y,-4.4%,accurate,39,2011-09-27 13:00:00+00:00,6.82,2011,3,9,Tuesday
-6,USD,2011-09-27 09:59:00,-8,better,Low,Richmond Manufacturing Index,-10,accurate,39,2011-09-27 13:59:00+00:00,25.0,2011,3,9,Tuesday
45.4,USD,2011-09-27 10:00:00,46.2,worse,High,CB Consumer Confidence,45.2,better,39,2011-09-27 14:00:00+00:00,-1.73,2011,3,9,Tuesday
-0.1%,USD,2011-09-28 08:30:00,0.1%,worse,High,Core Durable Goods Orders m/m,2.0%,better,39,2011-09-28 12:30:00+00:00,-200.0,2011,3,9,Wednesday
-0.1%,USD,2011-09-28 08:30:00,-0.2%,accurate,Medium,Durable Goods Orders m/m,4.1%,accurate,39,2011-09-28 12:30:00+00:00,50.0,2011,3,9,Wednesday
1.9M,USD,2011-09-28 10:30:00,1.1M,accurate,Medium,Crude Oil Inventories,-7.3M,accurate,39,2011-09-28 14:30:00+00:00,72.73,2011,3,9,Wednesday
391K,USD,2011-09-29 08:30:00,420K,better,High,Unemployment Claims,428K,worse,39,2011-09-29 12:30:00+00:00,-6.9,2011,3,9,Thursday
1.3%,USD,2011-09-29 08:30:00,1.2%,better,Medium,Final GDP q/q,1.0%,accurate,39,2011-09-29 12:30:00+00:00,8.33,2011,3,9,Thursday
2.5%,USD,2011-09-29 08:30:00,2.4%,accurate,Low,Final GDP Price Index q/q,2.4%,accurate,39,2011-09-29 12:30:00+00:00,4.17,2011,3,9,Thursday
-1.2%,USD,2011-09-29 10:00:00,-1.7%,better,High,Pending Home Sales m/m,-1.3%,accurate,39,2011-09-29 14:00:00+00:00,29.41,2011,3,9,Thursday
111B,USD,2011-09-29 10:30:00,97B,accurate,Low,Natural Gas Storage,89B,accurate,39,2011-09-29 14:30:00+00:00,14.43,2011,3,9,Thursday
0.1%,USD,2011-09-30 08:30:00,0.2%,worse,Medium,Core PCE Price Index m/m,0.2%,accurate,39,2011-09-30 12:30:00+00:00,-50.0,2011,3,9,Friday
0.2%,USD,2011-09-30 08:30:00,0.2%,accurate,Medium,Personal Spending m/m,0.7%,worse,39,2011-09-30 12:30:00+00:00,0.0,2011,3,9,Friday
-0.1%,USD,2011-09-30 08:30:00,0.1%,worse,Low,Personal Income m/m,0.1%,worse,39,2011-09-30 12:30:00+00:00,-200.0,2011,3,9,Friday
60.4,USD,2011-09-30 09:45:00,55.8,better,Medium,Chicago PMI,56.5,accurate,39,2011-09-30 13:45:00+00:00,8.24,2011,3,9,Friday
59.4,USD,2011-09-30 09:55:00,57.9,better,Medium,Revised UoM Consumer Sentiment,57.8,accurate,39,2011-09-30 13:55:00+00:00,2.59,2011,3,9,Friday
14,USD,2011-09-19 10:00:00,15,worse,Low,NAHB Housing Market Index,15,accurate,38,2011-09-19 14:00:00+00:00,-6.67,2011,3,9,Monday
0.62M,USD,2011-09-20 08:30:00,0.60M,accurate,High,Building Permits,0.60M,accurate,38,2011-09-20 12:30:00+00:00,3.33,2011,3,9,Tuesday
0.57M,USD,2011-09-20 08:30:00,0.59M,accurate,Medium,Housing Starts,0.60M,accurate,38,2011-09-20 12:30:00+00:00,-3.39,2011,3,9,Tuesday
5.03M,USD,2011-09-21 10:00:00,4.76M,better,High,Existing Home Sales,4.67M,accurate,38,2011-09-21 14:00:00+00:00,5.67,2011,3,9,Wednesday
-7.3M,USD,2011-09-21 10:30:00,-1.6M,accurate,Medium,Crude Oil Inventories,-6.7M,accurate,38,2011-09-21 14:30:00+00:00,-356.25,2011,3,9,Wednesday
<0.25%,USD,2011-09-21 14:23:00,<0.25%,accurate,Medium,Federal Funds Rate,<0.25%,accurate,38,2011-09-21 18:23:00+00:00,0.0,2011,3,9,Wednesday
423K,USD,2011-09-22 08:30:00,419K,accurate,High,Unemployment Claims,432K,accurate,38,2011-09-22 12:30:00+00:00,0.95,2011,3,9,Thursday
0.3%,USD,2011-09-22 10:00:00,0.2%,better,Low,CB Leading Index m/m,0.6%,better,38,2011-09-22 14:00:00+00:00,50.0,2011,3,9,Thursday
0.8%,USD,2011-09-22 10:00:00,0.0%,better,Low,HPI m/m,0.7%,worse,38,2011-09-22 14:00:00+00:00,800.0,2011,3,9,Thursday
89B,USD,2011-09-22 10:30:00,91B,accurate,Low,Natural Gas Storage,87B,accurate,38,2011-09-22 14:30:00+00:00,-2.2,2011,3,9,Thursday
88.1,USD,2011-09-13 07:30:00,88.0,accurate,Low,NFIB Small Business Index,89.9,accurate,37,2011-09-13 11:30:00+00:00,0.11,2011,3,9,Tuesday
-0.4%,USD,2011-09-13 08:30:00,-0.7%,better,Medium,Import Prices m/m,0.3%,accurate,37,2011-09-13 12:30:00+00:00,42.86,2011,3,9,Tuesday
39.9,USD,2011-09-13 10:00:00,36.5,better,Low,IBD/TIPP Economic Optimism,35.8,accurate,37,2011-09-13 14:00:00+00:00,9.32,2011,3,9,Tuesday
-134.2B,USD,2011-09-13 13:54:00,-128.4B,worse,Medium,Federal Budget Balance,-129.4B,accurate,37,2011-09-13 17:54:00+00:00,-4.52,2011,3,9,Tuesday
0.1%,USD,2011-09-14 08:30:00,0.2%,worse,High,Core Retail Sales m/m,0.3%,worse,37,2011-09-14 12:30:00+00:00,-50.0,2011,3,9,Wednesday
0.0%,USD,2011-09-14 08:30:00,-0.1%,better,High,PPI m/m,0.2%,accurate,37,2011-09-14 12:30:00+00:00,100.0,2011,3,9,Wednesday
0.0%,USD,2011-09-14 08:30:00,0.2%,worse,High,Retail Sales m/m,0.3%,worse,37,2011-09-14 12:30:00+00:00,-100.0,2011,3,9,Wednesday
0.1%,USD,2011-09-14 08:30:00,0.2%,worse,Medium,Core PPI m/m,0.4%,accurate,37,2011-09-14 12:30:00+00:00,-50.0,2011,3,9,Wednesday
0.4%,USD,2011-09-14 10:00:00,0.4%,accurate,Medium,Business Inventories m/m,0.4%,worse,37,2011-09-14 14:00:00+00:00,0.0,2011,3,9,Wednesday
-6.7M,USD,2011-09-14 10:30:00,-3.1M,accurate,Medium,Crude Oil Inventories,-4.0M,accurate,37,2011-09-14 14:30:00+00:00,-116.13,2011,3,9,Wednesday
0.2%,USD,2011-09-15 08:30:00,0.2%,accurate,High,Core CPI m/m,0.2%,accurate,37,2011-09-15 12:30:00+00:00,0.0,2011,3,9,Thursday
428K,USD,2011-09-15 08:30:00,410K,worse,High,Unemployment Claims,417K,accurate,37,2011-09-15 12:30:00+00:00,4.39,2011,3,9,Thursday
0.4%,USD,2011-09-15 08:30:00,0.2%,better,Medium,CPI m/m,0.5%,accurate,37,2011-09-15 12:30:00+00:00,100.0,2011,3,9,Thursday
-118B,USD,2011-09-15 08:30:00,-122B,better,Medium,Current Account,-120B,accurate,37,2011-09-15 12:30:00+00:00,3.28,2011,3,9,Thursday
-8.8,USD,2011-09-15 08:30:00,-3.9,worse,Medium,Empire State Manufacturing Index,-7.7,accurate,37,2011-09-15 12:30:00+00:00,-125.64,2011,3,9,Thursday
77.4%,USD,2011-09-15 09:15:00,77.5%,accurate,Medium,Capacity Utilization Rate,77.3%,worse,37,2011-09-15 13:15:00+00:00,-0.13,2011,3,9,Thursday
0.2%,USD,2011-09-15 09:15:00,0.1%,better,Medium,Industrial Production m/m,0.9%,accurate,37,2011-09-15 13:15:00+00:00,100.0,2011,3,9,Thursday
-17.5,USD,2011-09-15 10:00:00,-14.7,worse,High,Philly Fed Manufacturing Index,-30.7,accurate,37,2011-09-15 14:00:00+00:00,-19.05,2011,3,9,Thursday
87B,USD,2011-09-15 10:30:00,85B,accurate,Low,Natural Gas Storage,64B,accurate,37,2011-09-15 14:30:00+00:00,2.35,2011,3,9,Thursday
9.5B,USD,2011-09-16 09:00:00,31.3B,worse,High,TIC Long-Term Purchases,3.4B,accurate,37,2011-09-16 13:00:00+00:00,-69.65,2011,3,9,Friday
57.8,USD,2011-09-16 09:55:00,57.3,accurate,High,Prelim UoM Consumer Sentiment,55.7,better,37,2011-09-16 13:55:00+00:00,0.87,2011,3,9,Friday
53.3,USD,2011-09-06 10:00:00,51.2,better,High,ISM Non-Manufacturing PMI,52.7,accurate,36,2011-09-06 14:00:00+00:00,4.1,2011,3,9,Tuesday
-44.8B,USD,2011-09-08 08:30:00,-50.6B,better,High,Trade Balance,-51.6B,better,36,2011-09-08 12:30:00+00:00,11.46,2011,3,9,Thursday
414K,USD,2011-09-08 08:30:00,407K,worse,High,Unemployment Claims,412K,accurate,36,2011-09-08 12:30:00+00:00,1.72,2011,3,9,Thursday
64B,USD,2011-09-08 10:30:00,60B,accurate,Low,Natural Gas Storage,55B,accurate,36,2011-09-08 14:30:00+00:00,6.67,2011,3,9,Thursday
-4.0M,USD,2011-09-08 11:00:00,-1.9M,accurate,Medium,Crude Oil Inventories,5.3M,accurate,36,2011-09-08 15:00:00+00:00,-110.53,2011,3,9,Thursday
12.0B,USD,2011-09-08 15:00:00,6.3B,better,Low,Consumer Credit m/m,11.3B,worse,36,2011-09-08 19:00:00+00:00,90.48,2011,3,9,Thursday
0.8%,USD,2011-09-09 10:00:00,0.8%,accurate,Low,Final Wholesale Inventories m/m,0.6%,accurate,36,2011-09-09 14:00:00+00:00,0.0,2011,3,9,Friday
0.2%,USD,2011-08-29 08:30:00,0.2%,accurate,Medium,Core PCE Price Index m/m,0.2%,better,35,2011-08-29 12:30:00+00:00,0.0,2011,3,8,Monday
0.8%,USD,2011-08-29 08:30:00,0.5%,better,Medium,Personal Spending m/m,-0.1%,better,35,2011-08-29 12:30:00+00:00,60.0,2011,3,8,Monday
0.3%,USD,2011-08-29 08:30:00,0.3%,accurate,Low,Personal Income m/m,0.2%,better,35,2011-08-29 12:30:00+00:00,0.0,2011,3,8,Monday
-1.3%,USD,2011-08-29 10:00:00,-0.8%,worse,High,Pending Home Sales m/m,2.4%,accurate,35,2011-08-29 14:00:00+00:00,-62.5,2011,3,8,Monday
-4.5%,USD,2011-08-30 09:00:00,-4.7%,better,Medium,S&P/CS Composite-20 HPI y/y,-4.6%,accurate,35,2011-08-30 13:00:00+00:00,4.26,2011,3,8,Tuesday
44.5,USD,2011-08-30 10:00:00,52.1,worse,High,CB Consumer Confidence,59.2,accurate,35,2011-08-30 14:00:00+00:00,-14.59,2011,3,8,Tuesday
91K,USD,2011-08-31 08:15:00,102K,worse,High,ADP Non-Farm Employment Change,109K,accurate,35,2011-08-31 12:15:00+00:00,-10.78,2011,3,8,Wednesday
56.5,USD,2011-08-31 09:45:00,54.3,better,Medium,Chicago PMI,58.8,accurate,35,2011-08-31 13:45:00+00:00,4.05,2011,3,8,Wednesday
2.4%,USD,2011-08-31 10:00:00,1.8%,better,Medium,Factory Orders m/m,-0.4%,better,35,2011-08-31 14:00:00+00:00,33.33,2011,3,8,Wednesday
5.3M,USD,2011-08-31 10:30:00,0.5M,accurate,Medium,Crude Oil Inventories,-2.2M,accurate,35,2011-08-31 14:30:00+00:00,960.0,2011,3,8,Wednesday
409K,USD,2011-09-01 08:30:00,409K,accurate,High,Unemployment Claims,421K,accurate,35,2011-09-01 12:30:00+00:00,0.0,2011,3,9,Thursday
-0.7%,USD,2011-09-01 08:30:00,-0.4%,better,Medium,Revised Nonfarm Productivity q/q,-0.3%,accurate,35,2011-09-01 12:30:00+00:00,-75.0,2011,3,9,Thursday
3.3%,USD,2011-09-01 08:30:00,2.3%,better,Low,Revised Unit Labor Costs q/q,2.2%,accurate,35,2011-09-01 12:30:00+00:00,43.48,2011,3,9,Thursday
50.6,USD,2011-09-01 10:00:00,48.7,better,High,ISM Manufacturing PMI,50.9,accurate,35,2011-09-01 14:00:00+00:00,3.9,2011,3,9,Thursday
-1.3%,USD,2011-09-01 10:00:00,0.2%,worse,Low,Construction Spending m/m,1.6%,better,35,2011-09-01 14:00:00+00:00,-750.0,2011,3,9,Thursday
55.5,USD,2011-09-01 10:00:00,55.1,better,Low,ISM Manufacturing Prices,59.0,accurate,35,2011-09-01 14:00:00+00:00,0.73,2011,3,9,Thursday
55B,USD,2011-09-01 10:30:00,61B,accurate,Low,Natural Gas Storage,73B,accurate,35,2011-09-01 14:30:00+00:00,-9.84,2011,3,9,Thursday
12.1M,USD,2011-09-01 01:00:00,12.1M,accurate,Low,Total Vehicle Sales,12.2M,accurate,35,2011-09-01 05:00:00+00:00,0.0,2011,3,9,Thursday
0K,USD,2011-09-02 08:30:00,74K,worse,High,Non-Farm Employment Change,85K,worse,35,2011-09-02 12:30:00+00:00,-100.0,2011,3,9,Friday
9.1%,USD,2011-09-02 08:30:00,9.1%,accurate,High,Unemployment Rate,9.1%,accurate,35,2011-09-02 12:30:00+00:00,0.0,2011,3,9,Friday
-0.1%,USD,2011-09-02 08:30:00,0.2%,worse,Medium,Average Hourly Earnings m/m,0.5%,better,35,2011-09-02 12:30:00+00:00,-150.0,2011,3,9,Friday
298K,USD,2011-08-23 10:00:00,313K,worse,High,New Home Sales,300K,worse,34,2011-08-23 14:00:00+00:00,-4.79,2011,3,8,Tuesday
-10,USD,2011-08-23 10:00:00,-7,worse,Low,Richmond Manufacturing Index,-1,accurate,34,2011-08-23 14:00:00+00:00,-42.86,2011,3,8,Tuesday
0.7%,USD,2011-08-24 08:30:00,-0.3%,better,High,Core Durable Goods Orders m/m,0.6%,better,34,2011-08-24 12:30:00+00:00,333.33,2011,3,8,Wednesday
4.0%,USD,2011-08-24 08:30:00,2.1%,better,Medium,Durable Goods Orders m/m,-1.3%,better,34,2011-08-24 12:30:00+00:00,90.48,2011,3,8,Wednesday
0.9%,USD,2011-08-24 10:00:00,0.2%,better,Low,HPI m/m,0.4%,accurate,34,2011-08-24 14:00:00+00:00,350.0,2011,3,8,Wednesday
-2.2M,USD,2011-08-24 10:30:00,0.7M,accurate,Medium,Crude Oil Inventories,4.2M,accurate,34,2011-08-24 14:30:00+00:00,-414.29,2011,3,8,Wednesday
417K,USD,2011-08-25 08:30:00,403K,worse,High,Unemployment Claims,412K,accurate,34,2011-08-25 12:30:00+00:00,3.47,2011,3,8,Thursday
73B,USD,2011-08-25 10:30:00,75B,accurate,Low,Natural Gas Storage,50B,accurate,34,2011-08-25 14:30:00+00:00,-2.67,2011,3,8,Thursday
1.0%,USD,2011-08-26 08:30:00,1.1%,worse,High,Prelim GDP q/q,1.3%,accurate,34,2011-08-26 12:30:00+00:00,-9.09,2011,3,8,Friday
2.4%,USD,2011-08-26 08:30:00,2.3%,accurate,Low,Prelim GDP Price Index q/q,2.3%,accurate,34,2011-08-26 12:30:00+00:00,4.35,2011,3,8,Friday
55.7,USD,2011-08-26 09:55:00,56.2,accurate,Medium,Revised UoM Consumer Sentiment,54.9,accurate,34,2011-08-26 13:55:00+00:00,-0.89,2011,3,8,Friday
-7.7,USD,2011-08-15 08:30:00,0.5,worse,Medium,Empire State Manufacturing Index,-3.8,accurate,33,2011-08-15 12:30:00+00:00,-1640.0,2011,3,8,Monday
3.7B,USD,2011-08-15 09:00:00,30.4B,worse,High,TIC Long-Term Purchases,24.2B,accurate,33,2011-08-15 13:00:00+00:00,-87.83,2011,3,8,Monday
15,USD,2011-08-15 10:00:00,15,accurate,Low,NAHB Housing Market Index,15,accurate,33,2011-08-15 14:00:00+00:00,0.0,2011,3,8,Monday
0.60M,USD,2011-08-16 08:30:00,0.61M,accurate,High,Building Permits,0.62M,accurate,33,2011-08-16 12:30:00+00:00,-1.64,2011,3,8,Tuesday
0.60M,USD,2011-08-16 08:30:00,0.60M,accurate,Medium,Housing Starts,0.61M,accurate,33,2011-08-16 12:30:00+00:00,0.0,2011,3,8,Tuesday
0.3%,USD,2011-08-16 08:30:00,0.0%,better,Medium,Import Prices m/m,-0.6%,accurate,33,2011-08-16 12:30:00+00:00,300.0,2011,3,8,Tuesday
77.5%,USD,2011-08-16 09:15:00,77.0%,better,Medium,Capacity Utilization Rate,76.9%,better,33,2011-08-16 13:15:00+00:00,0.65,2011,3,8,Tuesday
0.9%,USD,2011-08-16 09:15:00,0.5%,better,Medium,Industrial Production m/m,0.4%,better,33,2011-08-16 13:15:00+00:00,80.0,2011,3,8,Tuesday
0.2%,USD,2011-08-17 08:30:00,0.0%,better,High,PPI m/m,-0.4%,accurate,33,2011-08-17 12:30:00+00:00,200.0,2011,3,8,Wednesday
0.4%,USD,2011-08-17 08:30:00,0.2%,better,Medium,Core PPI m/m,0.3%,accurate,33,2011-08-17 12:30:00+00:00,100.0,2011,3,8,Wednesday
4.2M,USD,2011-08-17 10:30:00,-0.4M,accurate,Medium,Crude Oil Inventories,-5.2M,accurate,33,2011-08-17 14:30:00+00:00,1150.0,2011,3,8,Wednesday
0.2%,USD,2011-08-18 08:30:00,0.2%,accurate,High,Core CPI m/m,0.3%,accurate,33,2011-08-18 12:30:00+00:00,0.0,2011,3,8,Thursday
408K,USD,2011-08-18 08:30:00,402K,worse,High,Unemployment Claims,399K,accurate,33,2011-08-18 12:30:00+00:00,1.49,2011,3,8,Thursday
0.5%,USD,2011-08-18 08:30:00,0.2%,better,Medium,CPI m/m,-0.2%,accurate,33,2011-08-18 12:30:00+00:00,150.0,2011,3,8,Thursday
4.67M,USD,2011-08-18 10:00:00,4.91M,worse,High,Existing Home Sales,4.84M,better,33,2011-08-18 14:00:00+00:00,-4.89,2011,3,8,Thursday
-30.7,USD,2011-08-18 10:00:00,4.0,worse,High,Philly Fed Manufacturing Index,3.2,accurate,33,2011-08-18 14:00:00+00:00,-867.5,2011,3,8,Thursday
0.5%,USD,2011-08-18 10:00:00,0.2%,better,Low,CB Leading Index m/m,0.3%,accurate,33,2011-08-18 14:00:00+00:00,150.0,2011,3,8,Thursday
50B,USD,2011-08-18 10:30:00,49B,accurate,Low,Natural Gas Storage,25B,accurate,33,2011-08-18 14:30:00+00:00,2.04,2011,3,8,Thursday
89.9,USD,2011-08-09 07:30:00,89.8,accurate,Low,NFIB Small Business Index,90.8,accurate,32,2011-08-09 11:30:00+00:00,0.11,2011,3,8,Tuesday
-0.3%,USD,2011-08-09 08:30:00,-0.6%,worse,Medium,Prelim Nonfarm Productivity q/q,1.8%,worse,32,2011-08-09 12:30:00+00:00,50.0,2011,3,8,Tuesday
2.2%,USD,2011-08-09 08:30:00,2.1%,accurate,Medium,Prelim Unit Labor Costs q/q,0.7%,worse,32,2011-08-09 12:30:00+00:00,4.76,2011,3,8,Tuesday
<0.25%,USD,2011-08-09 14:19:00,<0.25%,accurate,High,Federal Funds Rate,<0.25%,accurate,32,2011-08-09 18:19:00+00:00,0.0,2011,3,8,Tuesday
0.6%,USD,2011-08-10 10:00:00,0.9%,better,Low,Final Wholesale Inventories m/m,1.7%,better,32,2011-08-10 14:00:00+00:00,-33.33,2011,3,8,Wednesday
-5.2M,USD,2011-08-10 10:30:00,1.7M,accurate,Medium,Crude Oil Inventories,1.0M,accurate,32,2011-08-10 14:30:00+00:00,-405.88,2011,3,8,Wednesday
-129.4B,USD,2011-08-10 13:57:00,-137.4B,better,Medium,Federal Budget Balance,-43.1B,accurate,32,2011-08-10 17:57:00+00:00,5.82,2011,3,8,Wednesday
-53.1B,USD,2011-08-11 08:30:00,-47.9B,worse,High,Trade Balance,-50.8B,accurate,32,2011-08-11 12:30:00+00:00,-10.86,2011,3,8,Thursday
395K,USD,2011-08-11 08:30:00,401K,better,High,Unemployment Claims,402K,accurate,32,2011-08-11 12:30:00+00:00,-1.5,2011,3,8,Thursday
25B,USD,2011-08-11 10:30:00,33B,accurate,Low,Natural Gas Storage,44B,accurate,32,2011-08-11 14:30:00+00:00,-24.24,2011,3,8,Thursday
0.5%,USD,2011-08-12 08:30:00,0.2%,better,High,Core Retail Sales m/m,0.2%,better,32,2011-08-12 12:30:00+00:00,150.0,2011,3,8,Friday
0.5%,USD,2011-08-12 08:30:00,0.4%,better,High,Retail Sales m/m,0.3%,better,32,2011-08-12 12:30:00+00:00,25.0,2011,3,8,Friday
54.9,USD,2011-08-12 09:55:00,63.2,worse,High,Prelim UoM Consumer Sentiment,63.7,accurate,32,2011-08-12 13:55:00+00:00,-13.13,2011,3,8,Friday
0.3%,USD,2011-08-12 10:00:00,0.6%,better,Medium,Business Inventories m/m,0.9%,better,32,2011-08-12 14:00:00+00:00,-50.0,2011,3,8,Friday
50.9,USD,2011-08-01 10:00:00,55.0,worse,High,ISM Manufacturing PMI,55.3,accurate,31,2011-08-01 14:00:00+00:00,-7.45,2011,3,8,Monday
0.2%,USD,2011-08-01 10:00:00,-0.1%,better,Low,Construction Spending m/m,0.3%,better,31,2011-08-01 14:00:00+00:00,300.0,2011,3,8,Monday
59.0,USD,2011-08-01 10:00:00,64.4,worse,Low,ISM Manufacturing Prices,68.0,accurate,31,2011-08-01 14:00:00+00:00,-8.39,2011,3,8,Monday
0.1%,USD,2011-08-02 08:30:00,0.2%,worse,Medium,Core PCE Price Index m/m,0.2%,worse,31,2011-08-02 12:30:00+00:00,-50.0,2011,3,8,Tuesday
-0.2%,USD,2011-08-02 08:30:00,0.2%,worse,Medium,Personal Spending m/m,0.1%,better,31,2011-08-02 12:30:00+00:00,-200.0,2011,3,8,Tuesday
