actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
366K,USD,2011-12-15 08:30:00,389K,better,High,Unemployment Claims,385K,accurate,50,2011-12-15 13:30:00+00:00,-5.91,2011,4,12,Thursday
0.1%,USD,2011-12-15 08:30:00,0.2%,worse,Medium,Core PPI m/m,0.0%,accurate,50,2011-12-15 13:30:00+00:00,-50.0,2011,4,12,Thursday
-110B,USD,2011-12-15 08:30:00,-108B,accurate,Medium,Current Account,-125B,worse,50,2011-12-15 13:30:00+00:00,-1.85,2011,4,12,Thursday
9.5,USD,2011-12-15 08:30:00,3.1,better,Medium,Empire State Manufacturing Index,0.6,accurate,50,2011-12-15 13:30:00+00:00,206.45,2011,4,12,Thursday
4.8B,USD,2011-12-15 09:00:00,53.4B,worse,High,TIC Long-Term Purchases,68.3B,accurate,50,2011-12-15 14:00:00+00:00,-91.01,2011,4,12,Thursday
77.8%,USD,2011-12-15 09:15:00,77.9%,accurate,Medium,Capacity Utilization Rate,78.0%,better,50,2011-12-15 14:15:00+00:00,-0.13,2011,4,12,Thursday
-0.2%,USD,2011-12-15 09:15:00,0.3%,worse,Medium,Industrial Production m/m,0.7%,accurate,50,2011-12-15 14:15:00+00:00,-166.67,2011,4,12,Thursday
10.3,USD,2011-12-15 10:00:00,5.1,better,High,Philly Fed Manufacturing Index,3.6,accurate,50,2011-12-15 15:00:00+00:00,101.96,2011,4,12,Thursday
-102B,USD,2011-12-15 10:30:00,-89B,accurate,Low,Natural Gas Storage,-20B,accurate,50,2011-12-15 15:30:00+00:00,-14.61,2011,4,12,Thursday
0.2%,USD,2011-12-16 08:30:00,0.1%,better,High,Core CPI m/m,0.1%,accurate,50,2011-12-16 13:30:00+00:00,100.0,2011,4,12,Friday
0.0%,USD,2011-12-16 08:30:00,0.1%,worse,Medium,CPI m/m,-0.1%,accurate,50,2011-12-16 13:30:00+00:00,-100.0,2011,4,12,Friday
52.0,USD,2011-12-05 10:00:00,53.6,worse,High,ISM Non-Manufacturing PMI,52.9,accurate,49,2011-12-05 15:00:00+00:00,-2.99,2011,4,12,Monday
-0.4%,USD,2011-12-05 10:00:00,-0.2%,worse,Medium,Factory Orders m/m,-0.1%,worse,49,2011-12-05 15:00:00+00:00,-100.0,2011,4,12,Monday
1.3M,USD,2011-12-07 10:30:00,-0.8M,accurate,Medium,Crude Oil Inventories,3.9M,accurate,49,2011-12-07 15:30:00+00:00,262.5,2011,4,12,Wednesday
7.6B,USD,2011-12-07 15:00:00,7.0B,better,Low,Consumer Credit m/m,6.9B,worse,49,2011-12-07 20:00:00+00:00,8.57,2011,4,12,Wednesday
381K,USD,2011-12-08 08:30:00,397K,better,High,Unemployment Claims,404K,accurate,49,2011-12-08 13:30:00+00:00,-4.03,2011,4,12,Thursday
1.6%,USD,2011-12-08 10:00:00,0.4%,worse,Low,Final Wholesale Inventories m/m,0.0%,worse,49,2011-12-08 15:00:00+00:00,300.0,2011,4,12,Thursday
-20B,USD,2011-12-08 10:30:00,-10B,accurate,Low,Natural Gas Storage,-1B,accurate,49,2011-12-08 15:30:00+00:00,-100.0,2011,4,12,Thursday
-43.5B,USD,2011-12-09 08:30:00,-43.5B,accurate,High,Trade Balance,-44.2B,worse,49,2011-12-09 13:30:00+00:00,0.0,2011,4,12,Friday
67.7,USD,2011-12-09 09:55:00,65.6,better,High,Prelim UoM Consumer Sentiment,64.1,accurate,49,2011-12-09 14:55:00+00:00,3.2,2011,4,12,Friday
307K,USD,2011-11-28 10:00:00,313K,worse,High,New Home Sales,303K,worse,48,2011-11-28 15:00:00+00:00,-1.92,2011,4,11,Monday
-3.6%,USD,2011-11-29 09:00:00,-3.0%,worse,Medium,S&P/CS Composite-20 HPI y/y,-3.8%,accurate,48,2011-11-29 14:00:00+00:00,-20.0,2011,4,11,Tuesday
56.0,USD,2011-11-29 10:00:00,43.9,better,High,CB Consumer Confidence,40.9,better,48,2011-11-29 15:00:00+00:00,27.56,2011,4,11,Tuesday
0.9%,USD,2011-11-29 10:00:00,0.1%,better,Low,HPI m/m,-0.2%,worse,48,2011-11-29 15:00:00+00:00,800.0,2011,4,11,Tuesday
206K,USD,2011-11-30 08:15:00,131K,better,High,ADP Non-Farm Employment Change,130K,better,48,2011-11-30 13:15:00+00:00,57.25,2011,4,11,Wednesday
2.3%,USD,2011-11-30 08:30:00,2.6%,better,Medium,Revised Nonfarm Productivity q/q,3.1%,accurate,48,2011-11-30 13:30:00+00:00,-11.54,2011,4,11,Wednesday
-2.5%,USD,2011-11-30 08:30:00,-2.1%,worse,Low,Revised Unit Labor Costs q/q,-2.4%,accurate,48,2011-11-30 13:30:00+00:00,-19.05,2011,4,11,Wednesday
62.6,USD,2011-11-30 09:45:00,58.5,better,Medium,Chicago PMI,58.4,accurate,48,2011-11-30 14:45:00+00:00,7.01,2011,4,11,Wednesday
10.4%,USD,2011-11-30 10:00:00,1.4%,better,High,Pending Home Sales m/m,-4.6%,accurate,48,2011-11-30 15:00:00+00:00,642.86,2011,4,11,Wednesday
3.9M,USD,2011-11-30 10:30:00,-0.2M,accurate,Medium,Crude Oil Inventories,-6.2M,accurate,48,2011-11-30 15:30:00+00:00,2050.0,2011,4,11,Wednesday
402K,USD,2011-12-01 08:30:00,390K,worse,High,Unemployment Claims,396K,accurate,48,2011-12-01 13:30:00+00:00,3.08,2011,4,12,Thursday
52.7,USD,2011-12-01 10:00:00,51.6,better,High,ISM Manufacturing PMI,50.8,accurate,48,2011-12-01 15:00:00+00:00,2.13,2011,4,12,Thursday
0.8%,USD,2011-12-01 10:00:00,0.4%,better,Low,Construction Spending m/m,0.2%,accurate,48,2011-12-01 15:00:00+00:00,100.0,2011,4,12,Thursday
45.0,USD,2011-12-01 10:00:00,45.2,accurate,Low,ISM Manufacturing Prices,41.0,accurate,48,2011-12-01 15:00:00+00:00,-0.44,2011,4,12,Thursday
-1B,USD,2011-12-01 10:30:00,11B,accurate,Low,Natural Gas Storage,9B,accurate,48,2011-12-01 15:30:00+00:00,-109.09,2011,4,12,Thursday
13.6M,USD,2011-12-01 00:00:00,13.4M,better,Low,Total Vehicle Sales,13.3M,accurate,48,2011-12-01 05:00:00+00:00,1.49,2011,4,12,Thursday
120K,USD,2011-12-02 08:30:00,126K,accurate,High,Non-Farm Employment Change,100K,better,48,2011-12-02 13:30:00+00:00,-4.76,2011,4,12,Friday
8.6%,USD,2011-12-02 08:30:00,9.0%,better,High,Unemployment Rate,9.0%,accurate,48,2011-12-02 13:30:00+00:00,-4.44,2011,4,12,Friday
-0.1%,USD,2011-12-02 08:30:00,0.2%,worse,Medium,Average Hourly Earnings m/m,0.3%,better,48,2011-12-02 13:30:00+00:00,-150.0,2011,4,12,Friday
4.97M,USD,2011-11-21 10:00:00,4.82M,better,High,Existing Home Sales,4.90M,accurate,47,2011-11-21 15:00:00+00:00,3.11,2011,4,11,Monday
2.0%,USD,2011-11-22 08:30:00,2.4%,worse,High,Prelim GDP q/q,2.5%,accurate,47,2011-11-22 13:30:00+00:00,-16.67,2011,4,11,Tuesday
2.5%,USD,2011-11-22 08:30:00,2.5%,accurate,Low,Prelim GDP Price Index q/q,2.5%,accurate,47,2011-11-22 13:30:00+00:00,0.0,2011,4,11,Tuesday
