,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_neighbors': 31},0.73,0.68,0.73,0.99,0.52,0.03,941.00,351.00,"{'0': {'precision': 0.7328605200945626, 'recall': 0.9883103081827843, 'f1-score': 0.8416289592760181, 'support': 941}, '1': {'precision': 0.5217391304347826, 'recall': 0.03418803418803419, 'f1-score': 0.06417112299465241, 'support': 351}, 'micro avg': {'precision': 0.7291021671826625, 'recall': 0.7291021671826625, 'f1-score': 0.7291021671826625, 'support': 1292}, 'macro avg': {'precision': 0.6272998252646727, 'recall': 0.5112491711854092, 'f1-score': 0.4529000411353353, 'support': 1292}, 'weighted avg': {'precision': 0.675504786526, 'recall': 0.7291021671826625, 'f1-score': 0.6304155687692384, 'support': 1292}}",8.02
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.53,0.73,1.00,0.00,0.00,941.00,351.00,"{'0': {'precision': 0.728328173374613, 'recall': 1.0, 'f1-score': 0.8428123600537394, 'support': 941}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 351}, 'micro avg': {'precision': 0.728328173374613, 'recall': 0.728328173374613, 'f1-score': 0.728328173374613, 'support': 1292}, 'macro avg': {'precision': 0.3641640866873065, 'recall': 0.5, 'f1-score': 0.4214061800268697, 'support': 1292}, 'weighted avg': {'precision': 0.5304619281312003, 'recall': 0.728328173374613, 'f1-score': 0.6138439866954867, 'support': 1292}}",9.97
2,clf,dtree,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 50}",0.73,0.69,0.75,0.95,0.54,0.17,941.00,351.00,"{'0': {'precision': 0.7525337837837838, 'recall': 0.946865037194474, 'f1-score': 0.8385882352941177, 'support': 941}, '1': {'precision': 0.5370370370370371, 'recall': 0.16524216524216523, 'f1-score': 0.2527233115468409, 'support': 351}, 'micro avg': {'precision': 0.7345201238390093, 'recall': 0.7345201238390093, 'f1-score': 0.7345201238390094, 'support': 1292}, 'macro avg': {'precision': 0.6447854104104105, 'recall': 0.5560536012183196, 'f1-score': 0.5456557734204793, 'support': 1292}, 'weighted avg': {'precision': 0.6939893889632667, 'recall': 0.7345201238390093, 'f1-score': 0.6794252413039519, 'support': 1292}}",0.74
3,clf,rforest,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 100}",0.73,0.70,0.74,0.98,0.59,0.07,941.00,351.00,"{'0': {'precision': 0.7382282521947326, 'recall': 0.9829968119022316, 'f1-score': 0.8432087511394714, 'support': 941}, '1': {'precision': 0.5897435897435898, 'recall': 0.06552706552706553, 'f1-score': 0.11794871794871793, 'support': 351}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.6639859209691612, 'recall': 0.5242619387146485, 'f1-score': 0.48057873454409467, 'support': 1292}, 'weighted avg': {'precision': 0.6978891527207767, 'recall': 0.7337461300309598, 'f1-score': 0.6461760331441505, 'support': 1292}}",28.81
4,clf,xgb,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_estimators': 50},0.74,0.70,0.74,0.97,0.58,0.10,941.00,351.00,"{'0': {'precision': 0.7429034874290349, 'recall': 0.973432518597237, 'f1-score': 0.842686292548298, 'support': 941}, '1': {'precision': 0.576271186440678, 'recall': 0.09686609686609686, 'f1-score': 0.16585365853658537, 'support': 351}, 'micro avg': {'precision': 0.7352941176470589, 'recall': 0.7352941176470589, 'f1-score': 0.735294117647059, 'support': 1292}, 'macro avg': {'precision': 0.6595873369348564, 'recall': 0.5351493077316669, 'f1-score': 0.5042699755424417, 'support': 1292}, 'weighted avg': {'precision': 0.6976341858447367, 'recall': 0.7352941176470589, 'f1-score': 0.658809934546664, 'support': 1292}}",0.57
5,clf,gboosting,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_estimators': 100},0.73,0.69,0.75,0.95,0.54,0.15,941.00,351.00,"{'0': {'precision': 0.7497907949790795, 'recall': 0.9521785334750266, 'f1-score': 0.8389513108614232, 'support': 941}, '1': {'precision': 0.5360824742268041, 'recall': 0.14814814814814814, 'f1-score': 0.23214285714285712, 'support': 351}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.6429366346029418, 'recall': 0.5501633408115874, 'f1-score': 0.5355470840021401, 'support': 1292}, 'weighted avg': {'precision': 0.6917322651152649, 'recall': 0.7337461300309598, 'f1-score': 0.6740985498279737, 'support': 1292}}",1.46
6,clf,ada,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.74,{'n_estimators': 10},0.72,0.66,0.74,0.94,0.43,0.12,941.00,351.00,"{'0': {'precision': 0.7414225941422594, 'recall': 0.9415515409139213, 'f1-score': 0.8295880149812734, 'support': 941}, '1': {'precision': 0.4329896907216495, 'recall': 0.11965811965811966, 'f1-score': 0.1875, 'support': 351}, 'micro avg': {'precision': 0.718266253869969, 'recall': 0.718266253869969, 'f1-score': 0.718266253869969, 'support': 1292}, 'macro avg': {'precision': 0.5872061424319545, 'recall': 0.5306048302860205, 'f1-score': 0.5085440074906367, 'support': 1292}, 'weighted avg': {'precision': 0.6576300638786107, 'recall': 0.718266253869969, 'f1-score': 0.655150791097042, 'support': 1292}}",1.13
0,reg,kn,max,basic,ALL_NO_1_1_1,30_120,included,basic,19.59,{'n_neighbors': 41},,,,,,,,,19.44,8.27
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,30_120,included,basic,21.17,"{'C': 5, 'gamma': 1}",,,,,,,,,21.29,10.43
2,reg,dtree,max,basic,ALL_NO_1_1_1,30_120,included,basic,19.34,"{'max_depth': 4, 'min_samples_leaf': 150}",,,,,,,,,19.30,0.84
3,reg,rforest,max,basic,ALL_NO_1_1_1,30_120,included,basic,18.99,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",,,,,,,,,19.09,67.64
4,reg,xgb,max,basic,ALL_NO_1_1_1,30_120,included,basic,19.12,{'n_estimators': 50},,,,,,,,,19.22,0.43
5,reg,gboosting,max,basic,ALL_NO_1_1_1,30_120,included,basic,19.33,{'n_estimators': 50},,,,,,,,,19.29,0.92
6,reg,ada,max,basic,ALL_NO_1_1_1,30_120,included,basic,21.47,{'n_estimators': 10},,,,,,,,,21.30,1.06
