,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,AUD,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,,JPY,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
