,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.66,0.72,0.53,0.83,0.44,233.00,856.00,203.00,"{'0': {'precision': 0.5273311897106109, 'recall': 0.703862660944206, 'f1-score': 0.6029411764705882, 'support': 233}, '1': {'precision': 0.8328267477203647, 'recall': 0.6401869158878505, 'f1-score': 0.7239101717305152, 'support': 856}, '2': {'precision': 0.43653250773993807, 'recall': 0.6945812807881774, 'f1-score': 0.5361216730038022, 'support': 203}, 'micro avg': {'precision': 0.6602167182662538, 'recall': 0.6602167182662538, 'f1-score': 0.6602167182662538, 'support': 1292}, 'macro avg': {'precision': 0.5988968150569712, 'recall': 0.6795436192067447, 'f1-score': 0.6209910070683019, 'support': 1292}, 'weighted avg': {'precision': 0.715467463097842, 'recall': 0.6602167182662538, 'f1-score': 0.6725890872590866, 'support': 1292}}",4.73
1,clf,svc-rbf,basic,ALL_NO_1_1_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5092879256965944, 'f1-score': 0.6748717948717948, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1697626418988648, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.5092879256965944, 'f1-score': 0.6748717948717948, 'support': 1292}}",6.60
2,clf,dtree,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,0.70,0.69,0.71,0.67,294.00,662.00,336.00,"{'0': {'precision': 0.6913183279742765, 'recall': 0.7312925170068028, 'f1-score': 0.7107438016528925, 'support': 294}, '1': {'precision': 0.7142857142857143, 'recall': 0.7099697885196374, 'f1-score': 0.7121212121212123, 'support': 662}, '2': {'precision': 0.6718266253869969, 'recall': 0.6458333333333334, 'f1-score': 0.6585735963581184, 'support': 336}, 'micro avg': {'precision': 0.6981424148606811, 'recall': 0.6981424148606811, 'f1-score': 0.6981424148606811, 'support': 1292}, 'macro avg': {'precision': 0.6924768892156626, 'recall': 0.6956985462865912, 'f1-score': 0.6938128700440744, 'support': 1292}, 'weighted avg': {'precision': 0.698017397377408, 'recall': 0.6981424148606811, 'f1-score': 0.69788208087192, 'support': 1292}}",0.38
3,clf,rforest,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.70,0.72,0.62,0.80,0.59,258.00,762.00,272.00,"{'0': {'precision': 0.617363344051447, 'recall': 0.7441860465116279, 'f1-score': 0.6748681898066784, 'support': 258}, '1': {'precision': 0.7963525835866262, 'recall': 0.6876640419947506, 'f1-score': 0.7380281690140844, 'support': 762}, '2': {'precision': 0.5913312693498453, 'recall': 0.7022058823529411, 'f1-score': 0.642016806722689, 'support': 272}, 'micro avg': {'precision': 0.7020123839009288, 'recall': 0.7020123839009288, 'f1-score': 0.7020123839009288, 'support': 1292}, 'macro avg': {'precision': 0.6683490656626395, 'recall': 0.7113519902864399, 'f1-score': 0.6849710551811506, 'support': 1292}, 'weighted avg': {'precision': 0.7174477683602479, 'recall': 0.7020123839009288, 'f1-score': 0.7052028089685966, 'support': 1292}}",14.27
4,clf,xgb,basic,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,0.71,0.63,0.78,0.62,259.00,740.00,293.00,"{'0': {'precision': 0.6270096463022508, 'recall': 0.752895752895753, 'f1-score': 0.6842105263157895, 'support': 259}, '1': {'precision': 0.7750759878419453, 'recall': 0.6891891891891891, 'f1-score': 0.7296137339055795, 'support': 740}, '2': {'precision': 0.6160990712074303, 'recall': 0.6791808873720137, 'f1-score': 0.6461038961038961, 'support': 293}, 'micro avg': {'precision': 0.6996904024767802, 'recall': 0.6996904024767802, 'f1-score': 0.6996904024767802, 'support': 1292}, 'macro avg': {'precision': 0.6727282351172089, 'recall': 0.7070886098189852, 'f1-score': 0.6866427187750883, 'support': 1292}, 'weighted avg': {'precision': 0.7093411433893959, 'recall': 0.6996904024767802, 'f1-score': 0.7015736307773683, 'support': 1292}}",0.60
5,clf,gboosting,basic,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,0.72,0.61,0.80,0.58,250.00,774.00,268.00,"{'0': {'precision': 0.6141479099678456, 'recall': 0.764, 'f1-score': 0.6809269162210339, 'support': 250}, '1': {'precision': 0.7993920972644377, 'recall': 0.6795865633074936, 'f1-score': 0.7346368715083799, 'support': 774}, '2': {'precision': 0.5789473684210527, 'recall': 0.6977611940298507, 'f1-score': 0.6328257191201353, 'support': 268}, 'micro avg': {'precision': 0.6996904024767802, 'recall': 0.6996904024767802, 'f1-score': 0.6996904024767802, 'support': 1292}, 'macro avg': {'precision': 0.664162458551112, 'recall': 0.7137825857791148, 'f1-score': 0.6827965022831831, 'support': 1292}, 'weighted avg': {'precision': 0.7178207086002154, 'recall': 0.6996904024767802, 'f1-score': 0.7031253562902018, 'support': 1292}}",1.86
6,clf,ada,basic,ALL_NO_1_1_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,0.68,0.64,0.71,0.67,283.00,678.00,331.00,"{'0': {'precision': 0.639871382636656, 'recall': 0.7031802120141343, 'f1-score': 0.67003367003367, 'support': 283}, '1': {'precision': 0.7112462006079028, 'recall': 0.6902654867256637, 'f1-score': 0.7005988023952097, 'support': 678}, '2': {'precision': 0.6656346749226006, 'recall': 0.649546827794562, 'f1-score': 0.6574923547400613, 'support': 331}, 'micro avg': {'precision': 0.6826625386996904, 'recall': 0.6826625386996904, 'f1-score': 0.6826625386996904, 'support': 1292}, 'macro avg': {'precision': 0.6722507527223865, 'recall': 0.6809975088447867, 'f1-score': 0.6760416090563136, 'support': 1292}, 'weighted avg': {'precision': 0.6839269370725329, 'recall': 0.6826625386996904, 'f1-score': 0.6828602833300628, 'support': 1292}}",0.57
0,clf,kn,all,ALL_NO_1_1_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.67,0.72,0.53,0.84,0.44,228.00,861.00,203.00,"{'0': {'precision': 0.5273311897106109, 'recall': 0.7192982456140351, 'f1-score': 0.608534322820037, 'support': 228}, '1': {'precision': 0.8419452887537994, 'recall': 0.6434378629500581, 'f1-score': 0.729427254772877, 'support': 861}, '2': {'precision': 0.43962848297213625, 'recall': 0.6995073891625616, 'f1-score': 0.5399239543726236, 'support': 203}, 'micro avg': {'precision': 0.6656346749226006, 'recall': 0.6656346749226006, 'f1-score': 0.6656346749226006, 'support': 1292}, 'macro avg': {'precision': 0.6029683204788489, 'recall': 0.6874144992422183, 'f1-score': 0.6259618439885125, 'support': 1292}, 'weighted avg': {'precision': 0.723212838169028, 'recall': 0.6656346749226006, 'f1-score': 0.6783183085913762, 'support': 1292}}",5.25
1,clf,svc-rbf,all,ALL_NO_1_1_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5092879256965944, 'f1-score': 0.6748717948717948, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1697626418988648, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.5092879256965944, 'f1-score': 0.6748717948717948, 'support': 1292}}",7.51
2,clf,dtree,all,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,0.70,0.69,0.71,0.67,294.00,662.00,336.00,"{'0': {'precision': 0.6913183279742765, 'recall': 0.7312925170068028, 'f1-score': 0.7107438016528925, 'support': 294}, '1': {'precision': 0.7142857142857143, 'recall': 0.7099697885196374, 'f1-score': 0.7121212121212123, 'support': 662}, '2': {'precision': 0.6718266253869969, 'recall': 0.6458333333333334, 'f1-score': 0.6585735963581184, 'support': 336}, 'micro avg': {'precision': 0.6981424148606811, 'recall': 0.6981424148606811, 'f1-score': 0.6981424148606811, 'support': 1292}, 'macro avg': {'precision': 0.6924768892156626, 'recall': 0.6956985462865912, 'f1-score': 0.6938128700440744, 'support': 1292}, 'weighted avg': {'precision': 0.698017397377408, 'recall': 0.6981424148606811, 'f1-score': 0.69788208087192, 'support': 1292}}",0.49
