,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_240,included,basic,0.59,{'n_neighbors': 31},0.58,0.68,0.37,0.82,0.34,200.00,909.00,183.00,"{'0': {'precision': 0.36942675159235666, 'recall': 0.58, 'f1-score': 0.4513618677042801, 'support': 200}, '1': {'precision': 0.8222940226171244, 'recall': 0.55995599559956, 'f1-score': 0.6662303664921466, 'support': 909}, '2': {'precision': 0.3370473537604457, 'recall': 0.6612021857923497, 'f1-score': 0.44649446494464945, 'support': 183}, 'micro avg': {'precision': 0.5773993808049536, 'recall': 0.5773993808049536, 'f1-score': 0.5773993808049536, 'support': 1292}, 'macro avg': {'precision': 0.5095893759899756, 'recall': 0.6003860604639698, 'f1-score': 0.5213622330470254, 'support': 1292}, 'weighted avg': {'precision': 0.683459971064705, 'recall': 0.5773993808049536, 'f1-score': 0.6018454053924831, 'support': 1292}}",5.61
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_240,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.4791021671826625, 'f1-score': 0.6478283621140764, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.4791021671826625, 'recall': 0.4791021671826625, 'f1-score': 0.4791021671826625, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.15970072239422084, 'f1-score': 0.21594278737135877, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.4791021671826625, 'f1-score': 0.6478283621140764, 'support': 1292}}",7.13
2,clf,dtree,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,"{'max_depth': 4, 'min_samples_leaf': 150}",0.62,0.68,0.44,0.81,0.43,212.00,850.00,230.00,"{'0': {'precision': 0.4426751592356688, 'recall': 0.6556603773584906, 'f1-score': 0.5285171102661597, 'support': 212}, '1': {'precision': 0.8077544426494345, 'recall': 0.5882352941176471, 'f1-score': 0.6807351940095302, 'support': 850}, '2': {'precision': 0.43454038997214484, 'recall': 0.6782608695652174, 'f1-score': 0.5297113752122241, 'support': 230}, 'micro avg': {'precision': 0.6153250773993808, 'recall': 0.6153250773993808, 'f1-score': 0.6153250773993808, 'support': 1292}, 'macro avg': {'precision': 0.561656663952416, 'recall': 0.640718847013785, 'f1-score': 0.5796545598293047, 'support': 1292}, 'weighted avg': {'precision': 0.6814107582845004, 'recall': 0.6153250773993808, 'f1-score': 0.6288731877580016, 'support': 1292}}",0.42
3,clf,rforest,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.61,0.67,0.44,0.80,0.43,222.00,842.00,228.00,"{'0': {'precision': 0.4426751592356688, 'recall': 0.6261261261261262, 'f1-score': 0.5186567164179104, 'support': 222}, '1': {'precision': 0.7996768982229402, 'recall': 0.5878859857482185, 'f1-score': 0.677618069815195, 'support': 842}, '2': {'precision': 0.42896935933147634, 'recall': 0.6754385964912281, 'f1-score': 0.524701873935264, 'support': 228}, 'micro avg': {'precision': 0.6099071207430341, 'recall': 0.6099071207430341, 'f1-score': 0.6099071207430341, 'support': 1292}, 'macro avg': {'precision': 0.5571071389300284, 'recall': 0.6298169027885243, 'f1-score': 0.5736588867227899, 'support': 1292}, 'weighted avg': {'precision': 0.672915516704033, 'recall': 0.6099071207430341, 'f1-score': 0.623319065856355, 'support': 1292}}",15.83
4,clf,xgb,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,{'n_estimators': 50},0.61,0.66,0.45,0.78,0.44,225.00,824.00,243.00,"{'0': {'precision': 0.445859872611465, 'recall': 0.6222222222222222, 'f1-score': 0.5194805194805195, 'support': 225}, '1': {'precision': 0.7802907915993538, 'recall': 0.5861650485436893, 'f1-score': 0.6694386694386695, 'support': 824}, '2': {'precision': 0.4428969359331476, 'recall': 0.654320987654321, 'f1-score': 0.5282392026578073, 'support': 243}, 'micro avg': {'precision': 0.6052631578947368, 'recall': 0.6052631578947368, 'f1-score': 0.6052631578947368, 'support': 1292}, 'macro avg': {'precision': 0.5563492000479888, 'recall': 0.6209027528067442, 'f1-score': 0.5723861305256654, 'support': 1292}, 'weighted avg': {'precision': 0.6585929094792585, 'recall': 0.6052631578947368, 'f1-score': 0.6167668008873279, 'support': 1292}}",0.74
5,clf,gboosting,basic,ALL_NO_1_1_1,60_240,included,basic,0.62,{'n_estimators': 50},0.61,0.66,0.45,0.78,0.46,226.00,816.00,250.00,"{'0': {'precision': 0.44904458598726116, 'recall': 0.6238938053097345, 'f1-score': 0.5222222222222223, 'support': 226}, '1': {'precision': 0.7819063004846527, 'recall': 0.5931372549019608, 'f1-score': 0.6745644599303137, 'support': 816}, '2': {'precision': 0.4596100278551532, 'recall': 0.66, 'f1-score': 0.541871921182266, 'support': 250}, 'micro avg': {'precision': 0.6114551083591331, 'recall': 0.6114551083591331, 'f1-score': 0.6114551083591331, 'support': 1292}, 'macro avg': {'precision': 0.563520304775689, 'recall': 0.6256770200705651, 'f1-score': 0.5795528677782673, 'support': 1292}, 'weighted avg': {'precision': 0.6613174338950355, 'recall': 0.6114551083591331, 'f1-score': 0.6222405586849262, 'support': 1292}}",2.12
6,clf,ada,basic,ALL_NO_1_1_1,60_240,included,basic,0.62,{'n_estimators': 10},0.61,0.66,0.44,0.77,0.48,211.00,806.00,275.00,"{'0': {'precision': 0.4426751592356688, 'recall': 0.6587677725118484, 'f1-score': 0.5295238095238096, 'support': 211}, '1': {'precision': 0.7689822294022617, 'recall': 0.5905707196029777, 'f1-score': 0.6680701754385965, 'support': 806}, '2': {'precision': 0.48467966573816157, 'recall': 0.6327272727272727, 'f1-score': 0.5488958990536278, 'support': 275}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.5654456847920307, 'recall': 0.6273552549473663, 'f1-score': 0.5821632946720113, 'support': 1292}, 'weighted avg': {'precision': 0.6551788262963959, 'recall': 0.6106811145510835, 'f1-score': 0.6200777534464244, 'support': 1292}}",0.63
0,clf,kn,all,ALL_NO_1_1_1,60_240,included,basic,0.59,{'n_neighbors': 31},0.59,0.70,0.38,0.84,0.33,198.00,920.00,174.00,"{'0': {'precision': 0.37898089171974525, 'recall': 0.601010101010101, 'f1-score': 0.46484375, 'support': 198}, '1': {'precision': 0.8368336025848142, 'recall': 0.5630434782608695, 'f1-score': 0.673164392462638, 'support': 920}, '2': {'precision': 0.3342618384401114, 'recall': 0.6896551724137931, 'f1-score': 0.450281425891182, 'support': 174}, 'micro avg': {'precision': 0.5859133126934984, 'recall': 0.5859133126934984, 'f1-score': 0.5859133126934984, 'support': 1292}, 'macro avg': {'precision': 0.5166921109148903, 'recall': 0.6179029172282545, 'f1-score': 0.52942985611794, 'support': 1292}, 'weighted avg': {'precision': 0.6989835068321346, 'recall': 0.5859133126934984, 'f1-score': 0.6112223464943441, 'support': 1292}}",6.44
1,clf,svc-rbf,all,ALL_NO_1_1_1,60_240,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.4791021671826625, 'f1-score': 0.6478283621140764, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.4791021671826625, 'recall': 0.4791021671826625, 'f1-score': 0.4791021671826625, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.15970072239422084, 'f1-score': 0.21594278737135877, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.4791021671826625, 'f1-score': 0.6478283621140764, 'support': 1292}}",8.25
2,clf,dtree,all,ALL_NO_1_1_1,60_240,included,basic,0.63,"{'max_depth': 4, 'min_samples_leaf': 150}",0.62,0.68,0.44,0.81,0.43,212.00,850.00,230.00,"{'0': {'precision': 0.4426751592356688, 'recall': 0.6556603773584906, 'f1-score': 0.5285171102661597, 'support': 212}, '1': {'precision': 0.8077544426494345, 'recall': 0.5882352941176471, 'f1-score': 0.6807351940095302, 'support': 850}, '2': {'precision': 0.43454038997214484, 'recall': 0.6782608695652174, 'f1-score': 0.5297113752122241, 'support': 230}, 'micro avg': {'precision': 0.6153250773993808, 'recall': 0.6153250773993808, 'f1-score': 0.6153250773993808, 'support': 1292}, 'macro avg': {'precision': 0.561656663952416, 'recall': 0.640718847013785, 'f1-score': 0.5796545598293047, 'support': 1292}, 'weighted avg': {'precision': 0.6814107582845004, 'recall': 0.6153250773993808, 'f1-score': 0.6288731877580016, 'support': 1292}}",0.51
3,clf,rforest,all,ALL_NO_1_1_1,60_240,included,basic,0.62,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 100}",0.61,0.67,0.44,0.80,0.44,220.00,838.00,234.00,"{'0': {'precision': 0.43630573248407645, 'recall': 0.6227272727272727, 'f1-score': 0.5131086142322098, 'support': 220}, '1': {'precision': 0.7980613893376414, 'recall': 0.5894988066825776, 'f1-score': 0.6781056966369253, 'support': 838}, '2': {'precision': 0.4373259052924791, 'recall': 0.6709401709401709, 'f1-score': 0.5295109612141653, 'support': 234}, 'micro avg': {'precision': 0.6099071207430341, 'recall': 0.6099071207430341, 'f1-score': 0.6099071207430341, 'support': 1292}, 'macro avg': {'precision': 0.5572310090380657, 'recall': 0.6277220834500071, 'f1-score': 0.5735750906944335, 'support': 1292}, 'weighted avg': {'precision': 0.6711276836299385, 'recall': 0.6099071207430341, 'f1-score': 0.6230975494093995, 'support': 1292}}",16.52
4,clf,xgb,all,ALL_NO_1_1_1,60_240,included,basic,0.63,{'n_estimators': 50},0.61,0.66,0.45,0.78,0.44,227.00,823.00,242.00,"{'0': {'precision': 0.44904458598726116, 'recall': 0.6211453744493393, 'f1-score': 0.5212569316081331, 'support': 227}, '1': {'precision': 0.7835218093699515, 'recall': 0.5893074119076549, 'f1-score': 0.6726768377253814, 'support': 823}, '2': {'precision': 0.4428969359331476, 'recall': 0.6570247933884298, 'f1-score': 0.5291181364392677, 'support': 242}, 'micro avg': {'precision': 0.6075851393188855, 'recall': 0.6075851393188855, 'f1-score': 0.6075851393188855, 'support': 1292}, 'macro avg': {'precision': 0.5584877770967868, 'recall': 0.6224925265818081, 'f1-score': 0.5743506352575941, 'support': 1292}, 'weighted avg': {'precision': 0.6609540469244584, 'recall': 0.6075851393188855, 'f1-score': 0.6191833977874133, 'support': 1292}}",0.83
5,clf,gboosting,all,ALL_NO_1_1_1,60_240,included,basic,0.63,{'n_estimators': 100},0.61,0.65,0.45,0.77,0.48,229.00,798.00,265.00,"{'0': {'precision': 0.445859872611465, 'recall': 0.611353711790393, 'f1-score': 0.5156537753222836, 'support': 229}, '1': {'precision': 0.7705977382875606, 'recall': 0.5977443609022557, 'f1-score': 0.6732533521524348, 'support': 798}, '2': {'precision': 0.479108635097493, 'recall': 0.6490566037735849, 'f1-score': 0.5512820512820512, 'support': 265}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.5651887486655062, 'recall': 0.6193848921554111, 'f1-score': 0.5800630595855898, 'support': 1292}, 'weighted avg': {'precision': 0.653252859351652, 'recall': 0.6106811145510835, 'f1-score': 0.6203023476441094, 'support': 1292}}",2.61
6,clf,ada,all,ALL_NO_1_1_1,60_240,included,basic,0.62,{'n_estimators': 10},0.61,0.66,0.44,0.77,0.48,211.00,806.00,275.00,"{'0': {'precision': 0.4426751592356688, 'recall': 0.6587677725118484, 'f1-score': 0.5295238095238096, 'support': 211}, '1': {'precision': 0.7689822294022617, 'recall': 0.5905707196029777, 'f1-score': 0.6680701754385965, 'support': 806}, '2': {'precision': 0.48467966573816157, 'recall': 0.6327272727272727, 'f1-score': 0.5488958990536278, 'support': 275}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.5654456847920307, 'recall': 0.6273552549473663, 'f1-score': 0.5821632946720113, 'support': 1292}, 'weighted avg': {'precision': 0.6551788262963959, 'recall': 0.6106811145510835, 'f1-score': 0.6200777534464244, 'support': 1292}}",0.75
0,clf,kn,basic,ALL_NO_3_2_1,60_240,included,basic,0.59,{'n_neighbors': 31},0.58,0.69,0.37,0.83,0.32,198.00,922.00,172.00,"{'0': {'precision': 0.3662420382165605, 'recall': 0.5808080808080808, 'f1-score': 0.44921875, 'support': 198}, '1': {'precision': 0.8303715670436187, 'recall': 0.5574837310195228, 'f1-score': 0.6670992861778066, 'support': 922}, '2': {'precision': 0.3231197771587744, 'recall': 0.6744186046511628, 'f1-score': 0.4369114877589454, 'support': 172}, 'micro avg': {'precision': 0.576625386996904, 'recall': 0.576625386996904, 'f1-score': 0.576625386996904, 'support': 1292}, 'macro avg': {'precision': 0.5065777941396512, 'recall': 0.604236805492922, 'f1-score': 0.5177431746455841, 'support': 1292}, 'weighted avg': {'precision': 0.6917144814647095, 'recall': 0.576625386996904, 'f1-score': 0.6030647292960343, 'support': 1292}}",5.62
1,clf,svc-rbf,basic,ALL_NO_3_2_1,60_240,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.4791021671826625, 'f1-score': 0.6478283621140764, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.4791021671826625, 'recall': 0.4791021671826625, 'f1-score': 0.4791021671826625, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.15970072239422084, 'f1-score': 0.21594278737135877, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.4791021671826625, 'f1-score': 0.6478283621140764, 'support': 1292}}",7.15
2,clf,dtree,basic,ALL_NO_3_2_1,60_240,included,basic,0.63,"{'max_depth': 4, 'min_samples_leaf': 150}",0.62,0.68,0.44,0.81,0.43,212.00,850.00,230.00,"{'0': {'precision': 0.4426751592356688, 'recall': 0.6556603773584906, 'f1-score': 0.5285171102661597, 'support': 212}, '1': {'precision': 0.8077544426494345, 'recall': 0.5882352941176471, 'f1-score': 0.6807351940095302, 'support': 850}, '2': {'precision': 0.43454038997214484, 'recall': 0.6782608695652174, 'f1-score': 0.5297113752122241, 'support': 230}, 'micro avg': {'precision': 0.6153250773993808, 'recall': 0.6153250773993808, 'f1-score': 0.6153250773993808, 'support': 1292}, 'macro avg': {'precision': 0.561656663952416, 'recall': 0.640718847013785, 'f1-score': 0.5796545598293047, 'support': 1292}, 'weighted avg': {'precision': 0.6814107582845004, 'recall': 0.6153250773993808, 'f1-score': 0.6288731877580016, 'support': 1292}}",0.43
3,clf,rforest,basic,ALL_NO_3_2_1,60_240,included,basic,0.62,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.62,0.68,0.45,0.80,0.44,221.00,835.00,236.00,"{'0': {'precision': 0.44904458598726116, 'recall': 0.6380090497737556, 'f1-score': 0.5271028037383177, 'support': 221}, '1': {'precision': 0.8045234248788369, 'recall': 0.5964071856287425, 'f1-score': 0.6850068775790922, 'support': 835}, '2': {'precision': 0.4401114206128134, 'recall': 0.6694915254237288, 'f1-score': 0.5310924369747899, 'support': 236}, 'micro avg': {'precision': 0.6168730650154799, 'recall': 0.6168730650154799, 'f1-score': 0.6168730650154799, 'support': 1292}, 'macro avg': {'precision': 0.5645598104929704, 'recall': 0.6346359202754089, 'f1-score': 0.5810673727640666, 'support': 1292}, 'weighted avg': {'precision': 0.67715341218393, 'recall': 0.6168730650154799, 'f1-score': 0.6298825677482668, 'support': 1292}}",16.41
4,clf,xgb,basic,ALL_NO_3_2_1,60_240,included,basic,0.63,{'n_estimators': 50},0.61,0.66,0.45,0.79,0.45,230.00,824.00,238.00,"{'0': {'precision': 0.44904458598726116, 'recall': 0.6130434782608696, 'f1-score': 0.5183823529411765, 'support': 230}, '1': {'precision': 0.7883683360258481, 'recall': 0.5922330097087378, 'f1-score': 0.6763686763686764, 'support': 824}, '2': {'precision': 0.4456824512534819, 'recall': 0.6722689075630253, 'f1-score': 0.5360134003350084, 'support': 238}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.5610317910888637, 'recall': 0.6258484651775442, 'f1-score': 0.5769214765482871, 'support': 1292}, 'weighted avg': {'precision': 0.6648360580965151, 'recall': 0.6106811145510835, 'f1-score': 0.6223892567987555, 'support': 1292}}",0.74
5,clf,gboosting,basic,ALL_NO_3_2_1,60_240,included,basic,0.63,{'n_estimators': 100},0.61,0.66,0.44,0.79,0.47,224.00,817.00,251.00,"{'0': {'precision': 0.43630573248407645, 'recall': 0.6116071428571429, 'f1-score': 0.5092936802973979, 'support': 224}, '1': {'precision': 0.7867528271405493, 'recall': 0.5960832313341493, 'f1-score': 0.6782729805013927, 'support': 817}, '2': {'precision': 0.467966573816156, 'recall': 0.6693227091633466, 'f1-score': 0.5508196721311476, 'support': 251}, 'micro avg': {'precision': 0.6130030959752322, 'recall': 0.6130030959752322, 'f1-score': 0.6130030959752322, 'support': 1292}, 'macro avg': {'precision': 0.5636750444802606, 'recall': 0.6256710277848795, 'f1-score': 0.5794621109766461, 'support': 1292}, 'weighted avg': {'precision': 0.6640628125991619, 'recall': 0.6130030959752322, 'f1-score': 0.6242155937779977, 'support': 1292}}",2.55
6,clf,ada,basic,ALL_NO_3_2_1,60_240,included,basic,0.62,{'n_estimators': 10},0.61,0.66,0.44,0.77,0.48,211.00,806.00,275.00,"{'0': {'precision': 0.4426751592356688, 'recall': 0.6587677725118484, 'f1-score': 0.5295238095238096, 'support': 211}, '1': {'precision': 0.7689822294022617, 'recall': 0.5905707196029777, 'f1-score': 0.6680701754385965, 'support': 806}, '2': {'precision': 0.48467966573816157, 'recall': 0.6327272727272727, 'f1-score': 0.5488958990536278, 'support': 275}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.5654456847920307, 'recall': 0.6273552549473663, 'f1-score': 0.5821632946720113, 'support': 1292}, 'weighted avg': {'precision': 0.6551788262963959, 'recall': 0.6106811145510835, 'f1-score': 0.6200777534464244, 'support': 1292}}",0.70
