,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_180,included,basic,0.61,{'n_neighbors': 31},0.61,0.71,0.38,0.85,0.38,197.00,903.00,192.00,"{'0': {'precision': 0.37658227848101267, 'recall': 0.6040609137055838, 'f1-score': 0.4639376218323587, 'support': 197}, '1': {'precision': 0.8493589743589743, 'recall': 0.5869324473975637, 'f1-score': 0.6941715782580223, 'support': 903}, '2': {'precision': 0.3778409090909091, 'recall': 0.6927083333333334, 'f1-score': 0.4889705882352942, 'support': 192}, 'micro avg': {'precision': 0.6052631578947368, 'recall': 0.6052631578947368, 'f1-score': 0.6052631578947368, 'support': 1292}, 'macro avg': {'precision': 0.5345940539769654, 'recall': 0.6279005648121604, 'f1-score': 0.5490265961085584, 'support': 1292}, 'weighted avg': {'precision': 0.707200709947653, 'recall': 0.6052631578947368, 'f1-score': 0.6285719811216295, 'support': 1292}}",5.59
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_180,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.48297213622291024, 'f1-score': 0.651356993736952, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.48297213622291024, 'recall': 0.48297213622291024, 'f1-score': 0.48297213622291024, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1609907120743034, 'f1-score': 0.21711899791231734, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.48297213622291024, 'f1-score': 0.651356993736952, 'support': 1292}}",7.19
2,clf,dtree,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,0.71,0.48,0.84,0.42,225.00,869.00,198.00,"{'0': {'precision': 0.4810126582278481, 'recall': 0.6755555555555556, 'f1-score': 0.5619223659889094, 'support': 225}, '1': {'precision': 0.8397435897435898, 'recall': 0.6029919447640967, 'f1-score': 0.7019423978566645, 'support': 869}, '2': {'precision': 0.42329545454545453, 'recall': 0.7525252525252525, 'f1-score': 0.5418181818181819, 'support': 198}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.5813505675056309, 'recall': 0.6770242509483015, 'f1-score': 0.6018943152212519, 'support': 1292}, 'weighted avg': {'precision': 0.7134500987526666, 'recall': 0.6385448916408669, 'f1-score': 0.6530189443381936, 'support': 1292}}",0.41
3,clf,rforest,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",0.64,0.68,0.49,0.80,0.49,242.00,801.00,249.00,"{'0': {'precision': 0.4936708860759494, 'recall': 0.6446280991735537, 'f1-score': 0.5591397849462365, 'support': 242}, '1': {'precision': 0.8028846153846154, 'recall': 0.6254681647940075, 'f1-score': 0.7031578947368422, 'support': 801}, '2': {'precision': 0.48579545454545453, 'recall': 0.6867469879518072, 'f1-score': 0.5690515806988352, 'support': 249}, 'micro avg': {'precision': 0.6408668730650154, 'recall': 0.6408668730650154, 'f1-score': 0.6408668730650154, 'support': 1292}, 'macro avg': {'precision': 0.5941169853353397, 'recall': 0.6522810839731229, 'f1-score': 0.610449753460638, 'support': 1292}, 'weighted avg': {'precision': 0.6838560367920083, 'recall': 0.6408668730650154, 'f1-score': 0.6503367997176547, 'support': 1292}}",15.77
4,clf,xgb,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 100},0.64,0.68,0.50,0.80,0.50,247.00,788.00,257.00,"{'0': {'precision': 0.5, 'recall': 0.6396761133603239, 'f1-score': 0.5612788632326821, 'support': 247}, '1': {'precision': 0.7964743589743589, 'recall': 0.6307106598984772, 'f1-score': 0.7039660056657224, 'support': 788}, '2': {'precision': 0.5028409090909091, 'recall': 0.688715953307393, 'f1-score': 0.58128078817734, 'support': 257}, 'micro avg': {'precision': 0.6439628482972136, 'recall': 0.6439628482972136, 'f1-score': 0.6439628482972136, 'support': 1292}, 'macro avg': {'precision': 0.599771756021756, 'recall': 0.6530342421887314, 'f1-score': 0.6155085523585814, 'support': 1292}, 'weighted avg': {'precision': 0.6813869260899059, 'recall': 0.6439628482972136, 'f1-score': 0.6522834785175218, 'support': 1292}}",0.78
5,clf,gboosting,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 50},0.64,0.67,0.50,0.78,0.50,254.00,779.00,259.00,"{'0': {'precision': 0.5, 'recall': 0.6220472440944882, 'f1-score': 0.5543859649122806, 'support': 254}, '1': {'precision': 0.782051282051282, 'recall': 0.6264441591784339, 'f1-score': 0.6956521739130435, 'support': 779}, '2': {'precision': 0.4971590909090909, 'recall': 0.6756756756756757, 'f1-score': 0.5728314238952537, 'support': 259}, 'micro avg': {'precision': 0.6354489164086687, 'recall': 0.6354489164086687, 'f1-score': 0.6354489164086687, 'support': 1292}, 'macro avg': {'precision': 0.5930701243201243, 'recall': 0.6413890263161993, 'f1-score': 0.607623187573526, 'support': 1292}, 'weighted avg': {'precision': 0.6694908306992285, 'recall': 0.6354489164086687, 'f1-score': 0.6432588369619588, 'support': 1292}}",2.12
6,clf,ada,basic,ALL_NO_1_1_1,60_180,included,basic,0.64,{'n_estimators': 50},0.64,0.66,0.52,0.76,0.55,261.00,740.00,291.00,"{'0': {'precision': 0.5158227848101266, 'recall': 0.6245210727969349, 'f1-score': 0.5649913344887348, 'support': 261}, '1': {'precision': 0.7564102564102564, 'recall': 0.6378378378378379, 'f1-score': 0.6920821114369501, 'support': 740}, '2': {'precision': 0.5539772727272727, 'recall': 0.6701030927835051, 'f1-score': 0.6065318818040434, 'support': 291}, 'micro avg': {'precision': 0.6424148606811145, 'recall': 0.6424148606811145, 'f1-score': 0.6424148606811145, 'support': 1292}, 'macro avg': {'precision': 0.6087367713158852, 'recall': 0.6441540011394259, 'f1-score': 0.6212017759099094, 'support': 1292}, 'weighted avg': {'precision': 0.6622141818441711, 'recall': 0.6424148606811145, 'f1-score': 0.6471395343420121, 'support': 1292}}",0.65
0,clf,kn,all,ALL_NO_1_1_1,60_180,included,basic,0.61,{'n_neighbors': 31},0.60,0.70,0.38,0.85,0.38,201.00,900.00,191.00,"{'0': {'precision': 0.3829113924050633, 'recall': 0.6019900497512438, 'f1-score': 0.4680851063829787, 'support': 201}, '1': {'precision': 0.8461538461538461, 'recall': 0.5866666666666667, 'f1-score': 0.6929133858267718, 'support': 900}, '2': {'precision': 0.375, 'recall': 0.6910994764397905, 'f1-score': 0.4861878453038673, 'support': 191}, 'micro avg': {'precision': 0.6044891640866873, 'recall': 0.6044891640866873, 'f1-score': 0.6044891640866873, 'support': 1292}, 'macro avg': {'precision': 0.5346884128529698, 'recall': 0.6265853976192336, 'f1-score': 0.5490621125045393, 'support': 1292}, 'weighted avg': {'precision': 0.7044339407212687, 'recall': 0.6044891640866873, 'f1-score': 0.627375411826712, 'support': 1292}}",6.44
1,clf,svc-rbf,all,ALL_NO_1_1_1,60_180,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.48297213622291024, 'f1-score': 0.651356993736952, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.48297213622291024, 'recall': 0.48297213622291024, 'f1-score': 0.48297213622291024, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1609907120743034, 'f1-score': 0.21711899791231734, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.48297213622291024, 'f1-score': 0.651356993736952, 'support': 1292}}",8.35
2,clf,dtree,all,ALL_NO_1_1_1,60_180,included,basic,0.65,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,0.71,0.48,0.84,0.42,225.00,869.00,198.00,"{'0': {'precision': 0.4810126582278481, 'recall': 0.6755555555555556, 'f1-score': 0.5619223659889094, 'support': 225}, '1': {'precision': 0.8397435897435898, 'recall': 0.6029919447640967, 'f1-score': 0.7019423978566645, 'support': 869}, '2': {'precision': 0.42329545454545453, 'recall': 0.7525252525252525, 'f1-score': 0.5418181818181819, 'support': 198}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.5813505675056309, 'recall': 0.6770242509483015, 'f1-score': 0.6018943152212519, 'support': 1292}, 'weighted avg': {'precision': 0.7134500987526666, 'recall': 0.6385448916408669, 'f1-score': 0.6530189443381936, 'support': 1292}}",0.50
3,clf,rforest,all,ALL_NO_1_1_1,60_180,included,basic,0.64,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.64,0.69,0.49,0.81,0.47,237.00,811.00,244.00,"{'0': {'precision': 0.49050632911392406, 'recall': 0.6540084388185654, 'f1-score': 0.5605786618444847, 'support': 237}, '1': {'precision': 0.8092948717948718, 'recall': 0.6226880394574599, 'f1-score': 0.7038327526132404, 'support': 811}, '2': {'precision': 0.4715909090909091, 'recall': 0.680327868852459, 'f1-score': 0.5570469798657718, 'support': 244}, 'micro avg': {'precision': 0.6393188854489165, 'recall': 0.6393188854489165, 'f1-score': 0.6393188854489165, 'support': 1292}, 'macro avg': {'precision': 0.5904640366665683, 'recall': 0.6523414490428281, 'f1-score': 0.6071527981078323, 'support': 1292}, 'weighted avg': {'precision': 0.6870404975571385, 'recall': 0.6393188854489165, 'f1-score': 0.6498335668062919, 'support': 1292}}",16.48
4,clf,xgb,all,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 50},0.65,0.68,0.52,0.79,0.50,254.00,780.00,258.00,"{'0': {'precision': 0.5189873417721519, 'recall': 0.6456692913385826, 'f1-score': 0.5754385964912281, 'support': 254}, '1': {'precision': 0.7916666666666666, 'recall': 0.6333333333333333, 'f1-score': 0.7037037037037038, 'support': 780}, '2': {'precision': 0.5, 'recall': 0.6821705426356589, 'f1-score': 0.5770491803278689, 'support': 258}, 'micro avg': {'precision': 0.6455108359133127, 'recall': 0.6455108359133127, 'f1-score': 0.6455108359133127, 'support': 1292}, 'macro avg': {'precision': 0.6035513361462729, 'recall': 0.653724389102525, 'f1-score': 0.6187304935076002, 'support': 1292}, 'weighted avg': {'precision': 0.6798163969118627, 'recall': 0.6455108359133127, 'f1-score': 0.6531958056673771, 'support': 1292}}",0.83
5,clf,gboosting,all,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 50},0.64,0.68,0.50,0.79,0.51,247.00,783.00,262.00,"{'0': {'precision': 0.5031645569620253, 'recall': 0.6437246963562753, 'f1-score': 0.5648312611012433, 'support': 247}, '1': {'precision': 0.7900641025641025, 'recall': 0.6296296296296297, 'f1-score': 0.7007818052594171, 'support': 783}, '2': {'precision': 0.5113636363636364, 'recall': 0.6870229007633588, 'f1-score': 0.5863192182410425, 'support': 262}, 'micro avg': {'precision': 0.6439628482972136, 'recall': 0.6439628482972136, 'f1-score': 0.6439628482972136, 'support': 1292}, 'macro avg': {'precision': 0.6015307652965881, 'recall': 0.6534590755830879, 'f1-score': 0.617310761533901, 'support': 1292}, 'weighted avg': {'precision': 0.6786990020159329, 'recall': 0.6439628482972136, 'f1-score': 0.6515798066480526, 'support': 1292}}",2.55
6,clf,ada,all,ALL_NO_1_1_1,60_180,included,basic,0.64,{'n_estimators': 10},0.64,0.68,0.48,0.80,0.52,222.00,803.00,267.00,"{'0': {'precision': 0.4810126582278481, 'recall': 0.6846846846846847, 'f1-score': 0.5650557620817844, 'support': 222}, '1': {'precision': 0.7964743589743589, 'recall': 0.6189290161892902, 'f1-score': 0.6965662228451297, 'support': 803}, '2': {'precision': 0.5170454545454546, 'recall': 0.6816479400749064, 'f1-score': 0.5880452342487884, 'support': 267}, 'micro avg': {'precision': 0.6431888544891641, 'recall': 0.6431888544891641, 'f1-score': 0.6431888544891641, 'support': 1292}, 'macro avg': {'precision': 0.5981774905825539, 'recall': 0.6617538803162937, 'f1-score': 0.6165557397252343, 'support': 1292}, 'weighted avg': {'precision': 0.6845238829308273, 'recall': 0.6431888544891641, 'f1-score': 0.6515426731201407, 'support': 1292}}",0.75
0,clf,kn,basic,ALL_NO_3_2_1,60_180,included,basic,0.61,{'n_neighbors': 31},0.61,0.71,0.38,0.85,0.38,201.00,900.00,191.00,"{'0': {'precision': 0.3829113924050633, 'recall': 0.6019900497512438, 'f1-score': 0.4680851063829787, 'support': 201}, '1': {'precision': 0.8493589743589743, 'recall': 0.5888888888888889, 'f1-score': 0.6955380577427821, 'support': 900}, '2': {'precision': 0.375, 'recall': 0.6910994764397905, 'f1-score': 0.4861878453038673, 'support': 191}, 'micro avg': {'precision': 0.6060371517027864, 'recall': 0.6060371517027864, 'f1-score': 0.6060371517027864, 'support': 1292}, 'macro avg': {'precision': 0.5357567889213458, 'recall': 0.6273261383599745, 'f1-score': 0.5499370031432094, 'support': 1292}, 'weighted avg': {'precision': 0.7066666151675655, 'recall': 0.6060371517027864, 'f1-score': 0.6292037436567502, 'support': 1292}}",5.61
1,clf,svc-rbf,basic,ALL_NO_3_2_1,60_180,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.48297213622291024, 'f1-score': 0.651356993736952, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.48297213622291024, 'recall': 0.48297213622291024, 'f1-score': 0.48297213622291024, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1609907120743034, 'f1-score': 0.21711899791231734, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.48297213622291024, 'f1-score': 0.651356993736952, 'support': 1292}}",7.27
2,clf,dtree,basic,ALL_NO_3_2_1,60_180,included,basic,0.65,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,0.71,0.48,0.84,0.42,225.00,869.00,198.00,"{'0': {'precision': 0.4810126582278481, 'recall': 0.6755555555555556, 'f1-score': 0.5619223659889094, 'support': 225}, '1': {'precision': 0.8397435897435898, 'recall': 0.6029919447640967, 'f1-score': 0.7019423978566645, 'support': 869}, '2': {'precision': 0.42329545454545453, 'recall': 0.7525252525252525, 'f1-score': 0.5418181818181819, 'support': 198}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.5813505675056309, 'recall': 0.6770242509483015, 'f1-score': 0.6018943152212519, 'support': 1292}, 'weighted avg': {'precision': 0.7134500987526666, 'recall': 0.6385448916408669, 'f1-score': 0.6530189443381936, 'support': 1292}}",0.43
3,clf,rforest,basic,ALL_NO_3_2_1,60_180,included,basic,0.65,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.64,0.68,0.50,0.79,0.49,246.00,793.00,253.00,"{'0': {'precision': 0.49683544303797467, 'recall': 0.6382113821138211, 'f1-score': 0.5587188612099644, 'support': 246}, '1': {'precision': 0.7932692307692307, 'recall': 0.6242118537200504, 'f1-score': 0.6986591390261114, 'support': 793}, '2': {'precision': 0.4914772727272727, 'recall': 0.6837944664031621, 'f1-score': 0.571900826446281, 'support': 253}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.593860648844826, 'recall': 0.6487392340790112, 'f1-score': 0.609759608894119, 'support': 1292}, 'weighted avg': {'precision': 0.6777304713524318, 'recall': 0.6385448916408669, 'f1-score': 0.6471922958175439, 'support': 1292}}",16.34
4,clf,xgb,basic,ALL_NO_3_2_1,60_180,included,basic,0.65,{'n_estimators': 10},0.64,0.68,0.50,0.80,0.50,252.00,786.00,254.00,"{'0': {'precision': 0.49683544303797467, 'recall': 0.623015873015873, 'f1-score': 0.5528169014084506, 'support': 252}, '1': {'precision': 0.7964743589743589, 'recall': 0.6323155216284987, 'f1-score': 0.7049645390070921, 'support': 786}, '2': {'precision': 0.5, 'recall': 0.6929133858267716, 'f1-score': 0.5808580858085808, 'support': 254}, 'micro avg': {'precision': 0.6424148606811145, 'recall': 0.6424148606811145, 'f1-score': 0.6424148606811145, 'support': 1292}, 'macro avg': {'precision': 0.5977699340041113, 'recall': 0.6494149268237145, 'f1-score': 0.6128798420747078, 'support': 1292}, 'weighted avg': {'precision': 0.6797456484515602, 'recall': 0.6424148606811145, 'f1-score': 0.6508900469116745, 'support': 1292}}",0.70
5,clf,gboosting,basic,ALL_NO_3_2_1,60_180,included,basic,0.65,{'n_estimators': 10},0.65,0.70,0.49,0.82,0.48,237.00,816.00,239.00,"{'0': {'precision': 0.4936708860759494, 'recall': 0.6582278481012658, 'f1-score': 0.5641952983725136, 'support': 237}, '1': {'precision': 0.8237179487179487, 'recall': 0.6299019607843137, 'f1-score': 0.7138888888888889, 'support': 816}, '2': {'precision': 0.48295454545454547, 'recall': 0.7112970711297071, 'f1-score': 0.5752961082910322, 'support': 239}, 'micro avg': {'precision': 0.6501547987616099, 'recall': 0.6501547987616099, 'f1-score': 0.6501547987616099, 'support': 1292}, 'macro avg': {'precision': 0.6001144600828144, 'recall': 0.6664756266717622, 'f1-score': 0.6177934318508116, 'support': 1292}, 'weighted avg': {'precision': 0.7001393053540886, 'recall': 0.6501547987616099, 'f1-score': 0.6607920966944085, 'support': 1292}}",2.41
6,clf,ada,basic,ALL_NO_3_2_1,60_180,included,basic,0.65,{'n_estimators': 50},0.64,0.66,0.52,0.76,0.52,263.00,745.00,284.00,"{'0': {'precision': 0.5221518987341772, 'recall': 0.6273764258555133, 'f1-score': 0.5699481865284974, 'support': 263}, '1': {'precision': 0.7580128205128205, 'recall': 0.6348993288590604, 'f1-score': 0.6910153396639882, 'support': 745}, '2': {'precision': 0.5227272727272727, 'recall': 0.647887323943662, 'f1-score': 0.5786163522012578, 'support': 284}, 'micro avg': {'precision': 0.6362229102167183, 'recall': 0.6362229102167183, 'f1-score': 0.6362229102167183, 'support': 1292}, 'macro avg': {'precision': 0.6009639973247568, 'recall': 0.636721026219412, 'f1-score': 0.6131932927979146, 'support': 1292}, 'weighted avg': {'precision': 0.658281769430097, 'recall': 0.6362229102167183, 'f1-score': 0.6416639668202967, 'support': 1292}}",0.70
