,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
32,2007-03-27 10:00:00,4,-1.8,0,-1.3,0,0,0,1,0,0,1,1,2007,13,1,1,11,-4,6,-6,8,1,16,14,8,17,3,15,17,-1,8,1
33,2007-03-28 08:30:00,8,-1.9,0,-0.9,0,0,0,1,0,0,1,1,2007,13,2,1,20,12,6,11,3,10,6,15,3,14,10,8,22,-1,10,1
34,2007-03-30 08:30:00,9,1.0,0,-0.1,0,0,1,0,0,0,1,1,2007,13,4,1,7,-4,29,-34,11,-24,7,-20,8,-16,5,-12,20,16,-7,1
35,2007-04-02 10:00:00,17,-0.4,0,0.0,0,0,0,1,1,0,0,1,2007,14,0,1,12,8,5,9,4,8,10,1,3,3,2,1,15,-7,3,1
36,2007-04-03 10:00:00,24,1.0,0,-0.1,0,0,1,0,1,0,0,1,2007,14,1,1,5,-4,10,5,4,4,8,-1,2,-1,3,0,12,0,2,1
37,2007-04-04 08:15:00,0,-19.0,0,1.0,0,0,0,1,0,1,0,1,2007,14,2,1,7,6,3,8,3,8,2,7,9,-3,6,-5,12,4,8,1
38,2007-04-04 10:00:00,18,-2.4,0,0.0,0,0,0,1,1,0,0,1,2007,14,2,1,13,9,10,7,5,7,8,14,5,14,5,14,20,-5,16,2
39,2007-04-13 10:00:00,28,-2.2,0,-0.4,0,0,0,1,1,0,0,1,2007,15,4,1,16,-4,5,-9,5,-9,8,-3,8,-8,7,-4,20,8,-23,0
40,2007-04-16 09:00:00,30,-22.4,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,17,-2,3,-3,6,0,2,0,3,-2,9,-9,21,2,-4,1
41,2007-04-17 08:30:00,7,-0.1,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,23,16,8,17,16,32,18,47,11,40,4,39,27,3,36,2
42,2007-04-25 08:30:00,8,1.0,0,-0.3,0,0,1,0,0,0,1,1,2007,17,2,1,12,-8,13,-16,11,-13,3,-13,5,-8,3,-7,21,-9,-5,1
43,2007-04-25 10:00:00,21,-32.0,0,-12.0,0,0,0,1,0,0,1,1,2007,17,2,1,16,16,6,14,13,23,9,18,11,17,5,16,24,0,17,2
44,2007-04-27 08:30:00,1,-0.6,0,-1.0,0,0,0,1,0,0,1,1,2007,17,4,1,34,29,14,20,11,19,12,12,9,14,8,15,43,8,20,2
45,2007-04-30 08:30:00,9,-0.1,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,9,1,6,-1,8,7,8,13,3,10,4,9,22,5,14,2
46,2007-05-02 08:15:00,0,-43.0,0,-8.0,0,0,0,1,0,0,1,1,2007,18,2,1,7,7,5,6,3,5,4,4,4,6,3,6,25,17,10,1
47,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,16,-15,7,-12,6,-11,4,-14,12,-24,6,-19,36,-15,-6,1
48,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,9,-24,8,-22,8,-25,6,-27,6,-30,29,6,-26,0
49,2007-05-10 08:30:00,31,-3.9,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,14,11,16,0,7,4,7,-1,21,-26,5,-25,19,4,-26,0
50,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,22,20,9,14,6,20,4,18,5,16,3,16,32,7,4,1
51,2007-05-15 09:00:00,30,-4.4,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,13,-8,8,-11,3,-9,2,-9,3,-10,5,-14,30,22,-9,1
52,2007-05-18 10:00:00,28,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,20,4,1,9,-6,6,-4,14,7,6,2,7,5,9,12,10,4,8,1
53,2007-05-24 08:30:00,8,1.0,0,-1.2,0,0,1,0,0,0,1,1,2007,21,3,1,11,-9,6,-14,5,-10,4,-8,2,-8,9,-4,19,11,3,1
54,2007-05-24 10:00:00,21,1.0,0,-14.0,0,0,1,0,0,0,1,1,2007,21,3,1,22,-20,9,-25,9,-27,5,-26,7,-24,2,-24,33,3,-14,0
55,2007-05-25 10:00:00,14,-0.15,0,1.0,0,0,0,1,0,1,0,1,2007,21,4,1,8,6,23,22,6,18,8,22,3,22,6,21,10,-4,13,2
56,2007-05-29 10:00:00,4,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,22,1,1,13,-14,4,-15,3,-12,1,-11,5,-15,6,-21,17,-2,-17,0
57,2007-05-30 08:15:00,0,-18.0,0,-3.0,0,0,0,1,1,0,0,1,2007,22,2,1,5,4,6,2,2,2,4,4,4,2,3,1,23,-12,5,1
58,2007-05-31 08:30:00,26,-0.1,0,-0.9,0,0,0,1,1,0,0,1,2007,22,3,1,8,5,6,6,5,5,3,5,6,0,4,2,29,19,0,1
59,2007-06-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,23,1,1,10,-3,3,-2,4,-2,6,-6,12,-12,3,-14,24,-19,0,1
60,2007-06-08 08:30:00,31,2.03,0,5.14,2,0,1,0,0,1,0,1,2007,23,4,1,12,-10,7,-10,11,-18,3,-15,3,-16,6,-20,33,21,-4,1
61,2007-06-14 08:30:00,23,0.86,0,0.0,0,0,1,0,1,0,0,1,2007,24,3,1,17,-17,14,-1,17,10,6,3,6,-4,5,-6,32,-11,-2,1
62,2007-06-15 08:30:00,7,-1.41,2,0.04,0,0,0,1,1,0,0,1,2007,24,4,1,17,-2,13,5,11,13,9,21,8,15,7,16,27,9,29,2
63,2007-06-15 09:00:00,30,0.35,0,-2.21,2,0,1,0,0,0,1,1,2007,24,4,1,9,1,4,-2,4,1,18,20,10,15,3,14,31,22,-1,1
64,2007-06-15 10:00:00,28,-1.33,0,-0.28,0,0,0,1,1,0,0,1,2007,24,4,1,11,10,9,4,5,8,3,8,6,9,5,12,29,0,24,2
65,2007-06-25 10:00:00,14,0.1,0,0.69,0,0,1,0,1,0,0,1,2007,26,0,1,7,2,3,3,7,-4,4,0,3,-1,3,0,8,-1,-10,1
66,2007-06-27 08:30:00,8,-0.6,0,1.61,0,0,0,1,0,1,0,1,2007,26,2,1,8,3,5,1,5,-1,7,-8,7,-2,6,-8,22,3,-3,1
67,2007-06-28 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,3,1,12,2,8,7,5,7,7,2,5,-2,3,-2,17,-14,-10,1
68,2007-06-29 08:30:00,9,0.11,0,0.04,0,1,0,0,1,0,0,1,2007,26,4,1,9,-5,6,-2,7,-6,3,-5,4,-2,2,0,22,13,4,1
69,2007-07-02 10:00:00,17,0.43,0,0.0,0,0,1,0,1,0,0,1,2007,27,0,1,6,0,2,-1,13,10,8,14,5,13,8,21,10,-3,23,2
70,2007-07-03 10:00:00,24,-1.28,0,-0.58,0,0,0,1,0,0,1,1,2007,27,1,1,8,-3,7,-11,7,-4,4,-7,2,-7,7,-12,13,-1,-10,1
71,2007-07-05 10:00:00,18,0.79,0,0.0,0,0,1,0,1,0,0,1,2007,27,3,1,8,-10,9,-7,5,-7,12,-18,11,-15,6,-19,27,-19,-10,1
72,2007-07-12 08:30:00,31,-3.39,0,-0.29,0,1,0,0,1,0,0,1,2007,28,3,1,9,7,5,9,17,-6,6,-2,17,-20,6,-17,11,0,-10,1
73,2007-07-13 10:00:00,28,2.41,1,1.14,2,0,1,0,0,1,0,1,2007,28,4,1,9,-11,10,-5,4,-5,3,-2,3,-2,2,-3,23,0,-21,0
74,2007-07-17 08:30:00,23,-1.15,2,0.0,0,0,0,1,1,0,0,1,2007,29,1,1,11,1,3,0,14,13,4,10,3,9,2,8,14,0,1,1
75,2007-07-17 09:00:00,30,1.55,1,-0.33,1,0,1,0,0,0,1,1,2007,29,1,1,4,-6,5,-3,4,-6,3,-7,3,-5,4,-10,21,9,0,1
76,2007-07-18 08:30:00,7,0.08,0,0.04,0,1,0,0,1,0,0,1,2007,29,2,1,11,-12,12,-22,10,-26,9,-26,7,-19,7,-22,19,3,-11,1
77,2007-07-25 10:00:00,14,-0.39,0,-0.35,0,0,0,1,1,0,0,1,2007,30,2,1,17,-3,22,-15,11,-10,10,-14,10,-15,11,-15,27,-10,-20,0
78,2007-07-26 08:30:00,8,-0.62,0,0.9,0,0,0,1,0,1,0,1,2007,30,3,1,15,-3,9,-5,9,-4,9,-5,9,-9,9,-6,41,30,-2,1
79,2007-07-26 10:00:00,21,-0.61,0,-0.86,0,0,0,1,0,0,1,1,2007,30,3,1,21,13,19,3,13,2,8,2,13,8,12,2,39,4,3,1
80,2007-07-27 08:30:00,1,1.0,0,-0.6,0,0,1,0,0,0,1,1,2007,30,4,1,14,4,18,15,10,18,10,18,12,13,12,6,23,11,9,1
81,2007-07-31 08:30:00,9,-1.0,0,0.04,0,0,0,1,1,0,0,1,2007,31,1,1,10,-3,9,-5,10,-10,7,-10,8,-13,10,-10,22,8,-12,0
82,2007-07-31 10:00:00,4,2.78,1,1.05,0,0,1,0,0,1,0,1,2007,31,1,1,10,-3,9,-7,12,-14,12,-13,12,-13,12,-17,20,-1,-9,1
