,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
6,clf,ada,basic,ALL_NO_3_2_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.69,0.61,0.73,0.68,277.00,664.00,351.00,"{'0': {'precision': 0.6114457831325302, 'recall': 0.7328519855595668, 'f1-score': 0.6666666666666667, 'support': 277}, '1': {'precision': 0.7346278317152104, 'recall': 0.6837349397590361, 'f1-score': 0.7082683307332295, 'support': 664}, '2': {'precision': 0.6812865497076024, 'recall': 0.6638176638176638, 'f1-score': 0.6724386724386725, 'support': 351}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.6757867215184477, 'recall': 0.6934681963787556, 'f1-score': 0.6824578899461895, 'support': 1292}, 'weighted avg': {'precision': 0.6937267346238227, 'recall': 0.6888544891640866, 'f1-score': 0.6896151797983786, 'support': 1292}}",0.69
0,clf,kn,all,ALL_NO_3_2_1,60_120,included,basic,0.62,{'n_neighbors': 21},0.65,0.71,0.48,0.84,0.48,240.00,832.00,220.00,"{'0': {'precision': 0.4789156626506024, 'recall': 0.6625, 'f1-score': 0.5559440559440559, 'support': 240}, '1': {'precision': 0.8446601941747572, 'recall': 0.6274038461538461, 'f1-score': 0.7199999999999999, 'support': 832}, '2': {'precision': 0.4766081871345029, 'recall': 0.740909090909091, 'f1-score': 0.5800711743772242, 'support': 220}, 'micro avg': {'precision': 0.653250773993808, 'recall': 0.653250773993808, 'f1-score': 0.653250773993808, 'support': 1292}, 'macro avg': {'precision': 0.6000613479866209, 'recall': 0.6769376456876457, 'f1-score': 0.6186717434404266, 'support': 1292}, 'weighted avg': {'precision': 0.714048639132456, 'recall': 0.653250773993808, 'f1-score': 0.6656983218185469, 'support': 1292}}",6.56
1,clf,svc-rbf,all,ALL_NO_3_2_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.47832817337461303, 'f1-score': 0.6471204188481676, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.15944272445820434, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.47832817337461303, 'f1-score': 0.6471204188481676, 'support': 1292}}",8.14
2,clf,dtree,all,ALL_NO_3_2_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 10}",0.69,0.74,0.61,0.84,0.48,277.00,816.00,199.00,"{'0': {'precision': 0.6114457831325302, 'recall': 0.7328519855595668, 'f1-score': 0.6666666666666667, 'support': 277}, '1': {'precision': 0.8446601941747572, 'recall': 0.6397058823529411, 'f1-score': 0.7280334728033472, 'support': 816}, '2': {'precision': 0.4766081871345029, 'recall': 0.8190954773869347, 'f1-score': 0.6025878003696858, 'support': 199}, 'micro avg': {'precision': 0.6873065015479877, 'recall': 0.6873065015479877, 'f1-score': 0.6873065015479877, 'support': 1292}, 'macro avg': {'precision': 0.6442380548139301, 'recall': 0.7305511150998142, 'f1-score': 0.6657626466132333, 'support': 1292}, 'weighted avg': {'precision': 0.7379707659551694, 'recall': 0.6873065015479877, 'f1-score': 0.6955549169874347, 'support': 1292}}",0.50
3,clf,rforest,all,ALL_NO_3_2_1,60_120,included,basic,0.68,"{'max_depth': 7, 'min_samples_leaf': 50, 'n_estimators': 10}",0.68,0.72,0.54,0.83,0.56,234.00,784.00,274.00,"{'0': {'precision': 0.5391566265060241, 'recall': 0.7649572649572649, 'f1-score': 0.6325088339222615, 'support': 234}, '1': {'precision': 0.8300970873786407, 'recall': 0.6543367346938775, 'f1-score': 0.7318116975748931, 'support': 784}, '2': {'precision': 0.564327485380117, 'recall': 0.7043795620437956, 'f1-score': 0.6266233766233766, 'support': 274}, 'micro avg': {'precision': 0.684984520123839, 'recall': 0.684984520123839, 'f1-score': 0.684984520123839, 'support': 1292}, 'macro avg': {'precision': 0.644527066421594, 'recall': 0.7078911872316459, 'f1-score': 0.6636479693735103, 'support': 1292}, 'weighted avg': {'precision': 0.7210406332054304, 'recall': 0.684984520123839, 'f1-score': 0.691518764110937, 'support': 1292}}",16.69
4,clf,xgb,all,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 50},0.70,0.72,0.58,0.82,0.58,254.00,763.00,275.00,"{'0': {'precision': 0.5753012048192772, 'recall': 0.7519685039370079, 'f1-score': 0.6518771331058021, 'support': 254}, '1': {'precision': 0.8220064724919094, 'recall': 0.6657929226736566, 'f1-score': 0.7356987690079654, 'support': 763}, '2': {'precision': 0.5818713450292398, 'recall': 0.7236363636363636, 'f1-score': 0.6450567260940032, 'support': 275}, 'micro avg': {'precision': 0.695046439628483, 'recall': 0.695046439628483, 'f1-score': 0.695046439628483, 'support': 1292}, 'macro avg': {'precision': 0.659726340780142, 'recall': 0.7137992634156761, 'f1-score': 0.6775442094025902, 'support': 1292}, 'weighted avg': {'precision': 0.7223932387139815, 'recall': 0.695046439628483, 'f1-score': 0.6999268980168748, 'support': 1292}}",0.81
5,clf,gboosting,all,ALL_NO_3_2_1,60_120,included,basic,0.68,{'n_estimators': 10},0.70,0.73,0.57,0.84,0.55,255.00,791.00,246.00,"{'0': {'precision': 0.5692771084337349, 'recall': 0.7411764705882353, 'f1-score': 0.6439522998296422, 'support': 255}, '1': {'precision': 0.843042071197411, 'recall': 0.6586599241466498, 'f1-score': 0.7395315826827538, 'support': 791}, '2': {'precision': 0.5526315789473685, 'recall': 0.7682926829268293, 'f1-score': 0.6428571428571429, 'support': 246}, 'micro avg': {'precision': 0.6958204334365325, 'recall': 0.6958204334365325, 'f1-score': 0.6958204334365325, 'support': 1292}, 'macro avg': {'precision': 0.6549835861928383, 'recall': 0.7227096925539048, 'f1-score': 0.675447008456513, 'support': 1292}, 'weighted avg': {'precision': 0.7337146357498509, 'recall': 0.6958204334365325, 'f1-score': 0.7022601977565589, 'support': 1292}}",2.46
6,clf,ada,all,ALL_NO_3_2_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.69,0.61,0.73,0.68,277.00,664.00,351.00,"{'0': {'precision': 0.6114457831325302, 'recall': 0.7328519855595668, 'f1-score': 0.6666666666666667, 'support': 277}, '1': {'precision': 0.7346278317152104, 'recall': 0.6837349397590361, 'f1-score': 0.7082683307332295, 'support': 664}, '2': {'precision': 0.6812865497076024, 'recall': 0.6638176638176638, 'f1-score': 0.6724386724386725, 'support': 351}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.6757867215184477, 'recall': 0.6934681963787556, 'f1-score': 0.6824578899461895, 'support': 1292}, 'weighted avg': {'precision': 0.6937267346238227, 'recall': 0.6888544891640866, 'f1-score': 0.6896151797983786, 'support': 1292}}",0.69
0,clf,kn,basic,ALL_YES_1_1_1,60_120,included,basic,0.70,{'n_neighbors': 51},0.66,0.71,0.44,0.83,0.48,140.00,624.00,153.00,"{'0': {'precision': 0.44390243902439025, 'recall': 0.65, 'f1-score': 0.527536231884058, 'support': 140}, '1': {'precision': 0.8313008130081301, 'recall': 0.655448717948718, 'f1-score': 0.7329749103942653, 'support': 624}, '2': {'precision': 0.4818181818181818, 'recall': 0.6928104575163399, 'f1-score': 0.5683646112600537, 'support': 153}, 'micro avg': {'precision': 0.6608505997818975, 'recall': 0.6608505997818975, 'f1-score': 0.6608505997818975, 'support': 917}, 'macro avg': {'precision': 0.5856738112835673, 'recall': 0.6660863918216859, 'f1-score': 0.609625251179459, 'support': 917}, 'weighted avg': {'precision': 0.7138453986899342, 'recall': 0.6608505997818975, 'f1-score': 0.6741452585306192, 'support': 917}}",3.78
1,clf,svc-rbf,basic,ALL_YES_1_1_1,60_120,included,basic,0.52,"{'C': 1, 'gamma': 1}",0.54,1.00,0.00,1.00,0.00,0.00,917.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5365321701199564, 'f1-score': 0.6983676366217175, 'support': 917}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5365321701199564, 'recall': 0.5365321701199564, 'f1-score': 0.5365321701199564, 'support': 917}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.17884405670665213, 'f1-score': 0.23278921220723917, 'support': 917}, 'weighted avg': {'precision': 1.0, 'recall': 0.5365321701199564, 'f1-score': 0.6983676366217175, 'support': 917}}",3.27
