,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,0_60,included,basic,0.51,{'n_neighbors': 161},0.53,0.88,0.05,0.96,0.11,32.00,1178.00,82.00,"{'0': {'precision': 0.05144694533762058, 'recall': 0.5, 'f1-score': 0.09329446064139942, 'support': 32}, '1': {'precision': 0.9559270516717325, 'recall': 0.533955857385399, 'f1-score': 0.6851851851851852, 'support': 1178}, '2': {'precision': 0.10835913312693499, 'recall': 0.4268292682926829, 'f1-score': 0.17283950617283952, 'support': 82}, 'micro avg': {'precision': 0.5263157894736842, 'recall': 0.5263157894736842, 'f1-score': 0.5263157894736842, 'support': 1292}, 'macro avg': {'precision': 0.3719110433787627, 'recall': 0.4869283752260272, 'f1-score': 0.31710638399980806, 'support': 1292}, 'weighted avg': {'precision': 0.879732057303803, 'recall': 0.5263157894736842, 'f1-score': 0.63800805758115, 'support': 1292}}",1.86
1,clf,svc-rbf,basic,ALL_NO_1_1_1,0_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5092879256965944, 'f1-score': 0.6748717948717948, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1697626418988648, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.5092879256965944, 'f1-score': 0.6748717948717948, 'support': 1292}}",5.56
2,clf,dtree,basic,ALL_NO_1_1_1,0_60,included,basic,0.51,"{'max_depth': 7, 'min_samples_leaf': 100}",0.51,0.63,0.26,0.80,0.15,244.00,908.00,140.00,"{'0': {'precision': 0.2572347266881029, 'recall': 0.32786885245901637, 'f1-score': 0.28828828828828823, 'support': 244}, '1': {'precision': 0.7993920972644377, 'recall': 0.579295154185022, 'f1-score': 0.6717752234993614, 'support': 908}, '2': {'precision': 0.15170278637770898, 'recall': 0.35, 'f1-score': 0.21166306695464362, 'support': 140}, 'micro avg': {'precision': 0.5069659442724458, 'recall': 0.5069659442724458, 'f1-score': 0.5069659442724458, 'support': 1292}, 'macro avg': {'precision': 0.4027765367767498, 'recall': 0.41905466888134607, 'f1-score': 0.3905755262474311, 'support': 1292}, 'weighted avg': {'precision': 0.6268201917344317, 'recall': 0.5069659442724458, 'f1-score': 0.5494946398246228, 'support': 1292}}",0.26
3,clf,rforest,basic,ALL_NO_1_1_1,0_60,included,basic,0.52,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.53,0.80,0.19,0.91,0.08,114.00,1094.00,84.00,"{'0': {'precision': 0.1864951768488746, 'recall': 0.5087719298245614, 'f1-score': 0.2729411764705882, 'support': 114}, '1': {'precision': 0.9133738601823708, 'recall': 0.5493601462522852, 'f1-score': 0.6860730593607305, 'support': 1094}, '2': {'precision': 0.08359133126934984, 'recall': 0.32142857142857145, 'f1-score': 0.13267813267813267, 'support': 84}, 'micro avg': {'precision': 0.5309597523219814, 'recall': 0.5309597523219814, 'f1-score': 0.5309597523219814, 'support': 1292}, 'macro avg': {'precision': 0.39448678943353177, 'recall': 0.4598535491684727, 'f1-score': 0.36389745616981717, 'support': 1292}, 'weighted avg': {'precision': 0.7952887964604572, 'recall': 0.5309597523219814, 'f1-score': 0.6136410094452395, 'support': 1292}}",12.90
4,clf,xgb,basic,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.53,0.73,0.21,0.88,0.14,138.00,1024.00,130.00,"{'0': {'precision': 0.21221864951768488, 'recall': 0.4782608695652174, 'f1-score': 0.29398663697104677, 'support': 138}, '1': {'precision': 0.8768996960486323, 'recall': 0.5634765625, 'f1-score': 0.6860879904875149, 'support': 1024}, '2': {'precision': 0.1393188854489164, 'recall': 0.34615384615384615, 'f1-score': 0.19867549668874174, 'support': 130}, 'micro avg': {'precision': 0.5325077399380805, 'recall': 0.5325077399380805, 'f1-score': 0.5325077399380805, 'support': 1292}, 'macro avg': {'precision': 0.40947907700507785, 'recall': 0.4626304260730212, 'f1-score': 0.39291670804910117, 'support': 1292}, 'weighted avg': {'precision': 0.7316895646250767, 'recall': 0.5325077399380805, 'f1-score': 0.5951641429804614, 'support': 1292}}",0.41
5,clf,gboosting,basic,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.52,0.72,0.20,0.86,0.14,138.00,1015.00,139.00,"{'0': {'precision': 0.19614147909967847, 'recall': 0.4420289855072464, 'f1-score': 0.2717149220489978, 'support': 138}, '1': {'precision': 0.8647416413373861, 'recall': 0.5605911330049261, 'f1-score': 0.6802151823072325, 'support': 1015}, '2': {'precision': 0.14241486068111456, 'recall': 0.33093525179856115, 'f1-score': 0.19913419913419914, 'support': 139}, 'micro avg': {'precision': 0.5232198142414861, 'recall': 0.5232198142414861, 'f1-score': 0.5232198142414861, 'support': 1292}, 'macro avg': {'precision': 0.40109932703939305, 'recall': 0.44451845677024454, 'f1-score': 0.38368810116347646, 'support': 1292}, 'weighted avg': {'precision': 0.7156160647893789, 'recall': 0.5232198142414861, 'f1-score': 0.5848256369692387, 'support': 1292}}",1.24
6,clf,ada,basic,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.52,0.67,0.18,0.84,0.20,149.00,957.00,186.00,"{'0': {'precision': 0.1832797427652733, 'recall': 0.3825503355704698, 'f1-score': 0.24782608695652175, 'support': 149}, '1': {'precision': 0.8419452887537994, 'recall': 0.5788923719958202, 'f1-score': 0.6860681114551083, 'support': 957}, '2': {'precision': 0.19504643962848298, 'recall': 0.3387096774193548, 'f1-score': 0.24754420432220042, 'support': 186}, 'micro avg': {'precision': 0.521671826625387, 'recall': 0.521671826625387, 'f1-score': 0.521671826625387, 'support': 1292}, 'macro avg': {'precision': 0.40675715704918525, 'recall': 0.4333841283285483, 'f1-score': 0.39381280091127685, 'support': 1292}, 'weighted avg': {'precision': 0.6728552328020971, 'recall': 0.521671826625387, 'f1-score': 0.5723966653428713, 'support': 1292}}",0.40
0,clf,kn,all,ALL_NO_1_1_1,0_60,included,basic,0.51,{'n_neighbors': 161},0.53,0.88,0.05,0.96,0.11,32.00,1178.00,82.00,"{'0': {'precision': 0.05144694533762058, 'recall': 0.5, 'f1-score': 0.09329446064139942, 'support': 32}, '1': {'precision': 0.9559270516717325, 'recall': 0.533955857385399, 'f1-score': 0.6851851851851852, 'support': 1178}, '2': {'precision': 0.10835913312693499, 'recall': 0.4268292682926829, 'f1-score': 0.17283950617283952, 'support': 82}, 'micro avg': {'precision': 0.5263157894736842, 'recall': 0.5263157894736842, 'f1-score': 0.5263157894736842, 'support': 1292}, 'macro avg': {'precision': 0.3719110433787627, 'recall': 0.4869283752260272, 'f1-score': 0.31710638399980806, 'support': 1292}, 'weighted avg': {'precision': 0.879732057303803, 'recall': 0.5263157894736842, 'f1-score': 0.63800805758115, 'support': 1292}}",1.45
1,clf,svc-rbf,all,ALL_NO_1_1_1,0_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5092879256965944, 'f1-score': 0.6748717948717948, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1697626418988648, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.5092879256965944, 'f1-score': 0.6748717948717948, 'support': 1292}}",4.79
2,clf,dtree,all,ALL_NO_1_1_1,0_60,included,basic,0.51,"{'max_depth': 7, 'min_samples_leaf': 100}",0.51,0.63,0.26,0.80,0.15,244.00,908.00,140.00,"{'0': {'precision': 0.2572347266881029, 'recall': 0.32786885245901637, 'f1-score': 0.28828828828828823, 'support': 244}, '1': {'precision': 0.7993920972644377, 'recall': 0.579295154185022, 'f1-score': 0.6717752234993614, 'support': 908}, '2': {'precision': 0.15170278637770898, 'recall': 0.35, 'f1-score': 0.21166306695464362, 'support': 140}, 'micro avg': {'precision': 0.5069659442724458, 'recall': 0.5069659442724458, 'f1-score': 0.5069659442724458, 'support': 1292}, 'macro avg': {'precision': 0.4027765367767498, 'recall': 0.41905466888134607, 'f1-score': 0.3905755262474311, 'support': 1292}, 'weighted avg': {'precision': 0.6268201917344317, 'recall': 0.5069659442724458, 'f1-score': 0.5494946398246228, 'support': 1292}}",0.24
3,clf,rforest,all,ALL_NO_1_1_1,0_60,included,basic,0.52,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.53,0.80,0.19,0.91,0.08,114.00,1094.00,84.00,"{'0': {'precision': 0.1864951768488746, 'recall': 0.5087719298245614, 'f1-score': 0.2729411764705882, 'support': 114}, '1': {'precision': 0.9133738601823708, 'recall': 0.5493601462522852, 'f1-score': 0.6860730593607305, 'support': 1094}, '2': {'precision': 0.08359133126934984, 'recall': 0.32142857142857145, 'f1-score': 0.13267813267813267, 'support': 84}, 'micro avg': {'precision': 0.5309597523219814, 'recall': 0.5309597523219814, 'f1-score': 0.5309597523219814, 'support': 1292}, 'macro avg': {'precision': 0.39448678943353177, 'recall': 0.4598535491684727, 'f1-score': 0.36389745616981717, 'support': 1292}, 'weighted avg': {'precision': 0.7952887964604572, 'recall': 0.5309597523219814, 'f1-score': 0.6136410094452395, 'support': 1292}}",14.13
