,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,30_90,included,basic,0.60,{'n_neighbors': 11},0.62,0.69,0.47,0.82,0.37,250.00,855.00,187.00,"{'0': {'precision': 0.4694533762057878, 'recall': 0.584, 'f1-score': 0.5204991087344029, 'support': 250}, '1': {'precision': 0.8181818181818182, 'recall': 0.6210526315789474, 'f1-score': 0.7061170212765958, 'support': 855}, '2': {'precision': 0.3704819277108434, 'recall': 0.6577540106951871, 'f1-score': 0.47398843930635837, 'support': 187}, 'micro avg': {'precision': 0.6191950464396285, 'recall': 0.6191950464396285, 'f1-score': 0.6191950464396285, 'support': 1292}, 'macro avg': {'precision': 0.5527057073661498, 'recall': 0.6209355474247115, 'f1-score': 0.5668681897724523, 'support': 1292}, 'weighted avg': {'precision': 0.6859047361291248, 'recall': 0.6191950464396285, 'f1-score': 0.6366026846171665, 'support': 1292}}",4.73
1,clf,svc-rbf,basic,ALL_NO_1_1_1,30_90,included,basic,0.52,"{'C': 1, 'gamma': 1}",0.50,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5023219814241486, 'f1-score': 0.6687274600721278, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5023219814241486, 'recall': 0.5023219814241486, 'f1-score': 0.5023219814241486, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1674406604747162, 'f1-score': 0.22290915335737593, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.5023219814241486, 'f1-score': 0.6687274600721278, 'support': 1292}}",6.75
2,clf,dtree,basic,ALL_NO_1_1_1,30_90,included,basic,0.65,"{'max_depth': 5, 'min_samples_leaf': 200}",0.65,0.69,0.57,0.80,0.42,273.00,823.00,196.00,"{'0': {'precision': 0.5691318327974276, 'recall': 0.6483516483516484, 'f1-score': 0.6061643835616438, 'support': 273}, '1': {'precision': 0.7996918335901386, 'recall': 0.6306196840826246, 'f1-score': 0.7051630434782609, 'support': 823}, '2': {'precision': 0.41566265060240964, 'recall': 0.7040816326530612, 'f1-score': 0.5227272727272727, 'support': 196}, 'micro avg': {'precision': 0.6455108359133127, 'recall': 0.6455108359133127, 'f1-score': 0.6455108359133127, 'support': 1292}, 'macro avg': {'precision': 0.594828772329992, 'recall': 0.6610176550291114, 'f1-score': 0.6113515665890591, 'support': 1292}, 'weighted avg': {'precision': 0.69271613693224, 'recall': 0.6455108359133127, 'f1-score': 0.65656858123025, 'support': 1292}}",0.38
3,clf,rforest,basic,ALL_NO_1_1_1,30_90,included,basic,0.65,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.64,0.71,0.47,0.83,0.44,207.00,869.00,216.00,"{'0': {'precision': 0.4662379421221865, 'recall': 0.7004830917874396, 'f1-score': 0.5598455598455598, 'support': 207}, '1': {'precision': 0.8289676425269645, 'recall': 0.619102416570771, 'f1-score': 0.7088274044795784, 'support': 869}, '2': {'precision': 0.4367469879518072, 'recall': 0.6712962962962963, 'f1-score': 0.5291970802919707, 'support': 216}, 'micro avg': {'precision': 0.6408668730650154, 'recall': 0.6408668730650154, 'f1-score': 0.6408668730650154, 'support': 1292}, 'macro avg': {'precision': 0.5773175242003195, 'recall': 0.663627268218169, 'f1-score': 0.5992900148723695, 'support': 1292}, 'weighted avg': {'precision': 0.7052797869758631, 'recall': 0.6408668730650154, 'f1-score': 0.654926946380689, 'support': 1292}}",14.25
4,clf,xgb,basic,ALL_NO_1_1_1,30_90,included,basic,0.65,{'n_estimators': 100},0.65,0.71,0.53,0.82,0.43,239.00,843.00,210.00,"{'0': {'precision': 0.5273311897106109, 'recall': 0.6861924686192469, 'f1-score': 0.5963636363636364, 'support': 239}, '1': {'precision': 0.8243451463790447, 'recall': 0.6346381969157769, 'f1-score': 0.7171581769436997, 'support': 843}, '2': {'precision': 0.43373493975903615, 'recall': 0.6857142857142857, 'f1-score': 0.5313653136531366, 'support': 210}, 'micro avg': {'precision': 0.6524767801857585, 'recall': 0.6524767801857585, 'f1-score': 0.6524767801857585, 'support': 1292}, 'macro avg': {'precision': 0.5951370919495639, 'recall': 0.6688483170831031, 'f1-score': 0.6149623756534909, 'support': 1292}, 'weighted avg': {'precision': 0.7059128870648361, 'recall': 0.6524767801857585, 'f1-score': 0.6646145264099123, 'support': 1292}}",0.68
5,clf,gboosting,basic,ALL_NO_1_1_1,30_90,included,basic,0.65,{'n_estimators': 10},0.65,0.73,0.45,0.86,0.42,196.00,903.00,193.00,"{'0': {'precision': 0.4533762057877814, 'recall': 0.7193877551020408, 'f1-score': 0.5562130177514794, 'support': 196}, '1': {'precision': 0.8613251155624037, 'recall': 0.6190476190476191, 'f1-score': 0.720360824742268, 'support': 903}, '2': {'precision': 0.41566265060240964, 'recall': 0.7150259067357513, 'f1-score': 0.5257142857142858, 'support': 193}, 'micro avg': {'precision': 0.6486068111455109, 'recall': 0.6486068111455109, 'f1-score': 0.6486068111455109, 'support': 1292}, 'macro avg': {'precision': 0.576787990650865, 'recall': 0.6844870936284703, 'f1-score': 0.6007627094026777, 'support': 1292}, 'weighted avg': {'precision': 0.732864711496533, 'recall': 0.6486068111455109, 'f1-score': 0.6663826883625504, 'support': 1292}}",1.87
6,clf,ada,basic,ALL_NO_1_1_1,30_90,included,basic,0.64,{'n_estimators': 10},0.64,0.68,0.59,0.78,0.42,294.00,802.00,196.00,"{'0': {'precision': 0.594855305466238, 'recall': 0.6292517006802721, 'f1-score': 0.6115702479338844, 'support': 294}, '1': {'precision': 0.7781201848998459, 'recall': 0.6296758104738155, 'f1-score': 0.6960716747070985, 'support': 802}, '2': {'precision': 0.41566265060240964, 'recall': 0.7040816326530612, 'f1-score': 0.5227272727272727, 'support': 196}, 'micro avg': {'precision': 0.6408668730650154, 'recall': 0.6408668730650154, 'f1-score': 0.6408668730650154, 'support': 1292}, 'macro avg': {'precision': 0.5962127136561646, 'recall': 0.6543363812690496, 'f1-score': 0.6101230651227519, 'support': 1292}, 'weighted avg': {'precision': 0.681431677720451, 'recall': 0.6408668730650154, 'f1-score': 0.6505461930821985, 'support': 1292}}",0.57
0,clf,kn,all,ALL_NO_1_1_1,30_90,included,basic,0.60,{'n_neighbors': 11},0.60,0.69,0.46,0.82,0.32,246.00,882.00,164.00,"{'0': {'precision': 0.4565916398713826, 'recall': 0.5772357723577236, 'f1-score': 0.5098743267504489, 'support': 246}, '1': {'precision': 0.8228043143297381, 'recall': 0.6054421768707483, 'f1-score': 0.697583278902678, 'support': 882}, '2': {'precision': 0.31626506024096385, 'recall': 0.6402439024390244, 'f1-score': 0.42338709677419356, 'support': 164}, 'micro avg': {'precision': 0.6044891640866873, 'recall': 0.6044891640866873, 'f1-score': 0.6044891640866873, 'support': 1292}, 'macro avg': {'precision': 0.5318870048140282, 'recall': 0.6076406172224987, 'f1-score': 0.5436149008091068, 'support': 1292}, 'weighted avg': {'precision': 0.6887789617079777, 'recall': 0.6044891640866873, 'f1-score': 0.627037941365124, 'support': 1292}}",5.30
1,clf,svc-rbf,all,ALL_NO_1_1_1,30_90,included,basic,0.52,"{'C': 1, 'gamma': 1}",0.50,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5023219814241486, 'f1-score': 0.6687274600721278, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5023219814241486, 'recall': 0.5023219814241486, 'f1-score': 0.5023219814241486, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1674406604747162, 'f1-score': 0.22290915335737593, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.5023219814241486, 'f1-score': 0.6687274600721278, 'support': 1292}}",7.64
2,clf,dtree,all,ALL_NO_1_1_1,30_90,included,basic,0.65,"{'max_depth': 5, 'min_samples_leaf': 200}",0.65,0.69,0.57,0.80,0.42,273.00,823.00,196.00,"{'0': {'precision': 0.5691318327974276, 'recall': 0.6483516483516484, 'f1-score': 0.6061643835616438, 'support': 273}, '1': {'precision': 0.7996918335901386, 'recall': 0.6306196840826246, 'f1-score': 0.7051630434782609, 'support': 823}, '2': {'precision': 0.41566265060240964, 'recall': 0.7040816326530612, 'f1-score': 0.5227272727272727, 'support': 196}, 'micro avg': {'precision': 0.6455108359133127, 'recall': 0.6455108359133127, 'f1-score': 0.6455108359133127, 'support': 1292}, 'macro avg': {'precision': 0.594828772329992, 'recall': 0.6610176550291114, 'f1-score': 0.6113515665890591, 'support': 1292}, 'weighted avg': {'precision': 0.69271613693224, 'recall': 0.6455108359133127, 'f1-score': 0.65656858123025, 'support': 1292}}",0.48
3,clf,rforest,all,ALL_NO_1_1_1,30_90,included,basic,0.65,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 50}",0.64,0.71,0.47,0.84,0.42,204.00,880.00,208.00,"{'0': {'precision': 0.47266881028938906, 'recall': 0.7205882352941176, 'f1-score': 0.570873786407767, 'support': 204}, '1': {'precision': 0.8397534668721109, 'recall': 0.6193181818181818, 'f1-score': 0.7128842380640941, 'support': 880}, '2': {'precision': 0.4246987951807229, 'recall': 0.6778846153846154, 'f1-score': 0.5222222222222223, 'support': 208}, 'micro avg': {'precision': 0.6447368421052632, 'recall': 0.6447368421052632, 'f1-score': 0.6447368421052632, 'support': 1292}, 'macro avg': {'precision': 0.5790403574474076, 'recall': 0.6725970108323049, 'f1-score': 0.6019934155646944, 'support': 1292}, 'weighted avg': {'precision': 0.7149727844768448, 'recall': 0.6447368421052632, 'f1-score': 0.6597667214750847, 'support': 1292}}",16.54
4,clf,xgb,all,ALL_NO_1_1_1,30_90,included,basic,0.65,{'n_estimators': 100},0.66,0.71,0.54,0.83,0.43,236.00,843.00,213.00,"{'0': {'precision': 0.5369774919614148, 'recall': 0.7076271186440678, 'f1-score': 0.6106032906764168, 'support': 236}, '1': {'precision': 0.8320493066255779, 'recall': 0.6405693950177936, 'f1-score': 0.7238605898123325, 'support': 843}, '2': {'precision': 0.43373493975903615, 'recall': 0.676056338028169, 'f1-score': 0.528440366972477, 'support': 213}, 'micro avg': {'precision': 0.6586687306501547, 'recall': 0.6586687306501547, 'f1-score': 0.6586687306501547, 'support': 1292}, 'macro avg': {'precision': 0.6009205794486763, 'recall': 0.6747509505633434, 'f1-score': 0.6209680824870755, 'support': 1292}, 'weighted avg': {'precision': 0.7124843620409681, 'recall': 0.6586687306501547, 'f1-score': 0.6709556129849599, 'support': 1292}}",0.78
5,clf,gboosting,all,ALL_NO_1_1_1,30_90,included,basic,0.65,{'n_estimators': 50},0.65,0.70,0.54,0.81,0.45,248.00,822.00,222.00,"{'0': {'precision': 0.5434083601286174, 'recall': 0.6814516129032258, 'f1-score': 0.6046511627906977, 'support': 248}, '1': {'precision': 0.810477657935285, 'recall': 0.6399026763990268, 'f1-score': 0.7151597552685248, 'support': 822}, '2': {'precision': 0.44879518072289154, 'recall': 0.6711711711711712, 'f1-score': 0.5379061371841155, 'support': 222}, 'micro avg': {'precision': 0.653250773993808, 'recall': 0.653250773993808, 'f1-score': 0.653250773993808, 'support': 1292}, 'macro avg': {'precision': 0.6008937329289313, 'recall': 0.6641751534911412, 'f1-score': 0.619239018414446, 'support': 1292}, 'weighted avg': {'precision': 0.6970669026742904, 'recall': 0.653250773993808, 'f1-score': 0.6634906885895465, 'support': 1292}}",2.23
6,clf,ada,all,ALL_NO_1_1_1,30_90,included,basic,0.64,{'n_estimators': 10},0.64,0.68,0.59,0.78,0.42,294.00,802.00,196.00,"{'0': {'precision': 0.594855305466238, 'recall': 0.6292517006802721, 'f1-score': 0.6115702479338844, 'support': 294}, '1': {'precision': 0.7781201848998459, 'recall': 0.6296758104738155, 'f1-score': 0.6960716747070985, 'support': 802}, '2': {'precision': 0.41566265060240964, 'recall': 0.7040816326530612, 'f1-score': 0.5227272727272727, 'support': 196}, 'micro avg': {'precision': 0.6408668730650154, 'recall': 0.6408668730650154, 'f1-score': 0.6408668730650154, 'support': 1292}, 'macro avg': {'precision': 0.5962127136561646, 'recall': 0.6543363812690496, 'f1-score': 0.6101230651227519, 'support': 1292}, 'weighted avg': {'precision': 0.681431677720451, 'recall': 0.6408668730650154, 'f1-score': 0.6505461930821985, 'support': 1292}}",0.62
0,clf,kn,basic,ALL_NO_3_2_1,30_90,included,basic,0.60,{'n_neighbors': 11},0.62,0.69,0.46,0.82,0.37,249.00,859.00,184.00,"{'0': {'precision': 0.4630225080385852, 'recall': 0.5783132530120482, 'f1-score': 0.5142857142857143, 'support': 249}, '1': {'precision': 0.8212634822804314, 'recall': 0.6204889406286379, 'f1-score': 0.706896551724138, 'support': 859}, '2': {'precision': 0.37349397590361444, 'recall': 0.6739130434782609, 'f1-score': 0.4806201550387596, 'support': 184}, 'micro avg': {'precision': 0.6199690402476781, 'recall': 0.6199690402476781, 'f1-score': 0.6199690402476781, 'support': 1292}, 'macro avg': {'precision': 0.5525933220742104, 'recall': 0.6242384123729824, 'f1-score': 0.5672674736828707, 'support': 1292}, 'weighted avg': {'precision': 0.6884526527451729, 'recall': 0.6199690402476781, 'f1-score': 0.6375506109251619, 'support': 1292}}",4.23
1,clf,svc-rbf,basic,ALL_NO_3_2_1,30_90,included,basic,0.52,"{'C': 1, 'gamma': 1}",0.50,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.5023219814241486, 'f1-score': 0.6687274600721278, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.5023219814241486, 'recall': 0.5023219814241486, 'f1-score': 0.5023219814241486, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.1674406604747162, 'f1-score': 0.22290915335737593, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.5023219814241486, 'f1-score': 0.6687274600721278, 'support': 1292}}",6.60
