,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
27,2007-01-30 10:00:00,6,-0.6000000000000001,0,0.0,0,3,0,0,0,3,0,1,0,0,2007,5,1,1,7,6,5,4,5,10,3,11,7,7,7,4,14,-1,14,7,16,-9,2,1
28,2007-01-31 08:15:00,0,2.0,0,0.0,0,0,2,0,0,2,0,0,0,1,2007,5,2,1,6,1,4,4,6,5,11,1,12,-9,6,-15,33,-23,33,-12,21,7,24,2
29,2007-01-31 08:30:00,2_1_22,2.2,0,0.0,0,0,3,4,4,3,0,1,0,2,2007,5,2,3,11,-4,12,-14,6,-20,9,-28,5,-29,8,-22,29,-14,29,-11,15,5,37,2
30,2007-01-31 09:45:00,10,-6.4,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,5,2,1,10,-5,9,-6,6,-6,8,-6,17,9,6,6,41,24,58,24,42,37,39,2
31,2007-01-31 10:00:00,11,-0.3,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,5,2,1,8,0,17,15,6,12,16,28,7,29,7,34,58,31,60,41,31,18,34,2
32,2007-01-31 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,2,1,10,-6,5,-4,23,19,14,8,8,5,12,-3,30,14,32,10,47,43,8,1
33,2007-01-31 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,5,2,1,33,20,8,16,14,18,6,20,9,20,10,16,34,25,34,23,36,-1,26,2
34,2007-02-01 00:00:00,67,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,5,-2,5,-3,5,-5,4,-2,5,-3,6,-5,8,-2,9,-7,8,1,-4,1
35,2007-02-01 08:30:00,69_15_52_51,-8.3,0,1.0,0,3,1,3,7,0,0,1,2,1,2007,5,3,4,7,6,6,1,6,1,4,-1,8,-6,4,-5,16,1,16,1,26,13,5,1
36,2007-02-01 10:00:00,38_50_39,-2.8999999999999995,0,0.0,0,0,4,3,4,3,0,2,1,0,2007,5,3,3,18,3,11,0,7,7,13,-5,8,0,9,2,31,-12,32,-14,33,16,-18,0
37,2007-02-01 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,3,-1,8,-7,12,-2,9,-7,8,-11,6,-8,14,-6,14,-4,33,9,-7,1
38,2007-02-02 08:30:00,48_70_3,-102.4,0,0.0,0,0,0,8,3,3,2,2,0,1,2007,5,4,3,24,17,18,12,16,9,12,7,5,11,9,8,68,-37,86,-64,45,16,-71,0
39,2007-02-02 10:00:00,24_63,-0.20000000000000018,0,0.0,0,0,2,2,2,2,0,0,0,2,2007,5,4,2,17,-11,4,-13,6,-7,6,-10,3,-11,7,-9,17,-5,17,-7,48,-29,-19,0
40,2007-02-05 10:00:00,40,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,6,0,1,9,-9,13,2,5,2,5,8,7,5,5,8,18,7,20,11,21,-14,10,1
41,2007-02-07 08:30:00,56_57,1.2,0,0.0,0,0,0,4,0,0,4,0,0,2,2007,6,2,2,13,6,8,0,6,1,6,-4,6,0,4,-3,13,-1,14,5,19,6,20,2
42,2007-02-07 10:30:00,18,-2.4,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,2,1,5,0,4,1,9,-4,5,-1,6,-1,8,5,19,7,20,10,22,8,4,1
43,2007-02-07 15:00:00,12,-1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,6,2,1,3,1,6,0,5,0,4,0,5,-3,5,0,10,-2,11,5,15,-11,7,1
44,2007-02-08 08:30:00,69,1.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,0,18,-2,12,9,5,8,12,-2,7,2,30,20,38,22,22,10,28,2
45,2007-02-08 10:00:00,31,-1.1,0,-0.2,0,0,1,0,0,1,0,0,1,0,2007,6,3,1,4,1,5,3,6,0,5,4,7,10,5,9,21,7,25,20,19,1,16,2
46,2007-02-08 10:30:00,46,-5.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,-2,6,-1,12,5,7,8,6,12,7,13,22,8,24,12,15,8,8,1
47,2007-02-12 14:00:00,25,-3.6,0,0.0,0,2,0,0,2,0,0,0,0,1,2007,7,0,1,5,1,5,-1,5,1,6,2,4,3,4,3,11,4,11,1,13,-8,4,1
48,2007-02-13 08:30:00,68,-5.1,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,7,1,1,12,2,17,17,9,15,7,9,3,11,7,6,23,1,28,-9,23,13,-8,1
49,2007-02-13 10:00:00,37,-1.3,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,7,1,1,6,0,6,0,4,-4,5,-1,4,1,4,2,14,-4,14,-10,18,-7,2,1
50,2007-02-14 08:30:00,17_60,-1.2,0,6.0,0,0,0,6,0,6,0,2,0,0,2007,7,2,2,13,10,9,6,6,8,7,9,11,20,10,17,24,12,24,11,20,6,58,2
51,2007-02-14 10:00:00,5,-0.4,0,-0.4,0,0,2,0,0,2,0,0,0,1,2007,7,2,1,36,33,12,33,10,39,10,47,11,40,5,40,50,36,50,33,46,3,24,2
52,2007-02-14 10:30:00,18,-0.4,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,2,1,7,-5,5,-4,4,-7,4,-3,7,-8,10,-15,20,-11,21,-16,60,46,-13,1
53,2007-02-15 08:30:00,69_41_21,2.63,1,1.53,0,0,2,3,5,0,0,0,1,2,2007,7,3,3,13,2,11,0,5,2,4,0,4,-1,6,-5,38,30,45,31,13,1,17,2
54,2007-02-15 09:00:00,66,-133.2,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,7,3,1,18,17,19,32,11,26,10,34,10,34,8,27,35,11,35,12,28,6,0,1
55,2007-02-15 09:15:00,9_42,-2.2,0,2.0,0,0,0,4,2,2,0,0,0,2,2007,7,3,2,10,8,10,8,8,1,5,-1,7,-3,6,-7,26,-9,26,-9,42,27,-30,0
56,2007-02-15 10:30:00,46,-0.52,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,3,1,17,14,4,13,11,17,28,-6,9,-5,5,-2,33,-11,33,-7,17,-12,3,1
57,2007-02-15 12:00:00,53,-5.8,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,7,3,1,10,9,8,8,10,0,5,2,9,8,7,4,16,2,21,-4,18,-1,-10,1
58,2007-02-15 13:00:00,44,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,7,3,1,8,-8,7,-10,4,-7,4,-7,6,-5,6,-4,15,-1,15,-6,26,-12,9,1
59,2007-02-16 08:30:00,49_16_4_36,-0.44,0,2.0,0,7,0,2,9,0,0,1,0,3,2007,7,4,4,13,13,7,16,20,-3,10,-16,10,-13,11,-9,39,-18,39,-16,25,0,-7,1
60,2007-02-16 10:00:00,58,-9.600000000000001,0,-3.3000000000000003,0,0,0,3,0,0,3,1,0,0,2007,7,4,1,15,-7,7,-2,4,-3,4,-4,3,-4,4,-4,15,-5,17,-7,26,12,15,1
