,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
57,2007-05-01 10:00:00,17_24,-4.0,0,1.0,0,0,1,1,1,1,0,2,2007,18,1,2,15,-2,21,-19,4,-21,9,-28,11,-32,10,-34,53,-46,64,-50,28,-1,-56,0
58,2007-05-02 08:15:00,0,-43.0,0,-8.0,0,0,0,1,0,0,1,1,2007,18,2,1,7,7,5,6,3,5,4,4,4,6,3,6,12,-2,17,10,25,17,-3,1
59,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,16,-15,7,-12,6,-11,4,-14,12,-24,6,-19,21,-15,21,-6,36,-15,-13,1
60,2007-05-04 08:30:00,22_33,-19.0,0,-3.0,0,1,0,1,2,0,0,2,2007,18,4,2,30,4,17,10,11,15,10,16,6,18,18,31,43,32,43,34,30,-5,31,2
61,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,9,-24,8,-22,8,-25,6,-27,6,-30,34,-26,34,-26,29,6,-31,0
62,2007-05-10 08:30:00,31,-3.9,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,14,11,16,0,7,4,7,-1,21,-26,5,-25,42,-16,48,-26,19,4,-23,0
63,2007-05-11 08:30:00,10_29_23,-0.10000000000000009,0,2.0,0,0,1,2,1,2,0,3,2007,19,4,3,11,2,17,-13,5,-11,5,-8,9,-3,5,1,23,3,28,4,18,11,17,2
64,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,22,20,9,14,6,20,4,18,5,16,3,16,22,3,22,4,32,7,11,1
65,2007-05-15 09:00:00,30,-4.4,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,13,-8,8,-11,3,-9,2,-9,3,-10,5,-14,19,-12,19,-9,30,22,38,2
66,2007-05-18 10:00:00,28,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,20,4,1,9,-6,6,-4,14,7,6,2,7,5,9,12,25,5,25,8,10,4,28,2
67,2007-05-24 08:30:00,8,1.0,0,-1.2,0,0,1,0,0,0,1,1,2007,21,3,1,11,-9,6,-14,5,-10,4,-8,2,-8,9,-4,18,-6,26,3,19,11,-26,0
68,2007-05-24 10:00:00,21,1.0,0,-14.0,0,0,1,0,0,0,1,1,2007,21,3,1,22,-20,9,-25,9,-27,5,-26,7,-24,2,-24,30,-21,30,-14,33,3,-21,0
69,2007-05-25 10:00:00,14,-0.15,0,1.0,0,0,0,1,0,1,0,1,2007,21,4,1,8,6,23,22,6,18,8,22,3,22,6,21,24,13,24,13,10,-4,0,1
70,2007-05-29 10:00:00,4,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,22,1,1,13,-14,4,-15,3,-12,1,-11,5,-15,6,-21,19,-15,22,-17,17,-2,-23,0
71,2007-05-30 08:15:00,0,-18.0,0,-3.0,0,0,0,1,1,0,0,1,2007,22,2,1,5,4,6,2,2,2,4,4,4,2,3,1,10,-3,13,5,23,-12,17,2
72,2007-05-31 08:30:00,26,-0.1,0,-0.9,0,0,0,1,1,0,0,1,2007,22,3,1,8,5,6,6,5,5,3,5,6,0,4,2,10,-1,10,0,29,19,-21,0
73,2007-06-01 08:30:00,9_22_33,0.9,0,-8.0,0,1,1,1,2,0,1,3,2007,22,4,3,35,22,17,9,9,-2,15,-16,8,-15,7,-12,43,-5,43,-7,35,-2,-35,0
74,2007-06-01 10:00:00,17_24,-2.5,0,1.0,0,0,1,1,1,1,0,2,2007,22,4,2,19,-8,20,-25,8,-31,11,-22,6,-27,5,-29,35,-17,35,-3,23,-4,15,1
75,2007-06-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,23,1,1,10,-3,3,-2,4,-2,6,-6,12,-12,3,-14,18,-5,18,0,24,-19,2,1
76,2007-06-08 08:30:00,31,2.03,0,5.14,2,0,1,0,0,1,0,1,2007,23,4,1,12,-10,7,-10,11,-18,3,-15,3,-16,6,-20,29,-7,29,-4,33,21,-7,1
77,2007-06-13 08:30:00,10_29,3.55,0,0.94,0,0,2,0,0,2,0,2,2007,24,2,2,14,-14,13,-2,18,10,14,-3,9,1,12,-9,34,6,34,4,23,2,19,2
78,2007-06-14 08:30:00,23,0.86,0,0.0,0,0,1,0,1,0,0,1,2007,24,3,1,17,-17,14,-1,17,10,6,3,6,-4,5,-6,33,-1,33,-2,32,-11,19,2
79,2007-06-15 08:30:00,7,-1.41,2,0.04,0,0,0,1,1,0,0,1,2007,24,4,1,17,-2,13,5,11,13,9,21,8,15,7,16,26,13,41,29,27,9,20,2
80,2007-06-15 09:00:00,30,0.35,0,-2.21,2,0,1,0,0,0,1,1,2007,24,4,1,9,1,4,-2,4,1,18,20,10,15,3,14,26,6,29,-1,31,22,25,2
81,2007-06-15 10:00:00,28,-1.33,0,-0.28,0,0,0,1,1,0,0,1,2007,24,4,1,11,10,9,4,5,8,3,8,6,9,5,12,18,16,28,24,29,0,28,2
