,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_120,included,basic,0.62,{'n_neighbors': 11},0.65,0.66,0.65,0.63,0.73,332.00,618.00,342.00,"{'0': {'precision': 0.6475095785440613, 'recall': 0.5090361445783133, 'f1-score': 0.5699831365935919, 'support': 332}, '1': {'precision': 0.6292134831460674, 'recall': 0.8155339805825242, 'f1-score': 0.7103594080338267, 'support': 618}, '2': {'precision': 0.7260869565217392, 'recall': 0.48830409356725146, 'f1-score': 0.5839160839160839, 'support': 342}, 'micro avg': {'precision': 0.6501547987616099, 'recall': 0.6501547987616099, 'f1-score': 0.6501547987616099, 'support': 1292}, 'macro avg': {'precision': 0.6676033394039559, 'recall': 0.6042914062426963, 'f1-score': 0.6214195428478342, 'support': 1292}, 'weighted avg': {'precision': 0.6595579348230131, 'recall': 0.6501547987616099, 'f1-score': 0.6408171952115155, 'support': 1292}}",5.87
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,332.00,618.00,342.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 332}, '1': {'precision': 0.47832817337461303, 'recall': 1.0, 'f1-score': 0.6471204188481676, 'support': 618}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 342}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.15944272445820434, 'recall': 0.3333333333333333, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 0.22879784144389384, 'recall': 0.47832817337461303, 'f1-score': 0.3095359279010585, 'support': 1292}}",8.93
2,clf,dtree,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 200}",0.68,0.69,0.73,0.65,0.71,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.6476063829787234, 'recall': 0.7880258899676376, 'f1-score': 0.710948905109489, 'support': 618}, '2': {'precision': 0.7110266159695817, 'recall': 0.5467836257309941, 'f1-score': 0.6181818181818182, 'support': 342}, 'micro avg': {'precision': 0.6787925696594427, 'recall': 0.6787925696594427, 'f1-score': 0.6787925696594427, 'support': 1292}, 'macro avg': {'precision': 0.697161661502624, 'recall': 0.648751766277054, 'f1-score': 0.665265796652658, 'support': 1292}, 'weighted avg': {'precision': 0.6862993084738578, 'recall': 0.6787925696594427, 'f1-score': 0.6750138842950305, 'support': 1292}}",0.47
3,clf,rforest,basic,ALL_NO_1_1_1,60_120,included,basic,0.67,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 200}",0.68,0.70,0.76,0.65,0.73,332.00,618.00,342.00,"{'0': {'precision': 0.7606837606837606, 'recall': 0.536144578313253, 'f1-score': 0.6289752650176679, 'support': 332}, '1': {'precision': 0.6476426799007444, 'recall': 0.8446601941747572, 'f1-score': 0.7331460674157302, 'support': 618}, '2': {'precision': 0.7261904761904762, 'recall': 0.5350877192982456, 'f1-score': 0.6161616161616161, 'support': 342}, 'micro avg': {'precision': 0.68343653250774, 'recall': 0.68343653250774, 'f1-score': 0.68343653250774, 'support': 1292}, 'macro avg': {'precision': 0.7115056389249937, 'recall': 0.6386308305954187, 'f1-score': 0.6594276495316714, 'support': 1292}, 'weighted avg': {'precision': 0.6974824516894825, 'recall': 0.68343653250774, 'f1-score': 0.6754112464210988, 'support': 1292}}",18.49
4,clf,xgb,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.70,0.75,0.66,0.74,332.00,618.00,342.00,"{'0': {'precision': 0.7490196078431373, 'recall': 0.5753012048192772, 'f1-score': 0.6507666098807496, 'support': 332}, '1': {'precision': 0.6601815823605707, 'recall': 0.8236245954692557, 'f1-score': 0.7329013678905688, 'support': 618}, '2': {'precision': 0.7368421052631579, 'recall': 0.5730994152046783, 'f1-score': 0.6447368421052632, 'support': 342}, 'micro avg': {'precision': 0.6934984520123839, 'recall': 0.6934984520123839, 'f1-score': 0.6934984520123839, 'support': 1292}, 'macro avg': {'precision': 0.7153477651556219, 'recall': 0.657341738497737, 'f1-score': 0.6761349399588606, 'support': 1292}, 'weighted avg': {'precision': 0.7033024208225652, 'recall': 0.6934984520123839, 'f1-score': 0.6884578636507588, 'support': 1292}}",0.81
5,clf,gboosting,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.70,0.73,0.67,0.72,332.00,618.00,342.00,"{'0': {'precision': 0.7330827067669173, 'recall': 0.5873493975903614, 'f1-score': 0.6521739130434784, 'support': 332}, '1': {'precision': 0.6671105193075899, 'recall': 0.8106796116504854, 'f1-score': 0.7319211102994887, 'support': 618}, '2': {'precision': 0.7236363636363636, 'recall': 0.5818713450292398, 'f1-score': 0.6450567260940032, 'support': 342}, 'micro avg': {'precision': 0.6927244582043344, 'recall': 0.6927244582043344, 'f1-score': 0.6927244582043344, 'support': 1292}, 'macro avg': {'precision': 0.7079431965702904, 'recall': 0.6599667847566956, 'f1-score': 0.67638391647899, 'support': 1292}, 'weighted avg': {'precision': 0.6990258482525878, 'recall': 0.6927244582043344, 'f1-score': 0.688435282987359, 'support': 1292}}",2.35
6,clf,ada,basic,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.69,0.73,0.68,0.66,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.6837349397590361, 'recall': 0.7346278317152104, 'f1-score': 0.7082683307332295, 'support': 618}, '2': {'precision': 0.6638176638176638, 'recall': 0.6812865497076024, 'f1-score': 0.6724386724386725, 'support': 342}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.6934681963787556, 'recall': 0.6757867215184477, 'f1-score': 0.6824578899461895, 'support': 1292}, 'weighted avg': {'precision': 0.6910841277109144, 'recall': 0.6888544891640866, 'f1-score': 0.6880937985297951, 'support': 1292}}",0.71
0,reg,kn,basic,ALL_NO_1_1_1,60_120,included,basic,25.73,{'n_neighbors': 11},,,,,,,,,26.00,5.84
1,reg,svr-rbf,basic,ALL_NO_1_1_1,60_120,included,basic,34.20,"{'C': 1, 'gamma': 1}",,,,,,,,,34.77,6.19
2,reg,dtree,basic,ALL_NO_1_1_1,60_120,included,basic,22.28,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,22.15,0.49
3,reg,rforest,basic,ALL_NO_1_1_1,60_120,included,basic,22.10,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,21.66,51.35
