,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
3,reg,rforest,basic,ALL_NO_1_1_1,30_60,included,basic,15.42,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 100}",,,,,,,,,15.09,46.70
4,reg,xgb,basic,ALL_NO_1_1_1,30_60,included,basic,15.39,{'n_estimators': 50},,,,,,,,,15.01,0.30
5,reg,gboosting,basic,ALL_NO_1_1_1,30_60,included,basic,15.39,{'n_estimators': 50},,,,,,,,,14.96,0.59
6,reg,ada,basic,ALL_NO_1_1_1,30_60,included,basic,16.85,{'n_estimators': 10},,,,,,,,,16.08,1.20
0,clf,kn,all,ALL_NO_1_1_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.68,0.69,0.72,0.66,0.70,311.00,658.00,323.00,"{'0': {'precision': 0.725, 'recall': 0.5594855305466238, 'f1-score': 0.6315789473684211, 'support': 311}, '1': {'precision': 0.6602641056422569, 'recall': 0.8358662613981763, 'f1-score': 0.7377598926894702, 'support': 658}, '2': {'precision': 0.7031963470319634, 'recall': 0.47678018575851394, 'f1-score': 0.5682656826568265, 'support': 323}, 'micro avg': {'precision': 0.6795665634674922, 'recall': 0.6795665634674922, 'f1-score': 0.6795665634674922, 'support': 1292}, 'macro avg': {'precision': 0.6961534842247401, 'recall': 0.6240439925677713, 'f1-score': 0.6458681742382392, 'support': 1292}, 'weighted avg': {'precision': 0.686579877402422, 'recall': 0.6795665634674922, 'f1-score': 0.6698273045815831, 'support': 1292}}",6.32
1,clf,svc-rbf,all,ALL_NO_1_1_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,0.26,0.00,0.51,0.00,311.00,658.00,323.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, '1': {'precision': 0.5092879256965944, 'recall': 1.0, 'f1-score': 0.6748717948717948, 'support': 658}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 323}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.1697626418988648, 'recall': 0.3333333333333333, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 0.2593741912603399, 'recall': 0.5092879256965944, 'f1-score': 0.34370405652139396, 'support': 1292}}",9.77
2,clf,dtree,all,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,0.70,0.73,0.71,0.65,311.00,658.00,323.00,"{'0': {'precision': 0.7312925170068028, 'recall': 0.6913183279742765, 'f1-score': 0.7107438016528925, 'support': 311}, '1': {'precision': 0.7099697885196374, 'recall': 0.7142857142857143, 'f1-score': 0.7121212121212123, 'support': 658}, '2': {'precision': 0.6458333333333334, 'recall': 0.6718266253869969, 'f1-score': 0.6585735963581184, 'support': 323}, 'micro avg': {'precision': 0.6981424148606811, 'recall': 0.6981424148606811, 'f1-score': 0.6981424148606811, 'support': 1292}, 'macro avg': {'precision': 0.6956985462865912, 'recall': 0.6924768892156626, 'f1-score': 0.6938128700440744, 'support': 1292}, 'weighted avg': {'precision': 0.6990683129270154, 'recall': 0.6981424148606811, 'f1-score': 0.6984027488494423, 'support': 1292}}",0.76
3,clf,rforest,all,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 50}",0.70,0.71,0.74,0.69,0.70,311.00,658.00,323.00,"{'0': {'precision': 0.7394636015325671, 'recall': 0.6205787781350482, 'f1-score': 0.6748251748251748, 'support': 311}, '1': {'precision': 0.6916890080428955, 'recall': 0.78419452887538, 'f1-score': 0.735042735042735, 'support': 658}, '2': {'precision': 0.7017543859649122, 'recall': 0.6191950464396285, 'f1-score': 0.6578947368421053, 'support': 323}, 'micro avg': {'precision': 0.7035603715170279, 'recall': 0.7035603715170279, 'f1-score': 0.7035603715170279, 'support': 1292}, 'macro avg': {'precision': 0.7109689985134583, 'recall': 0.6746561178166856, 'f1-score': 0.689254215570005, 'support': 1292}, 'weighted avg': {'precision': 0.7057052740213005, 'recall': 0.7035603715170279, 'f1-score': 0.7012606416631184, 'support': 1292}}",20.63
4,clf,xgb,all,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 50},0.70,0.70,0.73,0.69,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7266187050359713, 'recall': 0.6495176848874598, 'f1-score': 0.6859083191850593, 'support': 311}, '1': {'precision': 0.6929460580912863, 'recall': 0.7613981762917933, 'f1-score': 0.7255611875452571, 'support': 658}, '2': {'precision': 0.6872852233676976, 'recall': 0.6191950464396285, 'f1-score': 0.6514657980456026, 'support': 323}, 'micro avg': {'precision': 0.6989164086687306, 'recall': 0.6989164086687306, 'f1-score': 0.6989164086687306, 'support': 1292}, 'macro avg': {'precision': 0.7022833288316518, 'recall': 0.6767036358729605, 'f1-score': 0.687645101591973, 'support': 1292}, 'weighted avg': {'precision': 0.6996362621037305, 'recall': 0.6989164086687306, 'f1-score': 0.6974924159752803, 'support': 1292}}",1.06
5,clf,gboosting,all,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,0.70,0.74,0.69,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7352941176470589, 'recall': 0.6430868167202572, 'f1-score': 0.6861063464837049, 'support': 311}, '1': {'precision': 0.6908344733242134, 'recall': 0.7674772036474165, 'f1-score': 0.7271418286537076, 'support': 658}, '2': {'precision': 0.6885813148788927, 'recall': 0.6160990712074303, 'f1-score': 0.6503267973856208, 'support': 323}, 'micro avg': {'precision': 0.6996904024767802, 'recall': 0.6996904024767802, 'f1-score': 0.6996904024767802, 'support': 1292}, 'macro avg': {'precision': 0.704903301950055, 'recall': 0.675554363858368, 'f1-score': 0.6878583241743444, 'support': 1292}, 'weighted avg': {'precision': 0.7009731569206269, 'recall': 0.6996904024767802, 'f1-score': 0.6980603348035042, 'support': 1292}}",2.89
6,clf,ada,all,ALL_NO_1_1_1,30_60,included,basic,0.69,{'n_estimators': 10},0.67,0.67,0.70,0.66,0.64,311.00,658.00,323.00,"{'0': {'precision': 0.7048611111111112, 'recall': 0.6527331189710611, 'f1-score': 0.6777963272120201, 'support': 311}, '1': {'precision': 0.6621067031463749, 'recall': 0.7355623100303952, 'f1-score': 0.6969042476601873, 'support': 658}, '2': {'precision': 0.6410256410256411, 'recall': 0.541795665634675, 'f1-score': 0.5872483221476511, 'support': 323}, 'micro avg': {'precision': 0.6671826625386997, 'recall': 0.6671826625386997, 'f1-score': 0.6671826625386997, 'support': 1292}, 'macro avg': {'precision': 0.6693311517610424, 'recall': 0.6433636982120438, 'f1-score': 0.6539829656732862, 'support': 1292}, 'weighted avg': {'precision': 0.6671279398429972, 'recall': 0.6671826625386997, 'f1-score': 0.6648907591153504, 'support': 1292}}",0.91
0,reg,kn,all,ALL_NO_1_1_1,30_60,included,basic,18.89,{'n_neighbors': 11},,,,,,,,,19.02,5.97
1,reg,svr-rbf,all,ALL_NO_1_1_1,30_60,included,basic,26.11,"{'C': 1, 'gamma': 1}",,,,,,,,,26.46,6.34
