,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
3,clf,rforest,max,all,ALL_NO_1_1_1,60_120,included,basic,0.75,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 200}",0.75,0.74,0.76,0.67,944.00,348.00,"{'0': {'precision': 0.7605985037406484, 'recall': 0.9692796610169492, 'f1-score': 0.8523521192361435, 'support': 944}, '1': {'precision': 0.6741573033707865, 'recall': 0.1724137931034483, 'f1-score': 0.2745995423340961, 'support': 348}, 'micro avg': {'precision': 0.7546439628482973, 'recall': 0.7546439628482973, 'f1-score': 0.7546439628482972, 'support': 1292}, 'macro avg': {'precision': 0.7173779035557175, 'recall': 0.5708467270601987, 'f1-score': 0.5634758307851198, 'support': 1292}, 'weighted avg': {'precision': 0.7373155798020169, 'recall': 0.7546439628482973, 'f1-score': 0.6967345520829605, 'support': 1292}}",23.82
4,clf,xgb,max,all,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 50},0.75,0.72,0.77,0.60,944.00,348.00,"{'0': {'precision': 0.7665236051502146, 'recall': 0.9459745762711864, 'f1-score': 0.8468468468468467, 'support': 944}, '1': {'precision': 0.5984251968503937, 'recall': 0.21839080459770116, 'f1-score': 0.32, 'support': 348}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 1292}, 'macro avg': {'precision': 0.6824744010003041, 'recall': 0.5821826904344438, 'f1-score': 0.5834234234234233, 'support': 1292}, 'weighted avg': {'precision': 0.7212463248960833, 'recall': 0.75, 'f1-score': 0.704940730203888, 'support': 1292}}",0.36
5,clf,gboosting,max,all,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 50},0.75,0.73,0.77,0.62,944.00,348.00,"{'0': {'precision': 0.7662116040955631, 'recall': 0.951271186440678, 'f1-score': 0.8487712665406427, 'support': 944}, '1': {'precision': 0.6166666666666667, 'recall': 0.21264367816091953, 'f1-score': 0.3162393162393162, 'support': 348}, 'micro avg': {'precision': 0.7523219814241486, 'recall': 0.7523219814241486, 'f1-score': 0.7523219814241486, 'support': 1292}, 'macro avg': {'precision': 0.6914391353811149, 'recall': 0.5819574323007988, 'f1-score': 0.5825052913899795, 'support': 1292}, 'weighted avg': {'precision': 0.725931698348461, 'recall': 0.7523219814241486, 'f1-score': 0.7053338681622668, 'support': 1292}}",0.85
6,clf,ada,max,all,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 10},0.76,0.74,0.76,0.66,944.00,348.00,"{'0': {'precision': 0.7645079899074853, 'recall': 0.9629237288135594, 'f1-score': 0.8523206751054853, 'support': 944}, '1': {'precision': 0.6601941747572816, 'recall': 0.19540229885057472, 'f1-score': 0.30155210643015523, 'support': 348}, 'micro avg': {'precision': 0.7561919504643962, 'recall': 0.7561919504643962, 'f1-score': 0.7561919504643962, 'support': 1292}, 'macro avg': {'precision': 0.7123510823323834, 'recall': 0.579163013832067, 'f1-score': 0.5769363907678202, 'support': 1292}, 'weighted avg': {'precision': 0.7364110799444272, 'recall': 0.7561919504643962, 'f1-score': 0.7039712463910774, 'support': 1292}}",0.81
0,reg,kn,max,all,ALL_NO_1_1_1,60_120,included,basic,14.13,{'n_neighbors': 41},,,,,,,13.99,5.90
1,reg,svr-rbf,max,all,ALL_NO_1_1_1,60_120,included,basic,15.44,"{'C': 5, 'gamma': 1}",,,,,,,15.40,7.47
2,reg,dtree,max,all,ALL_NO_1_1_1,60_120,included,basic,13.87,"{'max_depth': 4, 'min_samples_leaf': 150}",,,,,,,13.89,0.60
3,reg,rforest,max,all,ALL_NO_1_1_1,60_120,included,basic,13.58,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",,,,,,,13.68,57.82
4,reg,xgb,max,all,ALL_NO_1_1_1,60_120,included,basic,13.76,{'n_estimators': 50},,,,,,,13.66,0.36
5,reg,gboosting,max,all,ALL_NO_1_1_1,60_120,included,basic,13.73,{'n_estimators': 50},,,,,,,13.99,0.76
6,reg,ada,max,all,ALL_NO_1_1_1,60_120,included,basic,15.39,{'n_estimators': 10},,,,,,,16.03,0.94
0,clf,kn,min,all,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_neighbors': 51},0.76,0.70,0.76,0.50,983.00,309.00,"{'0': {'precision': 0.7645211930926217, 'recall': 0.9908443540183113, 'f1-score': 0.8630926007975189, 'support': 983}, '1': {'precision': 0.5, 'recall': 0.02912621359223301, 'f1-score': 0.05504587155963303, 'support': 309}, 'micro avg': {'precision': 0.7608359133126935, 'recall': 0.7608359133126935, 'f1-score': 0.7608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.6322605965463108, 'recall': 0.5099852838052722, 'f1-score': 0.459069236178576, 'support': 1292}, 'weighted avg': {'precision': 0.7012572235371881, 'recall': 0.7608359133126935, 'f1-score': 0.6698368427986747, 'support': 1292}}",6.92
1,clf,svc-rbf,min,all,ALL_NO_1_1_1,60_120,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,0.00,983.00,309.00,"{'0': {'precision': 0.7608359133126935, 'recall': 1.0, 'f1-score': 0.8641758241758242, 'support': 983}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 309}, 'micro avg': {'precision': 0.7608359133126935, 'recall': 0.7608359133126935, 'f1-score': 0.7608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.38041795665634676, 'recall': 0.5, 'f1-score': 0.4320879120879121, 'support': 1292}, 'weighted avg': {'precision': 0.5788712869863605, 'recall': 0.7608359133126935, 'f1-score': 0.6574960024495629, 'support': 1292}}",8.05
2,clf,dtree,min,all,ALL_NO_1_1_1,60_120,included,basic,0.75,"{'max_depth': 5, 'min_samples_leaf': 200}",0.76,0.70,0.77,0.47,983.00,309.00,"{'0': {'precision': 0.7741407528641571, 'recall': 0.9623601220752798, 'f1-score': 0.8580498866213152, 'support': 983}, '1': {'precision': 0.4714285714285714, 'recall': 0.10679611650485436, 'f1-score': 0.1741424802110818, 'support': 309}, 'micro avg': {'precision': 0.7577399380804953, 'recall': 0.7577399380804953, 'f1-score': 0.7577399380804952, 'support': 1292}, 'macro avg': {'precision': 0.6227846621463642, 'recall': 0.534578119290067, 'f1-score': 0.5160961834161986, 'support': 1292}, 'weighted avg': {'precision': 0.701742870461993, 'recall': 0.7577399380804953, 'f1-score': 0.6944837963885272, 'support': 1292}}",0.67
3,clf,rforest,min,all,ALL_NO_1_1_1,60_120,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.77,0.74,0.78,0.59,983.00,309.00,"{'0': {'precision': 0.7817883511074651, 'recall': 0.9694811800610377, 'f1-score': 0.865576748410536, 'support': 983}, '1': {'precision': 0.589041095890411, 'recall': 0.13915857605177995, 'f1-score': 0.22513089005235604, 'support': 309}, 'micro avg': {'precision': 0.7708978328173375, 'recall': 0.7708978328173375, 'f1-score': 0.7708978328173375, 'support': 1292}, 'macro avg': {'precision': 0.6854147234989381, 'recall': 0.5543198780564088, 'f1-score': 0.545353819231446, 'support': 1292}, 'weighted avg': {'precision': 0.7356901298519932, 'recall': 0.7708978328173375, 'f1-score': 0.7124050996236339, 'support': 1292}}",22.52
