,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
6,clf,ada,basic,ALL_YES_1_1_1,60_120,included,basic,0.70,{'n_estimators': 10},0.68,0.69,0.61,0.71,0.71,205.00,492.00,220.00,"{'0': {'precision': 0.6121495327102804, 'recall': 0.6390243902439025, 'f1-score': 0.6252983293556086, 'support': 205}, '1': {'precision': 0.707089552238806, 'recall': 0.7703252032520326, 'f1-score': 0.7373540856031129, 'support': 492}, '2': {'precision': 0.7065868263473054, 'recall': 0.5363636363636364, 'f1-score': 0.6098191214470284, 'support': 220}, 'micro avg': {'precision': 0.6848418756815703, 'recall': 0.6848418756815703, 'f1-score': 0.6848418756815703, 'support': 917}, 'macro avg': {'precision': 0.675275303765464, 'recall': 0.6485710766198571, 'f1-score': 0.6574905121352499, 'support': 917}, 'weighted avg': {'precision': 0.6857446190877942, 'recall': 0.6848418756815703, 'f1-score': 0.6817061879530835, 'support': 917}}",0.51
0,reg,kn,basic,ALL_YES_1_1_1,60_120,included,basic,22.87,{'n_neighbors': 11},,,,,,,,,22.26,3.93
1,reg,svr-rbf,basic,ALL_YES_1_1_1,60_120,included,basic,33.13,"{'C': 1, 'gamma': 1}",,,,,,,,,31.55,2.65
2,reg,dtree,basic,ALL_YES_1_1_1,60_120,included,basic,21.71,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,21.56,0.32
3,reg,rforest,basic,ALL_YES_1_1_1,60_120,included,basic,21.29,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 100}",,,,,,,,,20.90,28.07
4,reg,xgb,basic,ALL_YES_1_1_1,60_120,included,basic,21.07,{'n_estimators': 50},,,,,,,,,20.75,0.15
5,reg,gboosting,basic,ALL_YES_1_1_1,60_120,included,basic,20.96,{'n_estimators': 50},,,,,,,,,20.70,0.31
6,reg,ada,basic,ALL_YES_1_1_1,60_120,included,basic,21.96,{'n_estimators': 10},,,,,,,,,20.67,0.47
0,clf,kn,all,ALL_YES_1_1_1,60_120,included,basic,0.70,{'n_neighbors': 51},0.67,0.68,0.68,0.66,0.71,205.00,492.00,220.00,"{'0': {'precision': 0.6834532374100719, 'recall': 0.4634146341463415, 'f1-score': 0.5523255813953488, 'support': 205}, '1': {'precision': 0.65625, 'recall': 0.8536585365853658, 'f1-score': 0.7420494699646644, 'support': 492}, '2': {'precision': 0.7101449275362319, 'recall': 0.44545454545454544, 'f1-score': 0.5474860335195532, 'support': 220}, 'micro avg': {'precision': 0.6684841875681571, 'recall': 0.6684841875681571, 'f1-score': 0.6684841875681571, 'support': 917}, 'macro avg': {'precision': 0.6832827216487679, 'recall': 0.5875092387287509, 'f1-score': 0.6139536949598554, 'support': 917}, 'weighted avg': {'precision': 0.6752615024286104, 'recall': 0.6684841875681571, 'f1-score': 0.6529574817698616, 'support': 917}}",3.87
1,clf,svc-rbf,all,ALL_YES_1_1_1,60_120,included,basic,0.52,"{'C': 1, 'gamma': 1}",0.54,0.29,0.00,0.54,0.00,205.00,492.00,220.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 205}, '1': {'precision': 0.5365321701199564, 'recall': 1.0, 'f1-score': 0.6983676366217175, 'support': 492}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 220}, 'micro avg': {'precision': 0.5365321701199564, 'recall': 0.5365321701199564, 'f1-score': 0.5365321701199564, 'support': 917}, 'macro avg': {'precision': 0.17884405670665213, 'recall': 0.3333333333333333, 'f1-score': 0.23278921220723917, 'support': 917}, 'weighted avg': {'precision': 0.2878667695736298, 'recall': 0.5365321701199564, 'f1-score': 0.37469670361819524, 'support': 917}}",2.80
2,clf,dtree,all,ALL_YES_1_1_1,60_120,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 100}",0.68,0.68,0.65,0.69,0.66,205.00,492.00,220.00,"{'0': {'precision': 0.6473684210526316, 'recall': 0.6, 'f1-score': 0.6227848101265823, 'support': 205}, '1': {'precision': 0.6949458483754513, 'recall': 0.782520325203252, 'f1-score': 0.7361376673040153, 'support': 492}, '2': {'precision': 0.6589595375722543, 'recall': 0.5181818181818182, 'f1-score': 0.5801526717557252, 'support': 220}, 'micro avg': {'precision': 0.678298800436205, 'recall': 0.678298800436205, 'f1-score': 0.678298800436205, 'support': 917}, 'macro avg': {'precision': 0.6670912690001124, 'recall': 0.6335673811283566, 'f1-score': 0.6463583830621076, 'support': 917}, 'weighted avg': {'precision': 0.6756760981269438, 'recall': 0.678298800436205, 'f1-score': 0.6733742706388053, 'support': 917}}",0.29
3,clf,rforest,all,ALL_YES_1_1_1,60_120,included,basic,0.70,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.67,0.67,0.64,0.67,0.70,205.00,492.00,220.00,"{'0': {'precision': 0.6405228758169934, 'recall': 0.47804878048780486, 'f1-score': 0.547486033519553, 'support': 205}, '1': {'precision': 0.66996699669967, 'recall': 0.8252032520325203, 'f1-score': 0.7395264116575592, 'support': 492}, '2': {'precision': 0.7025316455696202, 'recall': 0.5045454545454545, 'f1-score': 0.5873015873015872, 'support': 220}, 'micro avg': {'precision': 0.6706652126499455, 'recall': 0.6706652126499455, 'f1-score': 0.6706652126499455, 'support': 917}, 'macro avg': {'precision': 0.6710071726954278, 'recall': 0.6025991623552599, 'f1-score': 0.6247713441595665, 'support': 917}, 'weighted avg': {'precision': 0.6711972889247958, 'recall': 0.6706652126499455, 'f1-score': 0.660074133711425, 'support': 917}}",9.69
4,clf,xgb,all,ALL_YES_1_1_1,60_120,included,basic,0.70,{'n_estimators': 10},0.67,0.67,0.63,0.68,0.69,205.00,492.00,220.00,"{'0': {'precision': 0.6284153005464481, 'recall': 0.5609756097560976, 'f1-score': 0.5927835051546393, 'support': 205}, '1': {'precision': 0.6835664335664335, 'recall': 0.7947154471544715, 'f1-score': 0.7349624060150376, 'support': 492}, '2': {'precision': 0.6851851851851852, 'recall': 0.5045454545454545, 'f1-score': 0.581151832460733, 'support': 220}, 'micro avg': {'precision': 0.6728462377317339, 'recall': 0.6728462377317339, 'f1-score': 0.6728462377317339, 'support': 917}, 'macro avg': {'precision': 0.665722306432689, 'recall': 0.620078837152008, 'f1-score': 0.6362992478768033, 'support': 917}, 'weighted avg': {'precision': 0.6716254772818406, 'recall': 0.6728462377317339, 'f1-score': 0.6662764726907969, 'support': 917}}",0.47
5,clf,gboosting,all,ALL_YES_1_1_1,60_120,included,basic,0.71,{'n_estimators': 10},0.67,0.67,0.64,0.68,0.69,205.00,492.00,220.00,"{'0': {'precision': 0.6407185628742516, 'recall': 0.5219512195121951, 'f1-score': 0.5752688172043011, 'support': 205}, '1': {'precision': 0.6785714285714286, 'recall': 0.8109756097560976, 'f1-score': 0.7388888888888889, 'support': 492}, '2': {'precision': 0.691358024691358, 'recall': 0.509090909090909, 'f1-score': 0.5863874345549738, 'support': 220}, 'micro avg': {'precision': 0.6739367502726281, 'recall': 0.6739367502726281, 'f1-score': 0.6739367502726281, 'support': 917}, 'macro avg': {'precision': 0.6702160053790127, 'recall': 0.6140059127864006, 'f1-score': 0.6335150468827212, 'support': 917}, 'weighted avg': {'precision': 0.6731768960506687, 'recall': 0.6739367502726281, 'f1-score': 0.6657237475052447, 'support': 917}}",1.27
