,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,0_60,included,basic,0.50,{'n_neighbors': 81},0.53,"[9.32475884244373, 93.61702127659575, 12.38390092879257]","[311, 658, 323]",1292,0.61
1,clf,svc-rbf,basic,ALL_NO_1_1_1,0_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,"[0.0, 100.0, 0.0]","[311, 658, 323]",1292,5.68
2,clf,svc-poly,basic,ALL_NO_1_1_1,0_60,included,basic,0.42,{},0.43,"[36.334405144694536, 67.32522796352583, 0.0]","[311, 658, 323]",1292,0.19
3,clf,dtree,basic,ALL_NO_1_1_1,0_60,included,basic,0.51,"{'max_depth': 4, 'min_samples_leaf': 150}",0.53,"[19.935691318327976, 89.66565349544074, 9.287925696594428]","[311, 658, 323]",1292,0.22
4,clf,rforest,basic,ALL_NO_1_1_1,0_60,included,basic,0.52,"{'max_depth': 6, 'min_samples_leaf': 50, 'n_estimators': 50}",0.53,"[16.720257234726688, 93.16109422492401, 6.191950464396285]","[311, 658, 323]",1292,11.15
5,clf,xgb,basic,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.53,"[21.221864951768488, 87.68996960486322, 13.93188854489164]","[311, 658, 323]",1292,1.08
6,clf,gboosting,basic,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.52,"[19.614147909967844, 86.4741641337386, 14.241486068111454]","[311, 658, 323]",1292,1.37
7,clf,ada,basic,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.52,"[18.327974276527332, 84.19452887537994, 19.5046439628483]","[311, 658, 323]",1292,0.40
0,clf,kn,all,ALL_NO_1_1_1,0_60,included,basic,0.50,{'n_neighbors': 81},0.53,"[9.32475884244373, 93.61702127659575, 12.38390092879257]","[311, 658, 323]",1292,0.51
1,clf,svc-rbf,all,ALL_NO_1_1_1,0_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,"[0.0, 100.0, 0.0]","[311, 658, 323]",1292,4.98
2,clf,svc-poly,all,ALL_NO_1_1_1,0_60,included,basic,0.42,{},0.43,"[36.334405144694536, 67.32522796352583, 0.0]","[311, 658, 323]",1292,0.18
3,clf,dtree,all,ALL_NO_1_1_1,0_60,included,basic,0.51,"{'max_depth': 4, 'min_samples_leaf': 150}",0.53,"[19.935691318327976, 89.66565349544074, 9.287925696594428]","[311, 658, 323]",1292,0.20
4,clf,rforest,all,ALL_NO_1_1_1,0_60,included,basic,0.52,"{'max_depth': 6, 'min_samples_leaf': 50, 'n_estimators': 50}",0.53,"[16.720257234726688, 93.16109422492401, 6.191950464396285]","[311, 658, 323]",1292,11.70
5,clf,xgb,all,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.53,"[21.221864951768488, 87.68996960486322, 13.93188854489164]","[311, 658, 323]",1292,0.92
6,clf,gboosting,all,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.52,"[19.614147909967844, 86.4741641337386, 14.241486068111454]","[311, 658, 323]",1292,1.31
7,clf,ada,all,ALL_NO_1_1_1,0_60,included,basic,0.52,{'n_estimators': 50},0.52,"[18.327974276527332, 84.19452887537994, 19.5046439628483]","[311, 658, 323]",1292,0.40
0,clf,kn,basic,ALL_NO_3_2_1,0_60,included,basic,0.51,{'n_neighbors': 91},0.53,"[8.681672025723472, 94.22492401215806, 13.312693498452012]","[311, 658, 323]",1292,0.62
1,clf,svc-rbf,basic,ALL_NO_3_2_1,0_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,"[0.0, 100.0, 0.0]","[311, 658, 323]",1292,4.91
2,clf,svc-poly,basic,ALL_NO_3_2_1,0_60,included,basic,0.42,{},0.43,"[36.334405144694536, 67.32522796352583, 0.0]","[311, 658, 323]",1292,0.17
3,clf,dtree,basic,ALL_NO_3_2_1,0_60,included,basic,0.51,"{'max_depth': 4, 'min_samples_leaf': 50}",0.53,"[15.755627009646302, 92.70516717325228, 8.6687306501548]","[311, 658, 323]",1292,0.19
4,clf,rforest,basic,ALL_NO_3_2_1,0_60,included,basic,0.52,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 200}",0.54,"[18.006430868167204, 93.31306990881458, 8.359133126934985]","[311, 658, 323]",1292,10.77
5,clf,xgb,basic,ALL_NO_3_2_1,0_60,included,basic,0.52,{'n_estimators': 50},0.53,"[21.221864951768488, 87.68996960486322, 12.074303405572756]","[311, 658, 323]",1292,1.10
