,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_30_after,direction_agg_0_30_after
39,2007-02-02 10:00:00,24_63,-0.10000000000000009,0,0.0,0,0,1,1,1,1,0,0,0,2,2007,5,4,2,48,-29,-12,0
40,2007-02-05 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,6,0,1,21,-14,9,1
41,2007-02-07 08:30:00,56_57,0.6,0,0.0,0,0,0,2,0,0,2,0,0,2,2007,6,2,2,19,6,0,1
42,2007-02-07 10:30:00,18,-2.4,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,2,1,22,8,-1,1
43,2007-02-07 15:00:00,12,-1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,6,2,1,15,-11,0,1
44,2007-02-08 08:30:00,69,1.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,22,10,-2,1
45,2007-02-08 10:00:00,31,-1.1,0,-0.2,0,0,1,0,0,1,0,0,1,0,2007,6,3,1,19,1,9,1
46,2007-02-08 10:30:00,46,-5.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,15,8,12,2
47,2007-02-12 14:00:00,25,-1.8,0,0.0,0,1,0,0,1,0,0,0,0,1,2007,7,0,1,13,-8,0,1
48,2007-02-13 08:30:00,68,-1.7,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,7,1,1,23,13,5,1
49,2007-02-13 10:00:00,37,-1.3,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,7,1,1,18,-7,-1,1
50,2007-02-14 08:30:00,17_60,-0.4,0,2.0,0,0,0,2,0,2,0,2,0,0,2007,7,2,2,20,6,21,2
51,2007-02-14 10:00:00,5,-0.2,0,-0.2,0,0,1,0,0,1,0,0,0,1,2007,7,2,1,46,3,42,2
52,2007-02-14 10:30:00,18,-0.4,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,2,1,60,46,-8,1
53,2007-02-15 08:30:00,69_41_21,2.63,2,1.53,1,0,1,2,3,0,0,0,1,2,2007,7,3,3,13,1,2,1
54,2007-02-15 09:00:00,66,-44.4,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,7,3,1,28,6,23,2
55,2007-02-15 09:15:00,9_42,-1.1,0,1.0,0,0,0,2,1,1,0,0,0,2,2007,7,3,2,42,27,-10,0
56,2007-02-15 10:30:00,46,-0.52,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,3,1,17,-12,-2,1
57,2007-02-15 12:00:00,53,-2.9,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,7,3,1,18,-1,6,1
58,2007-02-15 13:00:00,44,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,7,3,1,26,-12,-5,1
59,2007-02-16 08:30:00,49_16_4_36,-0.22,0,1.0,0,3,0,1,4,0,0,1,0,3,2007,7,4,4,25,0,-21,0
60,2007-02-16 10:00:00,58,-3.2,0,-1.1,0,0,0,1,0,0,1,1,0,0,2007,7,4,1,26,12,-5,1
61,2007-02-21 08:30:00,13_8,1.0,0,-0.2,0,1,1,0,0,0,2,1,0,1,2007,8,2,2,31,12,-26,0
62,2007-02-21 10:00:00,7,-0.1,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,8,2,1,13,5,2,1
63,2007-02-22 08:30:00,69,0.82,1,1.32,1,0,0,1,1,0,0,0,1,0,2007,8,3,1,18,13,-11,0
64,2007-02-22 10:30:00,18_46,0.95,4,0.0,0,2,0,0,2,0,0,0,2,0,2007,8,3,2,16,6,-5,1
65,2007-02-27 08:30:00,14_20,-8.3,0,0.7,0,0,0,2,0,1,1,1,0,1,2007,9,1,2,32,15,-1,1
66,2007-02-27 09:00:00,65,-0.4,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,9,1,1,23,13,-1,1
67,2007-02-27 10:00:00,64_23_6,-6.0,0,0.9,0,0,2,1,2,1,0,2,1,0,2007,9,1,3,26,4,-13,0
68,2007-02-28 08:30:00,55_54,0.8,0,0.0,0,0,1,1,2,0,0,1,1,0,2007,9,2,2,26,22,-4,1
69,2007-02-28 09:45:00,10,-2.1,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,9,2,1,26,-12,0,1
70,2007-02-28 10:00:00,47,-143.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,9,2,1,20,-1,-3,1
71,2007-02-28 10:30:00,18,-0.33,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,2,1,30,-8,1,1
72,2007-03-01 00:00:00,67,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,9,3,1,10,-1,3,1
73,2007-03-01 08:30:00,69_15_52_51,3.84,0,-0.77,1,0,3,1,4,0,0,1,2,1,2007,9,3,4,19,-1,-1,1
