,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.73,{'n_neighbors': 31},0.73,0.72,0.73,0.99,0.71,0.07,928.00,364.00,"{'0': {'precision': 0.7297297297297297, 'recall': 0.9892241379310345, 'f1-score': 0.8398902104300092, 'support': 928}, '1': {'precision': 0.7058823529411765, 'recall': 0.06593406593406594, 'f1-score': 0.12060301507537688, 'support': 364}, 'micro avg': {'precision': 0.7291021671826625, 'recall': 0.7291021671826625, 'f1-score': 0.7291021671826625, 'support': 1292}, 'macro avg': {'precision': 0.7178060413354531, 'recall': 0.5275791019325502, 'f1-score': 0.48024661275269304, 'support': 1292}, 'weighted avg': {'precision': 0.7230111189317163, 'recall': 0.7291021671826625, 'f1-score': 0.6372427343393853, 'support': 1292}}",8.00
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.72,"{'C': 1, 'gamma': 1}",0.72,0.52,0.72,1.00,0.00,0.00,928.00,364.00,"{'0': {'precision': 0.718266253869969, 'recall': 1.0, 'f1-score': 0.836036036036036, 'support': 928}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 364}, 'micro avg': {'precision': 0.718266253869969, 'recall': 0.718266253869969, 'f1-score': 0.718266253869969, 'support': 1292}, 'macro avg': {'precision': 0.3591331269349845, 'recall': 0.5, 'f1-score': 0.418018018018018, 'support': 1292}, 'weighted avg': {'precision': 0.5159064114483988, 'recall': 0.718266253869969, 'f1-score': 0.6004964717039021, 'support': 1292}}",10.26
2,clf,dtree,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.73,"{'max_depth': 4, 'min_samples_leaf': 200}",0.72,0.67,0.74,0.94,0.49,0.15,928.00,364.00,"{'0': {'precision': 0.7375105842506351, 'recall': 0.9385775862068966, 'f1-score': 0.8259838786154576, 'support': 928}, '1': {'precision': 0.4864864864864865, 'recall': 0.14835164835164835, 'f1-score': 0.22736842105263155, 'support': 364}, 'micro avg': {'precision': 0.7159442724458205, 'recall': 0.7159442724458205, 'f1-score': 0.7159442724458205, 'support': 1292}, 'macro avg': {'precision': 0.6119985353685609, 'recall': 0.5434646172792724, 'f1-score': 0.5266761498340446, 'support': 1292}, 'weighted avg': {'precision': 0.6667886248186304, 'recall': 0.7159442724458205, 'f1-score': 0.65733370326494, 'support': 1292}}",0.75
3,clf,rforest,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.73,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 10}",0.72,0.67,0.74,0.95,0.51,0.13,928.00,364.00,"{'0': {'precision': 0.7358333333333333, 'recall': 0.9515086206896551, 'f1-score': 0.8298872180451128, 'support': 928}, '1': {'precision': 0.5108695652173914, 'recall': 0.12912087912087913, 'f1-score': 0.20614035087719298, 'support': 364}, 'micro avg': {'precision': 0.7198142414860681, 'recall': 0.7198142414860681, 'f1-score': 0.7198142414860681, 'support': 1292}, 'macro avg': {'precision': 0.6233514492753623, 'recall': 0.5403147499052672, 'f1-score': 0.5180137844611529, 'support': 1292}, 'weighted avg': {'precision': 0.6724534481985014, 'recall': 0.7198142414860681, 'f1-score': 0.6541566765210239, 'support': 1292}}",28.83
4,clf,xgb,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.73,{'n_estimators': 10},0.72,0.67,0.73,0.96,0.52,0.12,928.00,364.00,"{'0': {'precision': 0.7348798674399337, 'recall': 0.9558189655172413, 'f1-score': 0.8309133489461359, 'support': 928}, '1': {'precision': 0.5176470588235295, 'recall': 0.12087912087912088, 'f1-score': 0.19599109131403117, 'support': 364}, 'micro avg': {'precision': 0.7205882352941176, 'recall': 0.7205882352941176, 'f1-score': 0.7205882352941176, 'support': 1292}, 'macro avg': {'precision': 0.6262634631317316, 'recall': 0.5383490431981811, 'f1-score': 0.5134522201300835, 'support': 1292}, 'weighted avg': {'precision': 0.6736780544860861, 'recall': 0.7205882352941176, 'f1-score': 0.6520343228021064, 'support': 1292}}",0.57
5,clf,gboosting,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.73,{'n_estimators': 50},0.73,0.69,0.74,0.95,0.55,0.17,928.00,364.00,"{'0': {'precision': 0.7436548223350253, 'recall': 0.947198275862069, 'f1-score': 0.8331753554502369, 'support': 928}, '1': {'precision': 0.5545454545454546, 'recall': 0.16758241758241757, 'f1-score': 0.25738396624472576, 'support': 364}, 'micro avg': {'precision': 0.7275541795665634, 'recall': 0.7275541795665634, 'f1-score': 0.7275541795665634, 'support': 1292}, 'macro avg': {'precision': 0.64910013844024, 'recall': 0.5573903467222433, 'f1-score': 0.5452796608474814, 'support': 1292}, 'weighted avg': {'precision': 0.6903763317193877, 'recall': 0.7275541795665634, 'f1-score': 0.6709554903799535, 'support': 1292}}",1.36
6,clf,ada,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.73,{'n_estimators': 10},0.72,0.68,0.75,0.92,0.50,0.21,928.00,364.00,"{'0': {'precision': 0.7473684210526316, 'recall': 0.9181034482758621, 'f1-score': 0.8239845261121856, 'support': 928}, '1': {'precision': 0.5, 'recall': 0.2087912087912088, 'f1-score': 0.29457364341085274, 'support': 364}, 'micro avg': {'precision': 0.718266253869969, 'recall': 0.718266253869969, 'f1-score': 0.718266253869969, 'support': 1292}, 'macro avg': {'precision': 0.6236842105263158, 'recall': 0.5634473285335354, 'f1-score': 0.5592790847615192, 'support': 1292}, 'weighted avg': {'precision': 0.6776763891152028, 'recall': 0.718266253869969, 'f1-score': 0.6748316148867328, 'support': 1292}}",1.13
0,reg,kn,max,basic,ALL_NO_1_1_1,30_60,included,basic,11.35,{'n_neighbors': 41},,,,,,,,,11.98,8.43
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,30_60,included,basic,12.23,"{'C': 5, 'gamma': 1}",,,,,,,,,13.05,10.80
2,reg,dtree,max,basic,ALL_NO_1_1_1,30_60,included,basic,11.21,"{'max_depth': 3, 'min_samples_leaf': 50}",,,,,,,,,11.81,0.80
3,reg,rforest,max,basic,ALL_NO_1_1_1,30_60,included,basic,10.95,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",,,,,,,,,11.68,67.45
4,reg,xgb,max,basic,ALL_NO_1_1_1,30_60,included,basic,11.11,{'n_estimators': 50},,,,,,,,,11.71,0.43
5,reg,gboosting,max,basic,ALL_NO_1_1_1,30_60,included,basic,11.21,{'n_estimators': 50},,,,,,,,,11.77,0.91
6,reg,ada,max,basic,ALL_NO_1_1_1,30_60,included,basic,11.75,{'n_estimators': 10},,,,,,,,,12.53,0.94
